university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
1,13,89.3,26,98.1,47.0,90.5,297.0,52.9,18.0,99.1,283.0,68.7,234.0,64.0,144.0,79.9,18.0,98.0,58.0,94.7
2,879,,601,3.8,601.0,4.0,701.0,5.3,601.0,17.0,312.0,61.2,181.0,76.0,701.0,1.0,701.0,8.7,701.0,1.0
3,916,,601,5.5,601.0,2.9,701.0,4.5,701.0,3.2,315.0,60.8,18.0,100.0,701.0,1.0,609.0,14.0,701.0,1.0
4,852,,601,9.0,516.0,16.7,385.0,40.9,701.0,7.3,655.0,15.8,355.0,38.8,701.0,4.7,701.0,11.5,701.0,1.9
5,142,52.1,136,56.6,283.0,34.5,154.0,77.0,491.0,24.9,191.0,88.4,277.0,52.2,216.0,65.2,205.0,36.0,50.0,95.5
6,733,,554,15.8,601.0,8.7,523.0,29.7,701.0,5.0,701.0,7.0,701.0,7.0,247.0,59.5,689.0,12.6,373.0,38.4
7,513,22.8,571,15.2,601.0,3.7,693.0,19.1,243.0,53.1,562.0,23.3,553.0,19.6,453.0,31.0,701.0,11.7,548.0,19.7
8,11,90.3,17,99.1,38.0,95.4,72.0,92.5,122.0,78.5,225.0,81.2,145.0,84.4,236.0,61.4,17.0,98.3,137.0,81.7
9,1101,,601,7.5,601.0,2.5,621.0,22.8,701.0,5.2,701.0,1.5,251.0,59.3,701.0,1.7,670.0,12.8,701.0,1.1
10,631,,563,15.5,535.0,15.4,211.0,65.1,595.0,17.4,701.0,6.2,648.0,13.7,701.0,1.1,701.0,8.3,701.0,5.0
11,405,27.6,357,24.2,131.0,60.4,701.0,12.1,674.0,13.3,701.0,7.3,569.0,18.3,398.0,37.2,365.0,23.0,232.0,63.1
12,1293,,601,8.3,601.0,6.8,627.0,22.2,701.0,1.1,701.0,8.5,701.0,4.1,701.0,1.0,701.0,12.4,701.0,1.0
13,658,,479,18.6,599.0,13.5,138.0,80.2,701.0,1.1,556.0,23.7,701.0,3.3,701.0,1.0,443.0,18.8,,
14,496,23.4,445,19.8,271.0,36.2,186.0,69.5,701.0,8.9,690.0,13.8,373.0,36.3,701.0,1.7,672.0,12.8,701.0,2.5
