name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Massachusetts Institute of Technology (MIT),1,100.0,5.0,100.0,4.0,100.0,15.0,100.0,8.0,99.1,43.0,100.0,101.0,91.9,,,,,,
Stanford University,2,98.4,4.0,100.0,5.0,100.0,13.0,100.0,13.0,98.1,68.0,99.7,220.0,63.6,,,,,,
Harvard University,3,97.9,1.0,100.0,1.0,100.0,43.0,98.6,9.0,99.1,195.0,85.2,195.0,69.9,,,,,,
California Institute of Technology (Caltech),4,97.0,29.0,97.0,69.0,82.8,4.0,100.0,6.0,99.9,51.0,100.0,119.0,88.2,,,,,,
University of Oxford,5,96.7,3.0,100.0,3.0,100.0,8.0,100.0,44.0,81.3,80.0,99.4,55.0,98.3,,,,,,
ETH Zurich,6,95.0,19.0,98.7,26.0,96.6,140.0,80.8,16.0,96.4,19.0,100.0,59.0,97.9,,,,,,
University of Cambridge,7,94.3,2.0,100.0,2.0,100.0,12.0,100.0,85.0,69.2,54.0,100.0,63.0,97.4,,,,,,
Imperial College London,8,93.6,21.0,98.5,9.0,99.8,30.0,99.9,88.0,68.6,47.0,100.0,14.0,100.0,,,,,,
University of Chicago,9,93.1,14.0,99.4,43.0,91.3,70.0,94.4,34.0,86.3,269.0,67.1,150.0,82.6,,,,,,
UCL,10,92.9,13.0,99.4,19.0,98.3,46.0,98.4,99.0,65.4,82.0,99.3,18.0,100.0,,,,,,
Princeton University,12,91.0,10.0,99.9,14.0,99.0,202.0,68.6,3.0,100.0,251.0,71.6,209.0,65.6,,,,,,
"Nanyang Technological University, Singapore (NTU Singapore)",13,89.9,44.0,89.8,52.0,89.8,78.0,91.5,25.0,89.0,24.0,100.0,204.0,67.6,,,,,,
EPFL,14,89.6,67.0,80.4,76.0,80.0,61.0,96.3,12.0,98.5,15.0,100.0,12.0,100.0,,,,,,
Tsinghua University,15,89.2,23.0,98.2,16.0,98.6,73.0,93.3,41.0,83.2,328.0,55.3,427.0,29.7,,,,,,
University of Pennsylvania,16,88.6,30.0,96.1,42.0,91.5,22.0,100.0,112.0,63.8,174.0,88.7,213.0,65.3,,,,,,
Yale University,17,88.0,9.0,99.9,6.0,100.0,5.0,100.0,186.0,52.8,193.0,85.3,263.0,54.5,,,,,,
Cornell University,18,87.6,22.0,98.5,47.0,90.9,227.0,63.7,26.0,88.6,143.0,93.7,192.0,70.0,,,,,,
Columbia University,19,86.5,11.0,99.7,22.0,97.3,17.0,100.0,231.0,48.5,415.0,37.2,72.0,96.3,,,,,,
The University of Edinburgh,20,85.8,25.0,98.0,31.0,95.4,127.0,83.1,210.0,50.2,98.0,98.2,50.0,99.0,,,,,,
University of Michigan-Ann Arbor,21,84.6,18.0,98.9,38.0,92.7,91.0,89.4,148.0,58.0,239.0,74.8,346.0,41.3,,,,,,
The University of Hong Kong,22,83.7,24.0,98.1,88.0,76.3,118.0,83.8,238.0,48.0,25.0,100.0,52.0,98.9,,,,,,
Peking University,23,83.5,16.0,99.2,13.0,99.1,160.0,76.4,103.0,64.9,258.0,69.7,394.0,34.3,,,,,,
The University of Tokyo,24,83.2,7.0,100.0,12.0,99.6,76.0,92.3,120.0,62.5,601.0,10.7,464.0,26.1,,,,,,
Johns Hopkins University,25,82.7,54.0,86.7,190.0,47.0,9.0,100.0,60.0,75.9,271.0,66.3,123.0,87.7,,,,,,
University of Toronto,26,82.7,15.0,99.3,25.0,96.8,191.0,70.3,263.0,45.8,106.0,97.9,90.0,94.1,,,,,,
The Hong Kong University of Science and Technology,27,82.1,57.0,85.2,112.0,63.6,217.0,66.7,21.0,92.1,20.0,100.0,112.0,88.9,,,,,,
The University of Manchester,28,82.1,33.0,95.3,21.0,97.4,181.0,72.7,233.0,48.4,150.0,92.9,53.0,98.8,,,,,,
Northwestern University,29,81.5,58.0,85.1,92.0,74.4,35.0,99.7,72.0,72.3,313.0,57.9,321.0,45.3,,,,,,
"University of California, Berkeley (UCB)",30,80.8,6.0,100.0,8.0,99.9,601.0,21.3,15.0,96.9,134.0,94.9,358.0,39.7,,,,,,
Australian National University (ANU),31,80.0,32.0,95.6,84.0,77.6,398.0,40.1,50.0,77.8,37.0,100.0,31.0,99.6,,,,,,
King's College London,32,80.0,47.0,88.9,73.0,81.1,126.0,83.1,251.0,46.4,92.0,98.4,26.0,99.9,,,,,,
McGill University,33,80.0,37.0,92.3,34.0,94.1,212.0,67.5,197.0,51.8,166.0,90.5,73.0,96.3,,,,,,
Fudan University,34,79.9,60.0,84.7,39.0,92.5,82.0,90.9,165.0,55.7,149.0,93.1,316.0,46.3,,,,,,
New York University (NYU),35,79.4,31.0,95.8,27.0,96.5,60.0,96.7,482.0,25.8,414.0,37.3,97.0,93.0,,,,,,
"University of California, Los Angeles (UCLA)",36,79.2,8.0,100.0,10.0,99.7,374.0,42.0,43.0,81.9,365.0,47.3,402.0,32.6,,,,,,
Seoul National University,37,79.0,26.0,97.9,29.0,95.9,98.0,87.9,175.0,53.7,577.0,18.6,601.0,11.6,,,,,,
Kyoto University,38,78.9,20.0,98.6,24.0,96.9,67.0,95.0,296.0,42.6,601.0,16.0,541.0,19.8,,,,,,
KAIST - Korea Advanced Institute of Science & Technology,39,78.6,53.0,86.8,71.0,82.2,193.0,70.0,14.0,97.4,514.0,24.7,601.0,9.7,,,,,,
The University of Sydney,40,77.1,27.0,97.4,32.0,95.3,601.0,21.4,83.0,69.6,38.0,100.0,13.0,100.0,,,,,,
The University of Melbourne,41,76.5,17.0,99.1,23.0,97.3,601.0,18.8,100.0,65.4,113.0,97.4,24.0,100.0,,,,,,
Duke University,42,76.4,50.0,88.2,62.0,85.3,18.0,100.0,277.0,44.7,601.0,5.9,248.0,58.0,,,,,,
The Chinese University of Hong Kong (CUHK),43,75.8,41.0,90.3,155.0,53.1,252.0,59.2,117.0,62.6,56.0,100.0,103.0,91.5,,,,,,
The University of New South Wales (UNSW Sydney),44,75.4,40.0,91.1,33.0,94.9,601.0,16.7,48.0,78.4,42.0,100.0,41.0,99.2,,,,,,
University of British Columbia,45,74.8,28.0,97.1,54.0,89.6,294.0,53.1,352.0,37.4,169.0,89.5,166.0,78.8,,,,,,
The University of Queensland,46,74.5,46.0,89.0,80.0,78.2,600.0,23.8,46.0,79.6,30.0,100.0,27.0,99.9,,,,,,
Shanghai Jiao Tong University,47,74.4,63.0,82.5,48.0,90.9,245.0,60.4,64.0,75.4,282.0,64.0,423.0,30.2,,,,,,
City University of Hong Kong,48,74.3,111.0,61.5,297.0,32.8,94.0,88.9,22.0,91.2,14.0,100.0,49.0,99.0,,,,,,
The London School of Economics and Political Science (LSE),49,73.9,72.0,75.8,11.0,99.6,376.0,41.9,68.0,74.0,28.0,100.0,7.0,100.0,,,,,,
Technical University of Munich,50,73.6,61.0,83.8,17.0,98.5,88.0,89.7,528.0,22.4,288.0,63.4,141.0,84.7,,,,,,
Carnegie Mellon University,51,73.4,80.0,73.3,96.0,72.4,308.0,51.0,24.0,89.8,275.0,65.3,38.0,99.4,,,,,,
Université PSL,52,73.3,73.0,75.5,20.0,97.5,20.0,100.0,421.0,31.6,280.0,64.5,202.0,68.4,,,,,,
Zhejiang University,53,71.9,89.0,69.3,45.0,91.1,86.0,90.0,319.0,40.0,104.0,98.1,180.0,74.2,,,,,,
"University of California, San Diego (UCSD)",54,71.2,38.0,91.9,170.0,50.4,242.0,61.3,187.0,52.7,303.0,59.9,216.0,64.3,,,,,,
Monash University,55,70.9,43.0,90.0,55.0,88.7,601.0,14.1,109.0,64.2,40.0,100.0,16.0,100.0,,,,,,
Tokyo Institute of Technology (Tokyo Tech),56,70.8,81.0,73.3,50.0,90.4,123.0,83.4,118.0,62.6,490.0,27.6,443.0,28.0,,,,,,
Delft University of Technology,57,70.7,84.0,70.7,57.0,87.9,355.0,43.9,61.0,75.8,66.0,99.8,137.0,85.6,,,,,,
University of Bristol,58,70.6,74.0,75.5,67.0,82.9,187.0,70.8,273.0,44.8,161.0,91.5,157.0,80.6,,,,,,
Universiti Malaya (UM),59,70.1,78.0,74.1,65.0,84.6,132.0,82.1,241.0,47.7,262.0,68.7,327.0,44.5,,,,,,
Brown University,60,70.0,116.0,60.2,137.0,58.1,133.0,82.0,42.0,82.3,214.0,82.9,270.0,53.4,,,,,,
University of Amsterdam,61,69.9,64.0,82.3,143.0,55.6,441.0,35.4,40.0,83.3,200.0,84.5,226.0,61.6,,,,,,
The University of Warwick,62,69.0,77.0,74.3,40.0,92.0,331.0,47.8,200.0,51.4,100.0,98.1,42.0,99.2,,,,,,
Ludwig-Maximilians-Universität München,63,68.9,36.0,92.9,75.0,80.7,321.0,49.1,283.0,43.9,314.0,57.6,378.0,36.2,,,,,,
Universität Heidelberg,64,68.6,66.0,80.6,221.0,41.8,41.0,99.1,389.0,34.2,336.0,52.3,291.0,49.5,,,,,,
University of Wisconsin-Madison,65,68.2,56.0,85.6,178.0,49.5,182.0,72.7,168.0,54.9,433.0,34.7,448.0,27.6,,,,,,
National Taiwan University (NTU),66,67.5,39.0,91.8,59.0,87.5,408.0,38.7,169.0,54.8,568.0,19.1,363.0,38.7,,,,,,
Universidad de Buenos Aires (UBA),67,67.5,49.0,88.3,49.0,90.8,154.0,77.9,601.0,2.5,299.0,60.4,187.0,71.8,,,,,,
Korea University,69,67.1,75.0,75.2,41.0,91.7,114.0,84.9,377.0,35.4,601.0,15.0,272.0,53.3,,,,,,
University of Zurich,70,67.1,123.0,59.7,127.0,60.6,49.0,98.0,258.0,45.9,48.0,100.0,236.0,59.8,,,,,,
University of Texas at Austin,71,66.7,34.0,94.0,66.0,83.4,601.0,12.4,38.0,84.0,601.0,6.5,598.0,16.2,,,,,,
Osaka University,72,66.1,68.0,80.1,77.0,79.6,151.0,78.9,310.0,41.3,557.0,20.3,601.0,14.0,,,,,,
University of Washington,73,66.1,55.0,85.9,180.0,49.0,601.0,13.7,10.0,98.8,408.0,39.7,359.0,39.5,,,,,,
Lomonosov Moscow State University,74,65.9,71.0,77.3,68.0,82.8,34.0,99.8,601.0,7.4,558.0,20.1,171.0,76.8,,,,,,
The Hong Kong Polytechnic University,75,65.8,100.0,66.3,229.0,40.8,153.0,78.0,204.0,51.0,45.0,100.0,159.0,80.2,,,,,,
University of Copenhagen,76,65.5,83.0,72.8,245.0,38.7,21.0,100.0,431.0,31.2,160.0,91.8,456.0,26.5,,,,,,
Pohang University of Science And Technology (POSTECH),77,64.6,188.0,43.0,147.0,54.6,28.0,99.9,11.0,98.7,436.0,33.8,601.0,3.0,,,,,,
University of Glasgow,78,64.6,82.0,73.0,103.0,66.8,246.0,60.4,402.0,33.5,140.0,93.8,65.0,97.1,,,,,,
Tohoku University,79,64.3,88.0,69.3,95.0,72.4,48.0,98.1,325.0,39.6,601.0,11.8,593.0,16.9,,,,,,
Georgia Institute of Technology,80,64.1,92.0,68.8,87.0,76.4,601.0,9.2,5.0,99.9,254.0,71.0,214.0,64.8,,,,,,
The University of Auckland,81,64.0,59.0,84.9,141.0,55.9,566.0,25.4,243.0,47.0,110.0,97.6,87.0,94.5,,,,,,
University of Illinois at Urbana-Champaign,82,63.4,52.0,87.4,165.0,52.1,601.0,10.8,39.0,83.7,572.0,18.8,231.0,60.4,,,,,,
Sorbonne University,83,63.3,42.0,90.1,189.0,47.4,407.0,38.9,224.0,49.3,435.0,34.0,254.0,57.1,,,,,,
KU Leuven,84,63.0,62.0,83.4,144.0,55.5,601.0,9.4,54.0,77.5,164.0,90.7,380.0,36.1,,,,,,
Durham University,85,62.2,128.0,58.0,51.0,90.2,463.0,33.1,89.0,68.3,105.0,97.9,114.0,88.7,,,,,,
Yonsei University,86,62.5,94.0,68.3,58.0,87.7,112.0,85.1,433.0,31.0,601.0,12.1,320.0,45.3,,,,,,
