university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
59,18,88.8,15,99.4,18,98.2,120,83.5,59,89.5,299.0,45.6,365.0,38.5,,,,,,
60,1123,,501,7.8,319,30.0,601,4.8,601,1.2,601.0,4.4,601.0,2.4,,,,,,
61,1174,,501,4.9,501,2.5,496,31.0,601,7.8,,,601.0,7.9,,,,,,
62,1199,,501,7.7,501,6.5,598,23.7,601,4.9,601.0,1.3,601.0,9.1,,,,,,
63,714,,501,7.8,366,27.0,366,43.2,601,1.7,460.0,14.8,601.0,13.9,,,,,,
64,62,71.0,77,74.7,63,84.3,207,67.5,276,50.7,163.0,91.3,144.0,83.6,,,,,,
65,908,,389,21.4,172,50.6,601,2.9,601,1.0,,,601.0,1.6,,,,,,
66,613,,501,3.6,501,2.2,547,27.5,330,42.1,601.0,4.6,189.0,70.8,,,,,,
67,378,29.5,501,16.4,437,20.9,489,31.5,200,60.6,327.0,40.1,601.0,6.8,,,,,,
68,1025,,501,8.9,496,17.9,601,12.8,601,11.3,601.0,1.2,601.0,1.7,,,,,,
69,240,39.6,168,46.7,274,34.5,601,11.0,370,37.5,78.0,99.8,277.0,52.4,,,,,,
70,20,88.6,10,99.9,12,99.2,197,68.7,2,100.0,374.0,28.1,218.0,63.2,,,,,,
71,622,,501,15.4,501,12.5,416,37.8,601,9.0,432.0,17.3,552.0,19.5,,,,,,
72,120,56.2,121,59.2,169,51.1,71,92.0,371,37.4,601.0,5.1,537.0,20.5,,,,,,
73,646,,501,9.4,501,12.1,601,12.4,326,43.2,371.0,28.4,393.0,33.9,,,,,,
74,956,,501,5.1,501,1.6,362,43.3,601,6.6,593.0,6.0,601.0,13.2,,,,,,
75,1027,,501,4.3,501,2.9,601,23.0,601,1.2,601.0,1.3,601.0,3.9,,,,,,
76,133,54.2,118,59.6,500,17.7,511,30.1,32,96.4,278.0,52.0,601.0,9.2,,,,,,
77,1245,,501,3.8,501,3.3,601,17.4,601,1.2,601.0,1.4,601.0,3.3,,,,,,
78,98,60.5,113,61.5,98,68.8,110,85.4,302,46.8,561.0,7.2,364.0,38.5,,,,,,
79,655,,501,12.9,501,3.1,313,49.3,601,4.0,601.0,1.3,457.0,26.5,,,,,,
80,425,27.1,261,32.5,501,14.6,601,5.1,222,57.1,601.0,1.2,601.0,1.1,,,,,,
81,905,,501,4.2,501,2.8,267,57.6,601,1.3,,,,,,,,,,
82,596,,501,8.5,501,5.8,265,57.8,535,22.0,601.0,1.0,601.0,3.2,,,,,,
83,953,,501,12.2,501,8.9,601,6.7,554,20.3,436.0,16.7,601.0,2.0,,,,,,
84,556,,356,23.5,387,25.2,601,12.1,601,15.4,455.0,15.2,193.0,70.4,,,,,,
85,188,45.7,111,61.8,316,30.1,504,30.6,244,54.1,601.0,2.3,601.0,14.8,,,,,,
86,465,25.3,310,27.4,176,49.3,356,44.0,601,1.2,601.0,2.9,601.0,2.2,,,,,,
87,989,,501,8.7,501,5.9,601,6.1,412,32.1,601.0,1.8,601.0,4.8,,,,,,
88,103,59.0,138,55.4,501,16.3,107,85.5,196,61.0,187.0,85.0,435.0,29.0,,,,,,
89,631,,469,18.1,327,29.4,389,40.3,601,2.7,601.0,1.1,601.0,7.3,,,,,,
90,907,,390,21.4,501,10.7,601,6.4,601,1.4,601.0,1.1,601.0,1.2,,,,,,
91,248,38.8,199,41.4,480,18.7,601,14.8,138,70.1,333.0,37.6,454.0,26.6,,,,,,
92,501,24.1,374,22.4,265,36.4,601,8.1,533,22.2,390.0,24.2,147.0,81.9,,,,,,
93,748,,484,17.5,501,5.6,465,33.3,601,8.2,601.0,1.3,601.0,6.1,,,,,,
94,314,33.7,348,24.2,337,28.9,237,62.5,450,29.3,439.0,16.5,383.0,36.0,,,,,,
95,392,28.5,424,19.9,501,12.8,507,30.4,601,15.4,48.0,100.0,21.0,100.0,,,,,,
96,400,28.1,246,33.9,226,42.1,323,48.3,601,1.9,601.0,1.1,601.0,1.4,,,,,,
97,671,,500,16.6,501,16.2,573,25.6,590,16.9,601.0,2.8,601.0,9.5,,,,,,
98,677,,501,14.1,501,17.5,601,16.1,531,22.3,601.0,1.9,318.0,45.0,,,,,,
99,612,,501,8.0,501,1.8,601,23.4,236,55.2,601.0,1.5,601.0,1.7,,,,,,
100,538,,485,17.5,501,8.0,541,28.0,362,38.1,559.0,7.3,563.0,18.2,,,,,,
101,7,97.3,22,98.4,9,99.8,27,99.8,64,88.1,47.0,100.0,10.0,100.0,,,,,,
102,940,,501,13.0,501,6.8,570,25.7,601,10.6,601.0,1.9,598.0,16.2,,,,,,
103,939,,501,11.5,323,29.7,601,11.6,601,4.4,601.0,3.7,601.0,2.3,,,,,,
104,832,,501,9.2,501,8.0,601,11.2,601,16.3,601.0,2.8,601.0,13.1,,,,,,
105,1077,,501,13.0,501,14.2,601,12.6,601,1.3,558.0,7.4,601.0,1.5,,,,,,
106,893,,501,5.2,501,4.8,405,39.0,601,2.5,601.0,1.1,392.0,33.9,,,,,,
107,594,,501,7.4,501,2.6,181,71.6,601,10.8,601.0,1.9,601.0,3.8,,,,,,
108,69,67.9,44,90.2,40,93.4,146,78.2,601,1.9,275.0,52.8,186.0,71.1,,,,,,
109,476,24.9,501,16.5,501,16.7,340,46.1,497,24.9,320.0,41.7,601.0,5.6,,,,,,
110,809,,501,5.9,501,2.5,487,31.6,601,1.4,521.0,9.6,412.0,31.9,,,,,,
111,982,,497,16.7,501,6.8,601,2.3,580,17.6,601.0,3.2,601.0,5.4,,,,,,
112,1212,,501,4.4,501,4.5,601,3.2,601,3.5,601.0,1.3,601.0,1.1,,,,,,
113,605,,501,7.6,501,15.5,601,17.7,601,2.2,4.0,100.0,2.0,100.0,,,,,,
114,1152,,501,5.2,501,8.8,601,1.6,472,27.3,601.0,1.6,601.0,1.1,,,,,,
115,300,34.8,307,27.6,281,33.5,358,44.0,536,21.8,135.0,95.4,304.0,46.9,,,,,,
116,859,,501,7.1,501,11.3,331,47.4,601,1.7,601.0,1.0,601.0,1.7,,,,,,
117,398,28.3,211,39.9,102,66.1,572,25.6,601,1.7,601.0,1.6,601.0,1.7,,,,,,
118,1087,,501,4.6,501,4.2,601,3.5,516,23.4,601.0,1.8,601.0,7.8,,,,,,
119,96,61.6,116,60.4,134,57.9,210,66.8,317,44.5,191.0,83.7,60.0,98.1,,,,,,
120,229,40.3,323,26.2,501,8.6,601,17.3,104,78.7,124.0,97.0,89.0,94.6,,,,,,
121,157,49.8,179,45.2,86,74.3,137,80.1,440,30.1,533.0,8.9,414.0,31.7,,,,,,
122,286,35.9,285,29.9,396,24.4,462,33.6,511,23.7,99.0,99.1,40.0,99.2,,,,,,
123,1134,,501,5.5,475,18.8,601,13.4,601,2.5,601.0,2.7,601.0,2.0,,,,,,
124,873,,501,11.8,501,17.3,540,28.1,601,1.2,601.0,1.8,601.0,1.4,,,,,,
125,1277,,501,3.1,501,4.3,601,17.1,601,4.2,601.0,1.2,601.0,1.3,,,,,,
126,784,,408,20.4,465,19.3,601,21.1,601,1.6,601.0,2.3,601.0,3.0,,,,,,
127,1126,,501,8.4,501,2.1,601,18.3,601,11.0,601.0,1.2,601.0,4.4,,,,,,
128,619,,393,21.1,321,29.9,601,13.4,601,10.3,443.0,16.0,359.0,38.9,,,,,,
129,589,,501,13.8,306,31.1,601,6.5,341,40.8,353.0,32.9,601.0,15.7,,,,,,
130,683,,308,27.4,161,52.5,601,4.8,601,4.6,601.0,1.6,601.0,1.3,,,,,,
131,22,86.3,26,97.9,92,73.1,111,85.4,186,62.1,26.0,100.0,48.0,98.9,,,,,,
132,101,59.6,100,66.3,194,47.2,133,80.9,247,53.9,490.0,11.8,601.0,11.1,,,,,,
133,123,55.9,292,28.8,118,62.9,189,70.2,111,76.1,49.0,100.0,184.0,72.4,,,,,,
134,963,,501,10.4,501,7.5,601,1.6,463,27.8,601.0,1.4,601.0,4.6,,,,,,
135,100,59.9,265,32.1,320,30.0,20,100.0,118,75.0,62.0,100.0,165.0,76.6,,,,,,
136,595,,440,19.4,314,30.2,493,31.4,601,3.1,596.0,5.9,306.0,46.6,,,,,,
137,856,,501,3.3,501,3.2,601,12.7,601,6.7,238.0,66.9,95.0,93.9,,,,,,
