university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
1,20,87.2,23,98.3,50,91.4,245,62.2,17,99.3,290.0,63.9,256.0,55.3,161.0,90.0,19.0,99.5,,
2,888,,501,3.7,501,3.7,601,5.2,601,15.0,322.0,57.2,146.0,82.8,601.0,6.7,601.0,3.2,,
3,859,,501,5.3,501,3.3,601,5.7,601,4.0,315.0,58.1,22.0,99.9,601.0,14.0,601.0,13.6,,
4,752,,501,9.6,446,20.6,429,36.3,601,7.7,601.0,13.0,435.0,28.9,601.0,44.2,508.0,23.9,,
5,117,55.9,129,57.4,197,47.2,157,76.2,455,27.6,176.0,89.5,266.0,53.7,224.0,86.0,601.0,19.3,,
6,806,,501,16.1,501,6.1,556,27.2,601,5.4,601.0,7.2,601.0,4.9,250.0,84.4,601.0,7.0,,
7,543,,501,13.4,501,3.4,600,23.9,307,44.3,419.0,37.9,500.0,22.3,479.0,68.0,601.0,12.0,,
8,10,93.2,16,99.2,46,92.2,71,92.9,79,86.8,214.0,81.6,176.0,76.0,170.0,89.6,30.0,98.2,,
9,908,,501,6.3,501,1.3,531,28.9,601,4.8,601.0,1.8,290.0,50.3,601.0,39.0,523.0,23.1,,
10,488,24.6,501,13.3,501,12.1,187,70.0,601,13.5,601.0,7.4,590.0,16.6,601.0,26.5,601.0,8.1,,
11,611,,377,21.9,180,49.1,601,15.0,601,10.9,601.0,4.8,553.0,18.9,496.0,66.7,489.0,25.0,,
12,1273,,501,6.5,501,4.7,601,17.5,601,1.2,601.0,3.7,601.0,1.6,601.0,5.4,601.0,14.9,,
13,452,26.2,501,16.6,467,19.8,143,78.9,601,1.1,513.0,26.1,601.0,3.6,601.0,1.8,79.0,87.6,,
14,392,29.0,501,16.7,278,35.3,173,72.4,601,8.6,601.0,13.9,392.0,34.7,601.0,33.0,601.0,12.8,,
15,828,,450,19.1,284,34.3,601,11.5,601,4.1,601.0,2.2,601.0,3.0,601.0,13.2,117.0,76.3,,
16,786,,501,6.0,437,21.2,309,51.0,601,2.0,601.0,8.9,601.0,5.0,601.0,2.1,116.0,76.4,,
17,173,46.7,280,30.6,129,60.5,601,4.6,32,96.9,72.0,99.8,250.0,57.2,225.0,86.0,101.0,81.0,,
18,567,,397,21.1,451,20.4,601,23.5,502,24.1,601.0,13.3,516.0,21.5,601.0,40.0,137.0,69.9,,
19,158,49.3,140,55.1,115,64.9,321,48.5,509,23.6,376.0,46.1,180.0,75.0,268.0,83.2,397.0,31.6,,
20,876,,501,4.5,501,12.3,485,31.8,601,3.6,227.0,77.0,478.0,24.1,601.0,8.2,601.0,11.7,,
21,45,78.0,46,89.0,53,91.1,601,16.8,28,97.6,50.0,100.0,31.0,99.8,17.0,98.2,51.0,93.0,,
22,588,,501,12.8,501,8.6,601,11.0,196,61.0,601.0,4.6,601.0,12.3,446.0,71.2,601.0,3.1,,
23,1039,,501,5.9,501,1.7,601,7.8,601,4.3,446.0,34.5,350.0,38.9,601.0,12.2,601.0,4.2,,
24,1366,,501,5.7,501,7.9,601,4.0,601,6.4,601.0,1.5,601.0,3.1,601.0,56.6,601.0,8.2,,
25,499,24.2,501,7.3,501,2.0,601,5.5,38,96.3,601.0,8.2,601.0,3.9,601.0,51.0,601.0,11.9,,
26,895,,501,11.0,501,7.2,601,14.4,601,15.4,492.0,28.6,381.0,36.1,601.0,27.2,203.0,56.8,,
27,533,,501,13.9,63,84.3,504,30.7,601,2.4,565.0,21.2,507.0,21.9,601.0,6.4,169.0,64.5,,
28,465,25.4,501,16.2,501,8.0,601,12.3,452,28.1,78.0,99.7,55.0,98.3,440.0,71.8,601.0,12.8,,
29,1014,,501,3.3,501,4.1,553,27.4,601,4.7,411.0,38.7,601.0,1.8,601.0,26.1,601.0,5.5,,
30,734,,501,8.1,501,6.4,601,7.9,504,23.8,338.0,53.9,137.0,84.3,595.0,57.9,517.0,23.5,,
31,256,38.1,289,29.9,111,65.9,601,22.2,371,37.7,205.0,84.3,221.0,63.7,195.0,88.2,481.0,25.6,,
32,221,41.6,301,28.3,269,36.0,458,33.5,257,50.6,140.0,94.8,62.0,97.6,205.0,87.4,601.0,19.0,,
33,183,45.6,211,39.9,501,16.3,58,96.3,373,37.4,601.0,7.9,601.0,13.8,152.0,90.3,293.0,44.0,,
34,4,98.4,3,100.0,3,100.0,8,100.0,64,90.0,101.0,98.8,54.0,98.4,3.0,99.9,7.0,100.0,,
35,161,48.6,138,55.6,291,33.5,476,32.4,226,55.2,184.0,87.9,598.0,16.3,65.0,95.4,380.0,33.5,,
36,155,49.5,336,25.2,501,15.7,40,99.1,154,68.7,351.0,50.1,420.0,31.1,201.0,87.7,287.0,44.5,,
37,746,,501,15.4,490,18.5,601,11.5,457,27.4,559.0,21.8,601.0,4.4,305.0,81.0,471.0,26.3,,
38,141,51.9,136,55.6,127,60.7,151,77.8,430,30.0,601.0,18.3,574.0,17.2,429.0,72.8,601.0,16.7,,
39,122,54.8,176,46.2,65,83.8,398,39.1,211,58.9,203.0,84.8,178.0,75.6,39.0,96.9,601.0,14.9,,
40,555,,501,14.4,501,10.3,242,62.4,601,10.8,601.0,8.7,601.0,8.3,601.0,40.6,601.0,6.2,,
41,576,,406,20.5,501,5.6,601,7.1,245,52.5,601.0,7.4,601.0,13.0,221.0,86.5,594.0,19.8,,
42,696,,499,16.9,501,3.7,601,10.3,338,41.7,601.0,5.1,601.0,12.1,266.0,83.3,601.0,4.9,,
43,77,65.7,38,92.3,44,92.6,461,33.4,262,49.7,591.0,19.0,412.0,32.6,393.0,75.0,37.0,96.7,,
44,564,,501,14.2,453,20.3,450,34.4,601,1.5,18.0,100.0,343.0,40.4,601.0,4.3,601.0,1.2,,
45,710,,501,13.0,322,30.3,503,30.7,601,1.8,307.0,60.0,601.0,2.9,601.0,12.2,595.0,19.8,,
46,1008,,501,10.3,501,17.1,601,17.8,601,9.9,601.0,9.8,601.0,11.0,601.0,36.8,601.0,16.6,,
47,736,,501,12.9,501,9.0,551,27.5,536,21.2,601.0,15.7,601.0,4.4,601.0,57.0,601.0,17.0,,
48,324,33.2,155,49.8,501,15.0,601,5.4,272,48.5,601.0,9.0,601.0,7.1,191.0,88.4,601.0,16.5,,
49,1363,,501,4.0,501,1.9,601,7.1,601,1.1,601.0,4.8,601.0,1.1,601.0,5.3,601.0,5.6,,
50,42,79.3,48,88.1,60,85.8,192,68.9,27,97.7,542.0,23.1,601.0,12.3,505.0,65.2,178.0,63.2,,
51,33,81.6,20,98.6,34,94.9,601,17.9,45,95.0,157.0,93.1,30.0,99.8,30.0,97.6,63.0,91.1,,
52,189,45.2,170,47.4,487,18.6,426,36.5,217,57.3,272.0,67.6,339.0,41.0,184.0,89.0,601.0,19.3,,
53,409,27.9,341,25.0,393,24.3,437,35.4,512,23.2,276.0,67.0,601.0,4.6,601.0,54.4,259.0,49.1,,
54,1161,,501,5.8,501,5.3,601,22.1,601,2.2,601.0,4.8,601.0,6.0,601.0,22.1,573.0,20.7,,
55,897,,501,2.8,501,3.4,332,46.5,601,2.0,601.0,15.2,541.0,19.7,601.0,11.2,601.0,4.9,,
56,754,,501,11.8,501,13.9,576,25.6,601,4.8,12.0,100.0,601.0,2.1,601.0,41.0,601.0,14.5,,
57,150,50.8,159,49.1,79,76.9,46,98.3,601,1.3,470.0,30.5,393.0,34.6,601.0,35.3,601.0,12.3,,
