university_id,citations per faculty rank,citations per faculty score
434,239.0,47.8
435,425.0,31.4
436,,
437,,
438,,
439,141.0,58.7
440,,
441,452.0,28.8
442,400.0,33.5
443,281.0,44.2
444,,
445,308.0,41.4
446,556.0,20.8
447,,
448,427.0,31.3
449,,
450,413.0,32.4
451,184.0,52.9
452,379.0,35.2
453,320.0,39.9
454,,
455,224.0,49.3
456,,
457,,
458,287.0,43.4
459,601.0,1.9
460,,
461,211.0,50.2
462,148.0,58.0
463,,
464,,
465,78.0,70.3
466,,
467,57.0,76.6
468,,
469,6.0,99.9
470,,
471,127.0,60.6
472,502.0,23.9
473,,
474,601.0,1.2
475,,
476,,
477,,
478,219.0,49.8
479,102.0,65.0
480,276.0,44.8
481,71.0,72.5
482,,
483,226.0,48.7
484,,
485,303.0,42.1
486,575.0,19.5
487,,
488,,
489,205.0,50.9
490,419.0,31.9
491,,
492,,
493,,
494,358.0,36.8
495,,
496,,
497,402.0,33.5
498,240.0,47.7
499,,
500,274.0,44.8
501,,
502,91.0,68.0
503,151.0,57.6
504,,
505,304.0,41.9
506,446.0,29.1
507,501.0,23.9
508,,
509,,
510,30.0,87.6
511,201.0,51.4
512,451.0,28.8
513,214.0,50.0
514,66.0,74.4
515,213.0,50.0
516,570.0,19.7
517,346.0,38.1
518,374.0,35.6
519,234.0,48.4
520,137.0,59.4
521,,
522,,
523,,
524,,
525,389.0,34.2
526,67.0,74.4
527,513.0,23.3
528,409.0,32.8
529,601.0,14.0
530,,
531,,
532,192.0,52.1
533,,
534,601.0,14.1
535,216.0,49.9
536,601.0,1.0
537,,
538,,
539,,
540,,
541,366.0,36.3
542,,
543,,
544,601.0,13.8
545,361.0,36.7
546,247.0,46.7
547,231.0,48.5
548,,
549,25.0,89.0
550,,
551,,
552,,
553,407.0,32.8
554,39.0,83.7
555,,
556,,
557,268.0,45.4
558,146.0,58.1
559,,
560,,
561,333.0,38.9
562,562.0,20.4
563,,
564,,
565,,
566,,
567,601.0,7.4
568,322.0,39.9
569,,
570,145.0,58.3
571,105.0,64.5
572,,
573,517.0,23.0
574,212.0,50.2
575,586.0,19.2
576,220.0,49.7
577,312.0,40.7
578,149.0,57.8
579,540.0,21.6
580,516.0,23.2
581,264.0,45.7
582,,
583,,
584,,
585,187.0,52.7
586,,
587,359.0,36.8
588,96.0,66.0
589,,
590,,
591,,
592,522.0,22.5
593,,
594,601.0,17.8
595,44.0,81.3
596,3.0,100.0
597,155.0,57.4
598,357.0,37.1
599,300.0,42.3
600,,
601,,
602,601.0,17.3
603,549.0,21.3
604,95.0,67.0
605,601.0,2.1
606,601.0,2.4
607,,
608,,
609,542.0,21.5
610,601.0,1.4
611,461.0,27.8
612,601.0,15.7
