university_id,academic reputation rank,academic reputation score
405,,
406,,
407,,
408,,
409,23.0,98.2
410,,
411,,
412,408.0,20.2
413,498.0,16.6
414,200.0,41.2
415,437.0,19.3
416,,
417,501.0,15.0
418,,
419,,
420,,
421,98.0,66.6
422,85.0,70.6
423,420.0,19.9
424,,
425,,
426,394.0,20.8
427,296.0,28.6
428,,
429,202.0,41.0
430,288.0,28.9
431,262.0,32.0
432,,
433,,
434,501.0,14.1
435,388.0,21.3
436,,
437,,
438,,
439,301.0,28.0
440,,
441,,
442,501.0,14.7
443,,
444,,
445,,
446,,
447,,
448,379.0,21.9
449,464.0,18.1
450,204.0,40.7
451,110.0,61.5
452,164.0,48.4
453,430.0,19.6
454,,
455,42.0,90.1
456,,
457,,
458,148.0,51.9
459,501.0,11.2
460,,
461,469.0,17.9
462,18.0,98.9
463,488.0,17.1
464,,
465,169.0,46.2
466,,
467,277.0,30.4
468,486.0,17.1
469,29.0,97.0
470,,
471,260.0,32.4
472,212.0,39.2
473,,
474,501.0,8.9
475,,
476,,
477,,
478,501.0,2.8
479,380.0,21.8
480,95.0,68.1
481,184.0,43.4
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,246.0,34.1
490,,
491,,
492,,
493,,
494,,
495,,
496,,
497,82.0,73.0
498,117.0,60.2
499,,
500,226.0,37.0
501,,
502,168.0,46.2
503,481.0,17.5
504,,
505,501.0,15.0
506,501.0,4.7
507,501.0,11.3
508,,
509,,
510,122.0,59.7
511,501.0,16.2
512,283.0,29.3
513,231.0,36.1
514,501.0,11.5
515,,
516,,
517,48.0,88.6
518,108.0,62.3
519,103.0,65.3
520,445.0,18.8
521,,
522,,
523,,
524,,
525,66.0,80.6
526,172.0,45.3
527,129.0,57.1
528,460.0,18.3
529,381.0,21.7
530,,
531,,
532,501.0,15.1
533,,
534,51.0,87.7
535,463.0,18.2
536,501.0,8.1
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,501.0,15.7
545,355.0,23.8
546,248.0,34.0
547,11.0,99.7
548,,
549,44.0,89.8
550,,
551,,
552,,
553,175.0,44.7
554,52.0,87.4
555,,
556,,
557,104.0,64.4
558,424.0,19.8
559,,
560,495.0,16.7
561,166.0,47.4
562,,
563,,
564,,
565,,
566,392.0,21.0
567,71.0,77.3
568,121.0,59.9
569,354.0,23.9
570,102.0,66.0
571,501.0,16.5
572,467.0,18.0
573,,
574,230.0,36.3
575,,
576,402.0,20.4
577,337.0,24.8
578,,
579,250.0,33.7
580,199.0,41.3
581,,
582,,
583,,
584,,
585,38.0,91.9
586,,
587,270.0,31.2
588,269.0,31.3
589,479.0,17.6
590,375.0,22.4
591,,
592,,
593,,
594,171.0,45.6
595,3.0,100.0
596,10.0,99.9
