university_id,international students rank,international students score
1,373.0,36.9
2,194.0,69.9
3,549.0,19.2
4,,
5,601.0,5.9
6,375.0,36.7
7,482.0,24.9
8,50.0,99.0
9,577.0,18.0
10,,
11,,
12,,
13,601.0,10.0
14,537.0,20.1
15,,
16,367.0,37.9
17,,
18,,
19,588.0,17.0
20,601.0,2.7
21,75.0,96.0
22,4.0,100.0
23,,
24,559.0,18.7
25,,
26,,
27,79.0,95.4
28,280.0,51.3
29,,
30,237.0,59.7
31,,
32,554.0,18.9
33,178.0,74.5
34,468.0,25.9
35,601.0,10.9
36,,
37,429.0,29.6
38,425.0,29.9
39,,
40,575.0,18.0
41,,
42,,
43,485.0,24.7
44,,
45,,
46,442.0,28.1
47,,
48,,
49,369.0,37.7
50,203.0,68.4
51,601.0,4.1
52,49.0,99.0
53,327.0,44.5
54,488.0,24.2
55,,
56,,
57,,
58,225.0,61.8
59,483.0,24.9
60,,
61,,
62,,
63,601.0,11.1
64,179.0,74.4
65,293.0,49.1
66,,
67,,
68,218.0,63.9
69,601.0,9.0
70,20.0,100.0
71,,
72,252.0,57.1
73,,
74,,
75,286.0,50.7
76,130.0,86.4
77,70.0,96.5
78,567.0,18.4
79,,
80,543.0,19.6
81,,
82,,
83,205.0,65.9
84,164.0,79.4
85,32.0,99.6
86,472.0,25.5
87,504.0,23.2
88,199.0,68.7
89,601.0,1.2
90,423.0,30.2
91,,
92,162.0,79.8
93,,
94,,
95,107.0,90.3
96,521.0,21.2
97,,
98,27.0,99.9
99,428.0,29.7
100,,
101,,
102,,
103,480.0,25.0
104,21.0,100.0
105,464.0,26.1
106,452.0,27.3
107,,
108,,
109,,
110,,
111,,
112,469.0,25.7
113,,
114,,
115,601.0,11.8
116,,
117,,
118,,
119,,
120,304.0,47.9
121,,
122,,
123,181.0,73.7
124,408.0,32.3
125,78.0,95.5
126,136.0,86.0
127,142.0,84.3
128,25.0,100.0
129,601.0,11.9
130,,
131,34.0,99.6
132,601.0,1.7
133,343.0,41.8
134,,
135,,
136,522.0,21.1
137,129.0,86.5
138,601.0,1.5
139,601.0,3.0
140,,
141,,
142,363.0,38.7
143,421.0,30.4
144,471.0,25.5
145,,
146,,
147,104.0,91.2
148,330.0,44.0
149,,
150,28.0,99.8
151,601.0,11.5
152,120.0,88.0
153,446.0,27.6
154,400.0,32.7
155,139.0,85.3
156,,
157,312.0,46.9
158,,
159,29.0,99.6
160,,
161,202.0,68.4
162,,
163,601.0,1.9
164,,
165,601.0,3.6
166,260.0,55.7
167,561.0,18.7
168,,
169,,
170,,
171,298.0,48.7
172,540.0,19.9
173,,
174,,
175,,
176,529.0,20.5
177,159.0,80.2
178,342.0,41.8
179,,
180,,
181,,
182,,
183,,
184,516.0,21.6
185,583.0,17.5
186,,
187,234.0,60.2
188,,
189,99.0,92.4
190,484.0,24.9
191,,
192,457.0,26.5
193,,
194,306.0,47.7
195,,
196,7.0,100.0
197,387.0,35.3
198,,
199,601.0,1.7
200,,
201,163.0,79.4
202,14.0,100.0
203,,
204,,
205,395.0,34.1
206,,
207,,
208,392.0,34.5
209,326.0,44.6
210,309.0,47.2
211,370.0,37.6
212,300.0,48.1
213,,
214,,
215,573.0,18.0
216,,
217,,
218,,
219,430.0,29.4
220,307.0,47.3
221,,
222,,
223,128.0,86.5
224,601.0,11.5
225,,
226,269.0,53.8
227,13.0,100.0
228,320.0,45.3
229,382.0,35.8
230,,
231,601.0,2.5
232,,
233,103.0,91.5
234,601.0,7.8
235,271.0,53.4
236,507.0,22.9
237,,
238,495.0,23.6
239,601.0,6.8
240,290.0,49.6
241,125.0,87.1
242,601.0,8.4
243,601.0,4.9
244,560.0,18.7
245,40.0,99.2
246,,
247,15.0,100.0
248,,
249,192.0,70.0
250,562.0,18.7
251,601.0,4.8
252,,
253,,
254,97.0,93.0
255,601.0,6.8
256,405.0,32.3
257,601.0,11.6
258,,
259,195.0,69.9
260,349.0,40.8
261,585.0,17.1
262,,
263,,
264,601.0,6.0
265,,
266,371.0,37.5
267,,
268,98.0,92.9
269,122.0,87.8
270,60.0,97.9
271,,
272,601.0,7.6
273,172.0,75.9
274,,
275,601.0,11.0
276,265.0,54.3
277,11.0,100.0
278,354.0,40.3
279,,
280,,
281,,
282,,
283,,
284,,
285,394.0,34.3
286,,
287,238.0,59.4
288,,
289,601.0,6.3
290,,
291,242.0,59.0
292,,
293,,
294,,
295,63.0,97.4
296,601.0,7.1
297,239.0,59.1
298,569.0,18.1
299,513.0,22.4
300,308.0,47.2
301,328.0,44.4
302,268.0,53.8
303,,
304,,
305,,
306,,
307,586.0,17.1
308,,
309,391.0,35.0
310,556.0,18.8
