university_id,faculty student rank,faculty student score
1,503.0,29.9
2,258.0,58.4
3,498.0,30.6
4,493.0,30.8
5,236.0,62.0
6,293.0,53.1
7,,
8,127.0,83.1
9,,
10,535.0,27.4
11,,
12,,
13,601.0,3.9
14,288.0,53.4
15,,
16,149.0,79.4
17,,
18,,
19,71.0,94.0
20,601.0,11.7
21,233.0,62.2
22,,
23,,
24,,
25,,
26,,
27,347.0,45.6
28,549.0,26.5
29,382.0,41.4
30,216.0,66.8
31,,
32,69.0,94.6
33,107.0,86.5
34,552.0,26.4
35,6.0,100.0
36,,
37,,
38,,
39,,
40,445.0,34.8
41,,
42,,
43,601.0,3.8
44,477.0,32.3
45,,
46,,
47,,
48,438.0,35.6
49,,
50,519.0,28.7
51,571.0,25.3
52,94.0,88.9
53,132.0,82.1
54,,
55,,
56,,
57,589.0,24.6
58,33.0,99.8
59,601.0,18.5
60,,
61,,
62,,
63,601.0,5.9
64,313.0,50.3
65,,
66,,
67,531.0,27.5
68,65.0,95.4
69,177.0,73.5
70,,
71,282.0,53.8
72,539.0,27.2
73,577.0,25.2
74,,
75,255.0,58.6
76,521.0,28.6
77,340.0,46.3
78,235.0,62.0
79,,
80,,
81,,
82,,
83,601.0,14.1
84,,
85,74.0,93.1
86,601.0,6.5
87,397.0,40.2
88,601.0,5.9
89,601.0,17.4
90,245.0,60.4
91,489.0,31.0
92,56.0,96.9
93,580.0,25.1
94,546.0,26.7
95,592.0,24.3
96,358.0,43.4
97,468.0,32.7
98,600.0,23.8
99,,
100,,
101,,
102,396.0,40.2
103,220.0,65.5
104,440.0,35.4
105,76.0,92.3
106,200.0,68.9
107,456.0,34.1
108,325.0,48.6
109,,
110,,
111,,
112,,
113,,
114,555.0,26.2
115,159.0,76.5
116,511.0,29.2
117,,
118,,
119,,
120,96.0,88.3
121,527.0,27.9
122,,
123,601.0,22.4
124,281.0,54.2
125,,
126,601.0,19.2
127,454.0,34.1
128,,
129,601.0,4.7
130,285.0,53.5
131,601.0,10.0
132,601.0,23.4
133,601.0,8.7
134,,
135,,
136,,
137,231.0,62.6
138,523.0,28.4
139,28.0,99.9
140,,
141,,
142,408.0,38.7
143,52.0,97.6
144,601.0,20.4
145,,
146,,
147,601.0,4.2
148,,
149,307.0,51.1
150,210.0,67.6
151,117.0,84.1
152,371.0,42.4
153,385.0,41.3
154,197.0,69.5
155,601.0,10.7
156,,
157,329.0,48.4
158,,
159,,
160,,
161,20.0,100.0
162,,
163,601.0,16.0
164,,
165,601.0,14.3
166,,
167,427.0,36.2
168,,
169,,
170,583.0,24.9
171,,
172,495.0,30.7
173,,
174,,
175,,
176,,
177,153.0,78.0
178,381.0,41.5
179,425.0,36.8
180,291.0,53.2
181,,
182,,
183,,
184,,
185,,
186,,
187,601.0,10.7
188,,
189,,
190,598.0,23.9
191,542.0,27.1
192,,
193,,
194,,
195,,
196,376.0,41.9
197,365.0,42.8
198,599.0,23.9
199,55.0,96.9
200,,
201,368.0,42.6
202,30.0,99.9
203,390.0,41.1
204,209.0,67.9
205,120.0,83.7
206,,
207,,
208,601.0,21.5
209,472.0,32.4
210,68.0,94.7
211,491.0,30.9
212,108.0,86.4
213,,
214,,
215,,
216,,
217,,
218,271.0,55.4
219,601.0,11.4
220,,
221,,
222,,
223,162.0,76.1
224,145.0,80.0
225,,
226,517.0,28.9
227,601.0,21.4
228,112.0,85.1
229,568.0,25.3
230,36.0,99.6
231,601.0,23.8
232,,
233,252.0,59.2
234,413.0,38.1
235,,
236,557.0,26.1
237,,
238,357.0,43.5
239,507.0,29.4
240,601.0,5.3
241,349.0,45.3
242,393.0,40.6
243,172.0,74.6
244,,
245,601.0,11.2
246,,
247,,
248,305.0,51.6
249,227.0,63.7
250,415.0,37.8
251,433.0,35.8
252,,
253,,
254,60.0,96.7
255,601.0,7.2
256,,
257,98.0,87.9
258,547.0,26.6
259,43.0,98.6
260,238.0,61.6
261,,
262,221.0,65.3
263,435.0,35.7
264,267.0,56.5
265,,
266,524.0,28.2
267,341.0,46.3
268,24.0,99.9
269,,
270,,
271,403.0,39.4
272,79.0,91.5
273,176.0,73.8
274,,
275,352.0,44.5
276,,
277,,
278,386.0,41.2
279,470.0,32.5
280,,
281,,
282,494.0,30.8
283,,
284,,
285,160.0,76.4
286,,
287,601.0,20.5
288,,
289,262.0,57.5
290,,
291,601.0,17.6
292,,
293,437.0,35.6
294,,
295,12.0,100.0
296,399.0,39.7
297,601.0,7.7
298,501.0,30.2
299,,
300,229.0,63.2
301,,
302,443.0,35.1
303,,
304,,
305,,
306,323.0,48.9
307,115.0,84.8
308,,
309,,
310,601.0,15.5
