university_id,international faculty rank,international faculty score
427,,
428,,
429,597.0,17.0
430,79.0,99.5
431,350.0,49.6
432,,
433,,
434,123.0,96.7
435,601.0,15.4
436,,
437,580.0,18.3
438,,
439,126.0,96.4
440,,
441,,
442,505.0,25.8
443,,
444,202.0,84.0
445,,
446,35.0,100.0
447,590.0,17.7
448,575.0,18.6
449,,
450,83.0,99.3
451,294.0,62.0
452,76.0,99.6
453,192.0,85.4
454,,
455,435.0,34.0
456,,
457,,
458,601.0,9.6
459,601.0,1.4
460,,
461,267.0,67.3
462,239.0,74.8
463,,
464,534.0,23.5
465,301.0,60.1
466,295.0,61.6
467,67.0,99.7
468,,
469,51.0,100.0
470,,
471,39.0,100.0
472,316.0,57.4
473,385.0,43.8
474,455.0,32.1
475,562.0,19.7
476,394.0,41.8
477,,
478,,
479,117.0,97.1
480,451.0,32.6
481,146.0,93.2
482,541.0,22.6
483,570.0,18.9
484,,
485,,
486,,
487,,
488,,
489,601.0,2.6
490,584.0,18.0
491,392.0,42.1
492,188.0,86.4
493,250.0,71.8
494,,
495,,
496,,
497,140.0,93.8
498,559.0,20.1
499,566.0,19.2
500,601.0,5.3
501,3.0,100.0
502,95.0,98.3
503,259.0,69.2
504,,
505,96.0,98.2
506,17.0,100.0
507,230.0,77.7
508,,
509,,
510,253.0,71.4
511,537.0,23.0
512,90.0,98.7
513,101.0,98.1
514,601.0,5.5
515,373.0,45.8
516,342.0,50.8
517,601.0,8.2
518,601.0,8.8
519,296.0,61.4
520,53.0,100.0
521,409.0,39.7
522,,
523,454.0,32.2
524,527.0,24.2
525,336.0,52.3
526,103.0,98.1
527,601.0,8.8
528,361.0,47.9
529,601.0,8.6
530,586.0,17.9
531,,
532,171.0,89.0
533,,
534,576.0,18.6
535,97.0,98.2
536,550.0,21.4
537,456.0,32.1
538,,
539,,
540,,
541,,
542,,
543,,
544,457.0,32.0
545,,
546,219.0,82.2
547,415.0,37.2
548,,
549,24.0,100.0
550,,
551,,
552,,
553,601.0,10.3
554,572.0,18.8
555,139.0,94.3
556,,
557,145.0,93.4
558,205.0,83.6
559,,
560,,
561,220.0,81.7
562,426.0,35.7
563,,
564,478.0,29.4
565,,
566,,
567,558.0,20.1
568,545.0,22.2
569,,
570,304.0,59.9
571,155.0,91.9
572,547.0,22.0
573,,
574,86.0,99.0
575,12.0,100.0
576,284.0,63.9
577,535.0,23.2
578,291.0,62.6
579,601.0,11.0
580,515.0,24.6
581,,
582,,
583,,
584,,
585,303.0,59.9
586,,
587,,
588,62.0,99.9
589,317.0,57.4
590,,
591,,
592,,
593,403.0,40.3
594,374.0,45.8
595,80.0,99.4
596,251.0,71.6
597,601.0,10.0
598,264.0,68.4
599,479.0,29.3
600,,
601,,
602,256.0,70.6
603,222.0,80.6
604,234.0,76.4
605,601.0,6.0
606,601.0,1.4
607,,
608,,
609,,
610,601.0,15.7
611,491.0,27.6
612,601.0,6.9
613,55.0,100.0
614,,
615,135.0,94.9
616,546.0,22.1
617,134.0,94.9
618,277.0,64.7
619,601.0,8.1
620,,
621,402.0,40.5
622,463.0,31.3
623,,
624,399.0,41.0
625,325.0,55.5
626,,
627,269.0,67.1
628,112.0,97.6
629,,
630,347.0,50.0
631,,
632,130.0,95.8
633,,
634,161.0,91.5
635,601.0,8.5
636,167.0,90.0
637,,
638,13.0,100.0
639,444.0,32.8
640,,
641,339.0,52.0
642,156.0,91.8
643,,
644,,
645,,
646,601.0,1.4
647,218.0,82.2
648,493.0,27.5
649,183.0,87.2
650,191.0,85.8
651,601.0,8.2
652,447.0,32.8
653,533.0,23.5
654,,
655,114.0,97.3
656,,
657,19.0,100.0
658,247.0,72.5
659,274.0,65.4
660,,
661,443.0,32.8
662,1.0,100.0
663,298.0,60.8
664,329.0,54.6
665,349.0,49.8
666,,
667,240.0,74.1
668,322.0,56.3
669,601.0,5.2
670,104.0,98.1
671,302.0,60.0
672,,
673,,
674,136.0,94.8
675,,
676,371.0,46.0
677,,
678,446.0,32.8
679,,
680,,
681,588.0,17.9
682,,
683,221.0,81.3
684,64.0,99.8
685,,
686,,
687,,
688,,
689,601.0,10.1
690,601.0,11.0
691,124.0,96.6
692,211.0,83.0
693,540.0,22.7
694,601.0,14.1
695,,
696,,
697,,
698,345.0,50.1
699,474.0,29.6
700,,
701,,
702,20.0,100.0
703,179.0,87.6
704,468.0,30.6
705,,
706,601.0,16.0
707,601.0,5.9
708,166.0,90.5
709,,
710,229.0,78.3
711,,
712,,
713,601.0,11.5
714,,
715,544.0,22.2
716,319.0,56.9
717,,
718,337.0,52.0
719,,
720,,
721,,
722,,
723,100.0,98.1
724,,
725,32.0,100.0
726,,
727,421.0,36.5
728,,
729,601.0,9.9
730,472.0,29.7
731,82.0,99.3
732,232.0,77.3
733,405.0,40.1
734,356.0,48.6
735,204.0,83.8
736,121.0,96.8
737,496.0,27.2
738,563.0,19.6
739,,
740,,
741,177.0,88.2
742,601.0,8.6
743,601.0,3.1
744,,
745,346.0,50.1
746,525.0,24.3
747,601.0,7.3
748,442.0,33.0
749,,
750,288.0,63.4
751,523.0,24.4
752,,
753,283.0,63.9
754,59.0,100.0
755,210.0,83.3
756,,
757,,
758,,
759,,
760,162.0,91.2
761,466.0,31.0
762,,
763,25.0,100.0
764,279.0,64.6
765,516.0,24.6
766,601.0,12.4
767,,
768,,
769,,
770,,
771,,
772,305.0,59.9
773,531.0,23.9
774,601.0,3.9
775,40.0,100.0
776,,
777,184.0,87.2
778,601.0,5.3
779,,
780,33.0,100.0
781,10.0,100.0
782,425.0,35.9
783,,
784,513.0,24.8
785,,
786,,
787,,
788,,
789,495.0,27.2
790,122.0,96.7
791,549.0,21.5
792,524.0,24.3
793,,
794,110.0,97.6
795,,
796,601.0,7.2
797,552.0,21.1
798,,
799,401.0,40.8
800,,
801,92.0,98.4
802,160.0,91.8
803,487.0,28.0
804,116.0,97.1
805,,
806,522.0,24.4
807,450.0,32.6
808,601.0,9.5
809,353.0,48.7
810,,
811,,
812,601.0,6.1
813,441.0,33.2
814,289.0,63.2
815,,
816,,
817,477.0,29.4
818,482.0,29.1
819,601.0,15.9
820,,
821,254.0,71.0
822,263.0,68.5
823,78.0,99.5
824,292.0,62.4
825,178.0,88.0
826,245.0,72.7
827,,
828,131.0,95.7
829,600.0,16.8
830,539.0,22.9
831,7.0,100.0
832,449.0,32.7
833,601.0,5.9
834,152.0,92.3
835,,
836,,
837,,
838,,
839,,
840,601.0,11.8
841,115.0,97.2
842,85.0,99.3
843,514.0,24.7
844,556.0,20.6
845,387.0,43.2
846,366.0,46.6
847,512.0,24.9
848,,
849,601.0,4.0
850,,
851,5.0,100.0
852,118.0,97.1
853,561.0,20.0
854,,
855,,
856,,
857,497.0,27.2
858,601.0,14.6
859,,
860,351.0,49.6
861,,
862,379.0,45.2
863,601.0,8.2
864,300.0,60.2
865,589.0,17.9
866,601.0,8.6
867,,
868,433.0,34.7
869,186.0,86.7
870,460.0,31.9
871,601.0,2.4
872,395.0,41.7
873,111.0,97.6
874,174.0,88.7
875,,
876,241.0,73.8
877,,
878,87.0,98.8
879,169.0,89.5
880,,
881,74.0,99.6
882,,
883,,
884,,
885,,
886,437.0,33.7
887,,
888,424.0,36.0
889,,
890,,
891,,
892,,
893,,
894,,
895,413.0,37.3
896,75.0,99.6
897,,
898,,
899,386.0,43.7
900,601.0,3.3
901,,
902,309.0,58.8
903,175.0,88.3
904,22.0,100.0
905,231.0,77.5
906,367.0,46.6
907,601.0,12.8
908,601.0,14.8
909,106.0,97.9
910,224.0,80.5
911,,
912,,
913,,
914,,
915,,
916,,
917,217.0,82.3
918,601.0,11.5
919,,
920,,
921,,
922,313.0,57.9
923,,
924,418.0,37.0
925,,
926,,
927,571.0,18.9
928,601.0,7.0
929,,
930,,
931,200.0,84.5
932,,
933,50.0,100.0
934,314.0,57.6
935,,
936,,
937,585.0,18.0
938,,
939,462.0,31.5
940,,
941,553.0,20.7
942,,
943,601.0,2.5
944,,
945,,
946,252.0,71.4
947,,
948,420.0,36.6
949,,
950,521.0,24.4
951,290.0,62.7
952,,
953,105.0,97.9
954,,
955,548.0,21.6
956,,
957,601.0,6.5
958,315.0,57.5
959,,
960,,
961,338.0,52.0
962,,
963,168.0,89.6
964,,
965,244.0,72.8
966,601.0,15.7
967,182.0,87.3
968,354.0,48.7
969,44.0,100.0
970,255.0,71.0
971,601.0,5.9
972,94.0,98.3
973,601.0,15.0
974,180.0,87.5
975,,
976,,
977,404.0,40.1
978,428.0,35.5
979,,
980,260.0,69.1
981,,
982,601.0,9.2
983,43.0,100.0
984,128.0,96.0
985,57.0,100.0
986,,
987,601.0,2.6
988,,
989,601.0,14.9
990,113.0,97.4
991,,
992,,
993,68.0,99.7
994,,
995,,
996,601.0,4.9
997,601.0,2.6
998,,
999,,
1000,,
1001,,
1002,,
1003,,
1004,494.0,27.4
1005,601.0,10.0
1006,,
1007,360.0,48.2
1008,601.0,13.6
1009,141.0,93.8
1010,,
1011,411.0,37.8
1012,,
1013,246.0,72.6
1014,565.0,19.3
1015,593.0,17.2
1016,187.0,86.7
1017,,
1018,601.0,12.2
1019,318.0,57.1
1020,,
1021,,
1022,,
1023,567.0,19.2
1024,15.0,100.0
1025,,
1026,,
1027,197.0,84.9
1028,285.0,63.6
1029,216.0,82.6
1030,,
1031,592.0,17.3
1032,,
1033,,
1034,102.0,98.1
1035,,
1036,377.0,45.5
1037,,
1038,,
1039,,
1040,393.0,42.0
1041,,
1042,214.0,82.9
1043,,
1044,,
1045,601.0,3.2
1046,,
1047,430.0,35.4
1048,176.0,88.3
1049,464.0,31.2
1050,151.0,92.4
1051,501.0,26.6
1052,215.0,82.7
1053,,
1054,,
1055,601.0,8.5
1056,344.0,50.2
1057,271.0,66.3
1058,510.0,25.0
1059,601.0,14.4
1060,381.0,44.5
1061,,
1062,408.0,39.7
1063,557.0,20.3
1064,308.0,58.9
1065,,
1066,340.0,51.0
1067,601.0,5.1
1068,201.0,84.4
1069,107.0,97.8
1070,,
1071,266.0,67.5
1072,,
1073,388.0,42.9
1074,,
1075,,
1076,,
1077,,
1078,,
1079,508.0,25.2
1080,173.0,88.8
1081,,
1082,23.0,100.0
1083,49.0,100.0
1084,601.0,12.6
1085,,
1086,423.0,36.1
1087,453.0,32.3
1088,,
1089,150.0,92.9
1090,52.0,100.0
1091,,
1092,,
1093,601.0,10.9
1094,,
1095,,
1096,518.0,24.5
1097,601.0,4.5
1098,48.0,100.0
1099,149.0,93.1
1100,601.0,3.2
1101,,
1102,,
1103,594.0,17.2
1104,,
1105,,
1106,517.0,24.6
1107,89.0,98.7
1108,148.0,93.1
1109,,
1110,601.0,4.8
1111,416.0,37.1
1112,,
1113,58.0,100.0
1114,,
1115,519.0,24.5
1116,,
1117,601.0,4.5
1118,412.0,37.6
1119,601.0,4.3
1120,293.0,62.1
1121,,
1122,,
1123,528.0,24.1
1124,599.0,16.9
1125,601.0,8.2
1126,598.0,16.9
1127,185.0,86.8
1128,,
1129,601.0,14.8
1130,506.0,25.6
1131,237.0,75.2
1132,163.0,90.8
1133,138.0,94.8
1134,,
1135,601.0,2.8
1136,68.0,99.7
1137,542.0,22.4
1138,601.0,7.1
1139,555.0,20.6
1140,,
1141,551.0,21.4
1142,458.0,32.0
1143,536.0,23.1
1144,363.0,47.5
1145,,
1146,,
1147,,
