university_id,overall rank,overall score
983,1,100.0
295,2,99.2
595,3,98.9
259,4,98.3
1136,5,98.1
202,6,97.8
657,7,93.3
731,9,92.4
617,10,90.4
627,11,90.3
874,12,89.4
249,13,89.3
990,14,87.9
469,15,87.8
337,16,87.7
285,17,87.0
596,18,87.0
402,19,86.7
227,20,86.7
909,21,86.3
8,22,86.1
547,23,85.9
161,24,85.8
409,25,84.9
549,26,84.5
763,27,84.5
1057,28,84.5
105,29,84.3
355,30,83.8
708,31,83.7
1089,32,82.2
462,33,81.7
339,34,81.5
879,35,81.5
1024,36,80.4
750,37,80.0
254,39,79.5
801,40,79.3
257,41,78.5
775,42,78.2
98,43,78.1
670,44,77.8
196,45,76.9
706,46,76.3
359,47,76.2
922,48,76.2
233,49,76.2
1099,50,74.4
90,51,74.3
371,52,73.7
931,53,73.4
934,54,72.5
634,55,72.4
843,56,72.2
833,57,72.0
957,58,71.8
455,59,71.7
702,60,71.1
341,61,70.1
585,62,70.0
1062,63,69.2
554,64,69.1
177,65,68.7
53,66,68.7
723,67,68.6
794,68,68.0
142,69,67.9
52,70,67.7
624,71,67.6
313,72,66.9
1042,73,66.4
502,74,66.4
422,75,65.5
497,76,65.2
228,77,65.2
953,78,65.1
973,79,64.7
1063,80,63.9
421,81,63.5
628,82,63.5
1,83,63.1
557,84,63.0
834,85,62.8
517,86,62.8
567,87,62.2
525,88,62.2
684,89,62.0
526,90,61.8
320,91,61.6
1098,92,61.6
152,93,61.4
729,94,61.4
383,95,61.0
150,96,61.0
821,97,60.9
1028,98,60.8
358,99,60.7
139,100,60.4
1132,101,60.4
868,102,60.0
534,103,59.9
21,104,59.7
197,105,59.4
899,106,59.3
802,107,58.8
570,108,58.8
481,109,58.7
703,110,58.6
760,111,58.3
604,112,58.1
840,113,58.0
331,114,57.4
519,115,57.2
127,116,57.1
1048,117,56.9
974,118,56.8
50,119,56.7
465,120,56.4
630,121,56.3
588,122,56.2
27,123,55.7
240,124,55.2
467,125,55.0
241,126,55.0
647,127,54.8
969,128,54.8
725,129,54.2
878,130,54.0
841,131,53.7
95,132,53.7
480,133,53.2
1110,134,52.9
1079,135,52.9
