university_id,academic reputation rank,academic reputation score
726,1,100.0
34,2,100.0
175,3,100.0
309,4,100.0
383,5,100.0
216,6,100.0
480,7,100.0
697,8,100.0
1129,9,99.9
70,10,99.8
202,11,99.7
412,12,99.6
170,13,99.5
59,14,99.4
239,16,99.1
8,17,99.1
830,18,99.0
1047,19,98.8
649,20,98.7
51,21,98.4
344,22,98.3
101,23,98.3
178,24,98.2
1087,25,98.1
1,26,98.1
131,27,97.6
1076,28,96.6
1040,29,96.4
409,30,96.1
540,31,96.0
249,32,95.9
194,33,95.4
305,34,93.7
195,35,93.5
108,36,93.3
1123,37,93.2
799,38,92.9
43,39,92.8
902,40,92.7
460,41,92.4
979,42,91.0
665,43,90.2
50,44,89.9
21,45,89.7
285,46,89.5
845,47,89.1
361,48,88.6
985,49,88.4
831,50,88.4
569,51,87.3
926,52,87.1
266,53,85.7
829,54,85.0
348,55,84.7
1092,56,84.6
661,57,84.6
1073,58,84.0
394,59,83.9
371,60,83.8
546,61,83.7
793,62,83.6
152,63,83.3
532,64,82.2
1051,65,81.6
1037,66,81.5
590,67,81.3
589,68,81.2
899,69,81.2
743,70,80.8
753,71,80.2
695,72,80.0
653,73,79.6
893,74,79.2
464,75,78.3
1122,76,77.5
1094,77,76.3
64,78,74.9
343,79,74.4
594,80,74.1
433,81,73.8
718,82,73.7
316,83,73.2
813,84,73.0
475,85,72.4
511,86,71.3
556,87,71.2
631,88,70.8
1118,89,70.3
525,90,70.3
559,91,69.5
648,92,69.3
253,93,69.3
952,94,69.3
820,95,69.1
786,96,68.2
833,97,68.1
908,98,67.7
650,99,67.5
444,100,67.4
223,101,66.6
526,102,66.6
291,103,65.4
919,104,65.2
530,105,65.1
78,106,64.2
727,107,63.9
283,108,63.9
655,109,63.2
132,110,63.0
181,111,62.7
864,112,62.0
179,113,61.7
72,114,61.5
144,115,61.4
1144,116,60.7
1133,117,60.4
404,118,60.2
293,119,60.1
1108,120,59.9
620,121,59.7
160,122,59.6
76,123,59.6
282,124,59.5
769,125,59.4
156,126,59.1
85,127,59.0
814,128,58.9
352,129,58.8
119,130,58.7
544,131,58.3
501,132,57.4
1052,133,57.3
38,134,57.3
756,135,56.8
5,136,56.6
19,137,56.2
139,138,56.2
88,139,55.8
35,140,55.8
441,141,55.5
888,142,54.8
930,143,54.5
1071,144,54.2
967,145,54.1
426,146,53.4
646,147,53.1
457,148,52.9
413,149,52.5
470,150,52.5
592,151,52.4
477,152,51.7
724,153,51.6
705,154,51.5
57,155,51.4
1138,156,51.4
539,157,51.3
571,158,51.2
48,159,51.2
311,160,51.0
237,161,50.5
474,162,49.8
304,163,49.7
286,164,49.4
641,165,49.2
560,166,49.1
121,167,49.0
334,168,48.8
325,169,48.7
39,170,48.0
1060,171,48.0
680,172,47.4
771,173,47.3
373,174,46.7
762,175,46.6
885,176,46.5
117,177,46.3
439,178,46.3
52,179,46.1
284,180,45.8
1034,181,45.7
1016,182,45.6
823,183,45.5
492,184,45.1
69,186,44.8
157,187,44.6
1096,188,44.5
843,189,44.4
461,190,44.4
505,191,44.4
714,192,44.0
827,193,43.7
555,194,43.5
469,195,43.4
224,196,43.3
327,197,43.3
258,198,43.2
449,199,43.0
1006,200,42.4
1046,201,42.2
972,202,41.5
932,203,41.0
512,204,40.9
161,205,40.9
296,206,40.9
346,207,40.8
995,208,40.7
214,209,40.5
454,210,40.5
999,211,40.4
993,212,40.1
338,213,39.8
488,214,39.8
244,215,39.7
232,216,39.6
915,217,39.6
91,218,39.5
273,219,39.3
602,220,38.8
710,221,38.7
1100,222,38.7
362,223,38.6
502,224,38.6
681,225,38.5
246,226,38.5
840,227,38.4
33,228,37.9
548,229,37.7
280,230,37.6
256,231,37.5
190,232,37.3
198,233,37.3
1013,234,36.9
519,235,36.9
459,236,36.9
287,237,36.9
1064,238,36.4
1017,239,36.2
251,240,36.1
514,241,36.1
1007,242,35.8
391,243,35.6
393,244,35.6
80,245,35.2
1120,246,35.1
199,247,34.7
673,248,34.5
1104,249,34.4
96,250,34.4
332,251,34.4
955,252,34.3
443,253,34.0
86,254,34.0
914,255,33.9
1014,256,33.8
557,257,33.8
873,258,33.6
598,259,33.6
747,260,33.5
994,261,33.4
956,263,33.2
721,264,33.2
537,265,32.9
366,266,32.9
801,267,32.9
857,268,32.7
1001,269,32.7
135,270,32.5
150,271,32.4
874,272,32.2
17,273,32.1
886,274,31.9
326,275,31.6
669,276,31.6
944,277,31.5
975,278,31.5
910,279,31.3
1140,280,31.2
130,281,31.0
570,282,30.9
31,283,30.5
1128,284,30.5
664,285,30.5
122,286,30.4
613,287,30.3
336,288,30.3
208,289,30.2
818,290,29.7
141,291,29.6
32,292,29.6
1085,293,29.5
1091,294,29.4
448,295,29.3
789,296,29.3
462,297,29.1
844,298,29.1
171,299,29.0
377,300,29.0
384,301,28.9
931,302,28.9
229,303,28.9
751,304,28.9
1127,305,28.7
865,306,28.6
671,307,28.6
245,308,28.5
115,309,28.4
950,310,28.3
946,311,28.3
353,312,28.0
905,313,28.0
521,314,27.8
822,315,27.8
759,316,27.6
437,317,27.5
573,318,27.3
1112,319,27.3
784,320,27.1
935,321,27.1
432,322,27.0
257,323,26.9
826,324,26.8
686,325,26.7
133,326,26.6
1088,327,26.6
65,328,26.6
1109,329,26.5
436,330,26.5
603,331,26.5
306,332,26.5
741,333,26.4
58,334,26.3
299,335,26.3
698,336,26.3
1072,337,26.2
965,338,26.2
960,339,26.1
897,340,25.9
970,341,25.7
36,342,25.6
802,343,25.5
754,344,25.4
53,345,25.4
651,346,25.3
1077,347,25.2
241,348,25.2
386,349,25.1
126,350,25.1
212,351,25.0
694,352,24.6
529,353,24.4
364,354,24.4
238,355,24.4
991,356,24.3
11,357,24.2
996,358,24.0
184,359,23.9
479,360,23.8
211,361,23.7
395,362,23.7
220,363,23.7
1099,364,23.7
725,365,23.6
427,366,23.6
355,367,23.5
1145,368,23.5
909,369,23.4
528,370,23.3
84,371,23.2
387,372,23.2
523,373,23.1
601,374,23.1
174,375,23.1
203,376,23.1
92,377,23.0
