university_id,international faculty rank,international faculty score
1,560.0,23.4
2,192.0,88.3
3,409.0,40.5
4,701.0,6.0
5,505.0,27.2
6,215.0,84.2
7,452.0,35.2
8,100.0,98.8
9,446.0,36.2
10,701.0,1.8
11,701.0,4.7
12,701.0,8.3
13,591.0,20.0
14,418.0,38.5
15,701.0,3.7
16,701.0,6.7
17,701.0,9.0
18,701.0,7.3
19,701.0,6.3
20,701.0,1.3
21,218.0,84.0
22,3.0,100.0
23,701.0,5.4
24,701.0,3.8
25,701.0,4.3
26,701.0,7.7
27,157.0,93.6
28,279.0,70.0
29,,
30,191.0,88.4
31,701.0,9.7
32,272.0,70.8
33,420.0,38.2
34,216.0,84.2
35,701.0,3.6
36,701.0,8.5
37,392.0,42.1
38,196.0,87.6
39,701.0,2.8
40,635.0,16.8
41,701.0,3.4
42,701.0,6.1
43,495.0,29.1
44,681.0,14.2
45,,
46,701.0,6.7
47,701.0,2.0
48,701.0,6.7
49,408.0,40.5
50,256.0,74.8
51,701.0,5.4
52,17.0,100.0
53,346.0,52.8
54,701.0,5.9
55,701.0,1.4
56,,
57,701.0,8.8
58,214.0,84.3
59,306.0,63.0
60,701.0,7.0
61,427.0,37.7
62,701.0,1.1
63,449.0,35.5
64,351.0,51.3
65,326.0,56.9
66,701.0,3.0
67,549.0,24.0
68,47.0,100.0
69,701.0,12.5
70,333.0,55.4
71,701.0,8.2
72,222.0,82.8
73,701.0,1.7
74,701.0,5.1
75,701.0,4.6
76,189.0,88.4
77,75.0,100.0
78,588.0,20.2
79,701.0,6.7
80,701.0,2.1
81,701.0,8.4
82,,
83,282.0,68.8
84,301.0,63.8
85,458.0,34.6
86,165.0,92.9
87,236.0,78.3
88,310.0,62.6
89,701.0,2.1
90,415.0,39.2
91,701.0,1.2
92,336.0,55.0
93,331.0,56.2
94,701.0,7.4
95,92.0,99.3
96,701.0,9.7
97,701.0,4.2
98,41.0,100.0
99,701.0,7.8
100,701.0,1.4
101,701.0,1.3
102,701.0,3.3
103,361.0,49.5
104,51.0,100.0
105,701.0,10.3
106,691.0,13.8
107,701.0,3.1
108,701.0,1.9
109,701.0,2.9
110,626.0,17.1
111,610.0,18.4
112,412.0,40.0
113,701.0,7.6
114,701.0,6.8
115,263.0,72.6
116,,
117,536.0,25.0
118,701.0,3.1
119,672.0,14.7
120,684.0,14.2
121,701.0,1.4
122,701.0,1.2
123,161.0,93.3
124,328.0,56.5
125,428.0,37.5
126,146.0,95.6
127,474.0,31.8
128,235.0,78.4
129,701.0,8.0
130,701.0,8.2
131,151.0,95.0
132,701.0,3.9
133,141.0,96.0
134,701.0,1.7
135,701.0,1.1
136,11.0,100.0
137,159.0,93.5
138,701.0,2.4
139,464.0,33.8
140,660.0,15.5
141,701.0,6.0
142,619.0,17.7
143,701.0,4.1
144,378.0,45.2
145,701.0,6.1
146,701.0,1.5
147,227.0,80.3
148,195.0,87.6
149,701.0,1.4
150,103.0,98.7
151,,
152,576.0,21.6
153,700.0,13.0
154,701.0,5.3
155,91.0,99.3
156,701.0,3.4
157,539.0,24.8
158,701.0,10.4
159,257.0,74.8
160,701.0,5.8
161,280.0,69.2
162,297.0,64.7
163,701.0,7.9
164,535.0,25.0
165,701.0,3.3
166,39.0,100.0
167,701.0,3.0
168,701.0,1.7
169,701.0,2.0
170,701.0,4.6
171,390.0,42.7
172,251.0,75.2
173,,
174,701.0,1.1
175,699.0,13.1
176,394.0,41.7
177,40.0,100.0
178,180.0,90.5
179,437.0,37.0
180,31.0,100.0
181,701.0,1.9
182,701.0,2.1
183,701.0,3.6
184,353.0,51.0
185,701.0,7.9
186,701.0,2.7
187,81.0,99.8
188,506.0,27.2
189,237.0,78.2
190,701.0,7.6
191,701.0,1.2
192,638.0,16.8
193,547.0,24.0
194,439.0,37.0
195,701.0,2.5
196,35.0,100.0
197,108.0,98.3
198,466.0,33.0
199,701.0,5.0
200,701.0,2.8
201,174.0,91.6
202,61.0,100.0
203,701.0,2.1
204,701.0,1.8
205,373.0,46.2
206,701.0,2.3
207,167.0,92.5
208,701.0,3.2
209,73.0,100.0
210,701.0,6.7
211,21.0,100.0
212,10.0,100.0
213,701.0,5.0
214,701.0,4.4
215,625.0,17.1
216,701.0,4.7
217,656.0,15.7
218,,
219,274.0,70.4
220,575.0,21.6
221,701.0,5.6
222,701.0,6.8
223,381.0,44.3
224,554.0,23.8
225,701.0,6.6
226,507.0,27.1
227,89.0,99.5
228,594.0,19.6
229,317.0,59.9
230,701.0,1.1
231,517.0,26.4
232,701.0,3.2
233,57.0,100.0
234,489.0,30.3
235,363.0,48.4
236,395.0,41.6
237,,
238,397.0,41.5
239,701.0,11.2
240,302.0,63.8
241,34.0,100.0
242,701.0,3.1
243,701.0,13.0
244,666.0,15.1
245,82.0,99.8
246,648.0,16.3
247,9.0,100.0
248,,
249,283.0,68.7
250,655.0,15.8
251,664.0,15.1
252,701.0,5.8
253,701.0,9.0
254,518.0,26.4
255,701.0,1.3
256,528.0,25.5
257,701.0,11.5
258,701.0,8.5
259,210.0,84.6
260,16.0,100.0
261,72.0,100.0
262,701.0,4.7
263,701.0,2.5
264,383.0,43.8
265,701.0,4.8
266,644.0,16.4
267,701.0,2.0
268,269.0,71.4
269,312.0,61.2
270,173.0,91.9
271,379.0,44.6
272,46.0,100.0
273,701.0,7.9
274,654.0,15.8
275,508.0,27.1
276,330.0,56.2
277,5.0,100.0
278,701.0,5.1
279,388.0,43.1
280,701.0,1.5
281,701.0,6.6
282,701.0,2.8
283,293.0,65.6
284,701.0,1.4
285,354.0,50.8
286,701.0,13.0
287,133.0,96.6
288,318.0,59.4
289,701.0,2.4
290,701.0,3.9
291,44.0,100.0
292,701.0,10.1
293,701.0,6.7
294,534.0,25.1
295,64.0,100.0
296,577.0,21.6
297,48.0,100.0
298,,
299,190.0,88.4
300,629.0,17.0
301,470.0,32.7
302,261.0,73.1
303,701.0,4.9
304,701.0,2.5
305,701.0,6.6
306,701.0,7.0
307,667.0,15.1
308,516.0,26.4
309,550.0,23.9
310,294.0,65.3
311,,
312,305.0,63.4
313,29.0,100.0
314,253.0,75.1
315,701.0,1.4
316,,
317,179.0,90.6
318,701.0,3.5
319,533.0,25.1
320,475.0,31.8
321,76.0,100.0
322,238.0,77.9
323,213.0,84.4
324,434.0,37.2
325,574.0,21.8
326,316.0,60.2
327,701.0,6.5
328,701.0,9.9
329,552.0,23.8
330,701.0,1.3
331,86.0,99.7
332,701.0,4.8
333,701.0,2.4
334,582.0,21.1
335,701.0,8.6
336,701.0,8.1
337,184.0,89.8
338,701.0,5.0
339,38.0,100.0
340,631.0,16.9
341,163.0,93.1
342,701.0,4.2
343,701.0,12.1
344,382.0,44.1
345,,
346,701.0,8.6
347,701.0,3.4
348,701.0,2.9
349,701.0,6.9
350,599.0,19.0
351,701.0,7.0
352,701.0,4.6
353,329.0,56.4
354,701.0,2.4
355,386.0,43.4
356,170.0,92.3
357,701.0,5.4
358,398.0,41.5
359,66.0,100.0
360,701.0,4.8
361,514.0,26.6
362,701.0,9.9
363,284.0,68.5
364,319.0,59.3
365,701.0,3.9
366,701.0,5.6
367,701.0,2.8
368,460.0,34.5
369,454.0,35.1
370,365.0,48.1
371,371.0,46.6
372,701.0,12.4
373,701.0,6.5
374,,
375,597.0,19.3
376,701.0,1.4
377,701.0,5.7
378,701.0,3.4
379,701.0,5.1
380,156.0,94.4
381,701.0,4.0
382,701.0,3.1
383,309.0,62.6
384,544.0,24.3
385,152.0,94.8
386,701.0,5.5
387,701.0,7.7
388,701.0,1.3
389,487.0,30.4
390,358.0,50.0
