university_id,citations per faculty rank,citations per faculty score
1,189.0,62.9
2,342.0,40.3
3,533.0,21.6
4,471.0,25.8
5,417.0,32.4
6,565.0,19.2
7,701.0,2.1
8,216.0,58.7
9,701.0,2.2
10,701.0,4.3
11,528.0,22.0
12,701.0,2.7
13,206.0,59.9
14,641.0,14.8
15,701.0,1.8
16,701.0,1.4
17,701.0,3.4
18,674.0,13.3
19,701.0,1.9
20,72.0,91.2
21,289.0,46.9
22,701.0,1.9
23,701.0,3.1
24,701.0,5.9
25,98.0,84.3
26,508.0,23.4
27,115.0,79.3
28,237.0,54.3
29,701.0,1.2
30,491.0,24.9
31,701.0,3.8
32,27.0,98.4
33,185.0,63.9
34,701.0,2.6
35,701.0,4.9
36,625.0,15.3
37,701.0,4.5
38,701.0,2.1
39,701.0,2.0
40,363.0,38.3
41,701.0,7.5
42,701.0,8.6
43,299.0,45.1
44,433.0,30.1
45,701.0,3.7
46,701.0,6.9
47,701.0,4.2
48,701.0,3.3
49,640.0,14.8
50,210.0,59.2
51,170.0,65.3
52,9.0,99.9
53,416.0,32.7
54,458.0,27.5
55,701.0,1.6
56,368.0,37.9
57,701.0,8.3
58,259.0,50.7
59,162.0,67.3
60,701.0,8.0
61,701.0,4.4
62,701.0,5.7
63,154.0,68.0
64,492.0,24.9
65,701.0,5.2
66,701.0,1.3
67,701.0,1.4
68,701.0,8.2
69,693.0,12.3
70,701.0,1.4
71,701.0,1.1
72,330.0,41.5
73,701.0,4.2
74,701.0,3.9
75,701.0,1.8
76,161.0,67.4
77,307.0,43.5
78,701.0,1.1
79,218.0,58.5
80,411.0,33.2
81,701.0,5.6
82,54.0,94.8
83,701.0,8.4
84,582.0,18.1
85,109.0,80.7
86,123.0,77.8
87,129.0,74.9
88,117.0,79.0
89,126.0,75.5
90,15.0,99.4
91,181.0,64.3
92,292.0,46.0
93,557.0,20.1
94,701.0,8.0
95,646.0,14.5
96,701.0,3.0
97,701.0,3.2
98,84.0,87.0
99,701.0,5.9
100,522.0,22.5
101,701.0,1.4
102,701.0,1.7
103,587.0,17.7
104,629.0,15.2
105,148.0,70.0
106,569.0,19.0
107,701.0,2.3
108,701.0,1.8
109,701.0,8.7
110,474.0,25.7
111,394.0,34.6
112,701.0,6.1
113,701.0,2.2
114,701.0,9.3
115,701.0,9.0
116,701.0,1.8
117,701.0,1.9
118,701.0,1.8
119,146.0,70.4
120,657.0,14.0
121,701.0,1.1
122,701.0,1.6
123,405.0,33.7
124,701.0,4.8
125,246.0,52.4
126,60.0,93.8
127,157.0,68.0
128,701.0,6.0
129,267.0,49.5
130,701.0,9.7
131,321.0,42.2
132,701.0,1.8
133,176.0,64.9
134,701.0,2.6
135,701.0,3.1
136,555.0,20.3
137,311.0,42.9
138,182.0,64.3
139,29.0,98.3
140,701.0,2.3
141,701.0,3.0
142,288.0,47.0
143,701.0,1.3
144,36.0,97.7
145,257.0,51.0
146,501.0,24.0
147,504.0,23.7
148,411.0,33.1
149,701.0,1.5
150,223.0,57.7
151,701.0,6.9
152,204.0,60.1
153,701.0,8.6
154,121.0,78.6
155,128.0,75.0
156,570.0,18.8
157,701.0,9.4
158,701.0,1.5
159,701.0,6.8
160,413.0,32.9
161,49.0,95.7
162,351.0,39.0
163,701.0,8.3
164,550.0,20.7
165,39.0,97.3
166,546.0,20.9
167,701.0,4.1
168,701.0,3.7
169,701.0,9.6
170,701.0,3.8
171,457.0,27.5
172,701.0,3.5
173,701.0,1.2
174,701.0,1.9
175,701.0,7.4
176,496.0,24.4
177,77.0,88.8
178,701.0,1.6
179,567.0,19.2
180,701.0,2.2
181,701.0,2.8
182,159.0,67.5
183,701.0,2.1
184,359.0,38.6
185,701.0,6.8
186,701.0,1.5
187,414.0,32.8
188,633.0,15.1
189,701.0,5.6
190,375.0,37.4
191,701.0,10.2
192,428.0,31.1
193,558.0,20.0
194,701.0,4.4
195,701.0,1.0
