university_id,employer reputation rank,employer reputation score
1,126.0,63.0
2,275.0,35.3
3,397.0,24.4
4,601.0,7.6
5,440.0,21.1
6,198.0,44.7
7,456.0,19.9
8,26.0,96.9
9,518.0,16.5
10,172.0,49.8
11,601.0,2.5
12,447.0,20.8
13,240.0,39.4
14,601.0,12.7
15,601.0,1.7
16,601.0,3.7
17,601.0,13.0
18,131.0,60.4
19,308.0,31.9
20,421.0,22.5
21,153.0,52.3
22,513.0,16.8
23,601.0,2.4
24,601.0,7.6
25,601.0,6.6
26,601.0,1.4
27,236.0,40.2
28,601.0,6.8
29,601.0,1.9
30,283.0,34.5
31,601.0,4.2
32,570.0,14.4
33,507.0,17.1
34,587.0,13.8
35,601.0,6.3
36,601.0,11.8
37,462.0,19.5
38,601.0,7.6
39,366.0,26.4
40,111.0,67.7
41,601.0,3.5
42,601.0,3.1
43,179.0,48.6
44,601.0,7.4
45,601.0,2.8
46,550.0,15.0
47,191.0,45.1
48,498.0,17.6
49,298.0,33.2
50,199.0,44.7
51,601.0,11.6
52,356.0,27.3
53,34.0,96.0
54,601.0,4.9
55,601.0,8.7
56,601.0,5.1
57,480.0,18.3
58,601.0,10.4
59,384.0,25.0
60,233.0,40.4
61,90.0,73.5
62,197.0,44.8
63,601.0,6.0
64,107.0,69.3
65,450.0,20.5
66,601.0,4.2
67,287.0,34.0
68,601.0,5.5
69,601.0,3.2
70,601.0,1.9
71,601.0,6.8
72,129.0,61.2
73,601.0,2.6
74,466.0,19.3
75,601.0,3.5
76,241.0,39.3
77,321.0,30.3
78,601.0,13.1
79,601.0,2.3
80,601.0,2.6
81,601.0,5.5
82,410.0,23.2
83,329.0,29.7
84,601.0,7.3
85,142.0,57.9
86,601.0,3.1
87,585.0,13.9
88,263.0,37.5
89,175.0,49.3
90,64.0,83.3
91,601.0,2.7
92,472.0,19.0
93,601.0,6.8
94,330.0,29.6
95,217.0,42.5
96,601.0,4.2
97,601.0,4.3
98,89.0,73.7
99,601.0,7.3
100,344.0,28.2
101,601.0,6.0
102,141.0,57.9
103,338.0,29.0
104,601.0,9.5
105,9.0,99.8
106,402.0,24.0
107,601.0,5.2
108,553.0,14.8
109,601.0,2.3
110,264.0,37.1
111,601.0,10.2
112,601.0,5.7
113,560.0,14.6
114,601.0,3.8
115,601.0,13.3
116,260.0,37.6
117,377.0,25.4
118,601.0,2.2
119,601.0,3.8
120,224.0,41.6
121,601.0,10.2
122,601.0,10.1
123,281.0,34.6
124,177.0,49.1
125,601.0,2.9
126,382.0,25.1
127,183.0,47.6
128,601.0,6.7
129,237.0,40.0
130,601.0,10.7
131,483.0,18.1
132,75.0,77.1
133,261.0,37.6
134,195.0,44.9
135,555.0,14.8
136,468.0,19.1
137,326.0,29.9
138,80.0,75.9
139,79.0,75.9
140,601.0,6.9
141,601.0,6.4
142,46.0,91.3
143,219.0,42.5
144,601.0,13.3
145,601.0,5.8
146,496.0,17.7
147,544.0,15.2
148,601.0,4.8
149,601.0,1.7
150,114.0,67.2
151,601.0,4.3
152,109.0,68.3
153,601.0,3.8
154,398.0,24.2
155,601.0,13.2
156,601.0,7.9
157,210.0,43.5
158,479.0,18.3
159,601.0,12.5
160,601.0,6.7
161,25.0,97.0
162,601.0,2.4
163,509.0,17.0
164,155.0,52.3
165,601.0,3.0
166,538.0,15.3
167,418.0,22.8
168,601.0,4.8
169,601.0,2.0
170,601.0,7.0
171,601.0,5.7
172,601.0,11.9
173,601.0,5.0
174,601.0,6.3
175,273.0,35.6
176,601.0,8.4
177,323.0,30.2
178,601.0,12.2
179,262.0,37.5
180,601.0,5.1
181,184.0,47.6
182,249.0,38.8
183,316.0,31.0
184,601.0,3.1
185,601.0,7.5
186,601.0,2.9
187,299.0,33.1
188,601.0,4.1
189,601.0,2.9
190,601.0,2.0
191,601.0,2.5
192,601.0,7.5
193,601.0,8.0
194,601.0,5.8
195,112.0,67.7
196,32.0,96.1
197,320.0,30.5
198,601.0,5.3
199,601.0,4.3
200,601.0,5.1
201,161.0,51.1
202,12.0,99.4
203,601.0,7.9
204,601.0,12.1
205,258.0,37.7
206,601.0,1.5
207,519.0,16.5
208,176.0,49.3
209,361.0,26.9
210,572.0,14.4
211,429.0,21.9
212,451.0,20.4
213,601.0,4.2
214,601.0,4.4
215,601.0,2.7
216,439.0,21.1
217,601.0,7.4
218,601.0,6.7
219,470.0,19.0
220,584.0,13.9
221,601.0,3.2
222,601.0,2.4
223,113.0,67.5
224,583.0,13.9
225,92.0,72.9
226,245.0,39.0
227,57.0,87.7
228,31.0,96.3
229,164.0,51.0
230,601.0,1.1
231,35.0,95.7
232,419.0,22.7
233,190.0,46.3
234,389.0,24.6
235,601.0,9.4
236,340.0,28.7
237,557.0,14.6
238,458.0,19.8
239,601.0,8.6
240,99.0,71.2
241,494.0,17.8
242,484.0,18.1
243,346.0,27.8
244,449.0,20.6
245,601.0,5.1
246,601.0,12.3
247,473.0,18.8
248,601.0,10.1
249,47.0,90.5
250,516.0,16.7
251,601.0,7.4
252,601.0,9.1
253,601.0,6.9
254,15.0,98.5
255,215.0,42.7
256,601.0,3.4
257,17.0,98.2
258,601.0,6.8
259,1.0,100.0
260,257.0,37.8
261,601.0,13.0
262,601.0,9.7
263,601.0,2.0
264,601.0,9.0
265,601.0,3.8
266,343.0,28.2
267,601.0,5.5
268,477.0,18.4
269,601.0,4.0
270,601.0,4.2
271,95.0,72.5
272,601.0,3.9
273,601.0,8.0
274,166.0,50.6
275,596.0,13.5
276,601.0,7.0
277,490.0,17.9
278,601.0,3.0
279,227.0,41.0
280,601.0,2.5
281,601.0,4.4
282,601.0,5.6
283,276.0,35.1
284,370.0,25.9
285,37.0,95.4
286,601.0,9.1
287,601.0,6.7
288,601.0,13.1
289,423.0,22.3
290,601.0,2.8
291,359.0,27.1
292,601.0,8.3
293,601.0,6.7
294,601.0,11.8
295,4.0,100.0
296,601.0,8.9
297,546.0,15.0
298,601.0,7.6
299,337.0,29.1
300,285.0,34.4
301,601.0,12.4
302,193.0,45.0
303,601.0,8.4
304,601.0,11.7
305,601.0,3.4
306,601.0,1.7
307,536.0,15.4
308,601.0,7.8
309,601.0,3.4
310,577.0,14.2
311,601.0,8.5
312,601.0,4.8
313,200.0,44.6
314,601.0,9.6
315,601.0,6.2
316,601.0,5.9
317,511.0,16.9
318,601.0,5.8
319,601.0,13.1
320,39.0,94.8
321,601.0,3.8
322,417.0,22.8
323,122.0,65.6
324,601.0,2.1
325,412.0,23.0
326,601.0,9.5
327,601.0,2.4
328,601.0,2.4
329,395.0,24.4
330,601.0,2.6
331,186.0,47.4
332,601.0,3.5
333,601.0,5.0
334,144.0,57.7
335,563.0,14.5
336,601.0,7.5
337,7.0,99.9
338,601.0,4.6
339,102.0,70.2
340,601.0,5.0
341,220.0,42.4
342,601.0,2.7
343,601.0,6.1
344,601.0,13.4
345,601.0,6.8
346,552.0,14.9
347,601.0,9.8
348,154.0,52.3
349,601.0,12.1
350,601.0,12.2
351,601.0,8.7
352,601.0,6.2
353,601.0,9.6
354,514.0,16.8
355,8.0,99.8
356,341.0,28.2
357,601.0,2.9
358,71.0,81.2
359,73.0,79.0
360,601.0,9.6
361,601.0,8.8
362,558.0,14.6
363,531.0,15.7
364,157.0,51.7
365,288.0,33.9
366,601.0,3.9
367,601.0,2.2
368,376.0,25.4
369,554.0,14.8
370,601.0,6.8
371,83.0,75.3
372,601.0,6.0
373,601.0,3.0
374,601.0,2.1
375,121.0,65.9
376,533.0,15.5
377,601.0,13.3
378,601.0,3.0
379,601.0,4.3
380,453.0,20.2
381,601.0,7.0
382,523.0,16.3
383,20.0,98.0
384,601.0,8.6
385,270.0,36.3
386,315.0,31.1
387,601.0,9.3
388,601.0,10.3
389,601.0,8.3
390,489.0,17.9
391,601.0,1.9
392,601.0,3.6
393,312.0,31.6
394,601.0,4.3
395,601.0,3.5
396,537.0,15.4
397,601.0,2.7
398,601.0,8.7
399,406.0,23.7
400,601.0,2.5
401,601.0,10.1
402,55.0,88.1
403,601.0,2.5
404,601.0,4.0
405,427.0,22.0
406,601.0,8.1
407,601.0,2.3
408,601.0,3.2
409,27.0,96.9
410,319.0,30.7
411,601.0,3.2
412,239.0,39.6
413,601.0,8.5
414,601.0,11.9
415,601.0,8.5
416,601.0,6.2
417,601.0,5.5
418,574.0,14.3
419,601.0,3.2
420,601.0,4.7
421,238.0,39.8
422,77.0,76.7
423,601.0,4.9
424,601.0,2.9
425,601.0,9.4
426,254.0,38.3
427,601.0,7.3
428,601.0,2.8
429,82.0,75.6
430,526.0,16.2
431,601.0,5.3
432,292.0,33.7
433,529.0,16.0
434,601.0,6.7
435,358.0,27.1
436,527.0,16.1
437,495.0,17.8
438,430.0,21.8
439,601.0,8.9
440,601.0,5.8
441,601.0,2.4
442,601.0,9.7
443,601.0,2.2
444,354.0,27.6
445,601.0,3.6
446,601.0,5.5
447,601.0,5.2
448,601.0,11.2
449,568.0,14.4
450,255.0,38.2
451,174.0,49.4
452,375.0,25.5
453,485.0,18.0
454,425.0,22.2
455,151.0,53.2
456,601.0,2.4
457,399.0,24.1
458,601.0,12.7
459,491.0,17.9
460,601.0,2.0
461,424.0,22.2
462,48.0,89.9
463,601.0,9.2
464,601.0,3.6
465,76.0,76.8
466,601.0,4.8
467,78.0,76.2
468,601.0,8.8
469,41.0,93.7
470,601.0,3.6
471,309.0,31.8
472,253.0,38.5
473,601.0,7.1
474,493.0,17.8
475,251.0,38.8
476,601.0,4.1
477,601.0,2.5
478,601.0,3.3
479,422.0,22.3
480,290.0,33.9
481,223.0,41.8
482,345.0,28.0
483,601.0,5.3
484,601.0,6.5
485,601.0,2.1
486,601.0,3.4
487,601.0,10.3
488,601.0,4.0
489,147.0,55.9
490,601.0,11.5
491,204.0,44.1
492,601.0,4.8
493,474.0,18.8
494,601.0,4.3
495,601.0,11.3
496,301.0,32.6
497,101.0,70.7
498,98.0,71.6
499,601.0,10.7
500,414.0,22.9
501,487.0,18.0
502,162.0,51.1
503,601.0,7.0
504,601.0,6.0
505,601.0,7.3
506,601.0,3.9
507,598.0,13.5
508,437.0,21.2
509,601.0,5.2
510,378.0,25.4
511,532.0,15.6
512,528.0,16.0
513,88.0,74.3
514,534.0,15.4
515,601.0,6.5
516,601.0,9.7
517,66.0,82.9
518,169.0,50.1
519,304.0,32.3
520,488.0,18.0
521,601.0,13.4
522,391.0,24.5
523,601.0,2.1
524,601.0,3.8
525,156.0,52.0
526,143.0,57.8
527,145.0,57.7
528,524.0,16.3
529,413.0,23.0
530,339.0,28.7
531,601.0,5.9
532,294.0,33.4
533,601.0,2.3
534,11.0,99.5
535,601.0,12.6
536,432.0,21.5
537,331.0,29.4
538,601.0,2.2
539,601.0,3.6
540,601.0,3.0
541,565.0,14.4
542,601.0,11.4
543,601.0,11.0
544,455.0,19.9
545,481.0,18.2
546,165.0,50.9
547,16.0,98.3
548,601.0,8.5
549,115.0,67.1
550,601.0,9.4
551,601.0,3.8
552,601.0,3.8
553,408.0,23.5
554,100.0,70.8
555,208.0,43.7
556,601.0,6.1
557,81.0,75.7
558,601.0,7.8
559,601.0,3.7
560,601.0,13.1
561,181.0,48.3
562,601.0,5.2
563,601.0,12.0
564,601.0,12.1
565,601.0,12.8
566,562.0,14.5
567,74.0,78.3
568,246.0,39.0
569,431.0,21.8
570,311.0,31.6
571,601.0,7.6
572,72.0,80.6
573,601.0,9.5
574,127.0,61.6
575,601.0,4.2
576,363.0,26.6
577,256.0,37.8
578,601.0,4.8
579,426.0,22.0
580,476.0,18.4
581,601.0,2.3
582,569.0,14.4
583,601.0,11.6
584,539.0,15.3
585,167.0,50.4
586,348.0,27.8
587,601.0,5.7
588,525.0,16.3
589,244.0,39.0
590,365.0,26.4
591,601.0,4.3
592,601.0,5.0
593,601.0,13.1
594,325.0,29.9
595,5.0,100.0
596,23.0,97.5
597,310.0,31.8
598,379.0,25.2
599,306.0,32.2
600,601.0,7.1
601,372.0,25.8
602,601.0,11.0
603,601.0,8.3
604,117.0,66.7
605,152.0,52.5
606,136.0,58.9
607,318.0,30.8
608,601.0,2.3
609,601.0,8.5
610,436.0,21.3
611,124.0,63.8
612,601.0,8.4
613,601.0,11.7
614,601.0,8.0
615,328.0,29.7
616,601.0,6.1
617,6.0,100.0
618,601.0,3.4
619,307.0,32.0
620,601.0,6.0
621,601.0,7.9
622,463.0,19.5
623,597.0,13.5
624,13.0,99.1
625,601.0,4.2
626,601.0,5.9
627,38.0,95.4
628,160.0,51.2
629,601.0,2.9
630,120.0,65.9
631,601.0,1.8
632,416.0,22.8
633,601.0,4.0
634,60.0,84.7
635,601.0,5.7
636,601.0,8.7
637,601.0,2.5
638,206.0,43.9
639,601.0,5.3
640,601.0,2.5
641,67.0,82.8
642,435.0,21.3
643,601.0,4.4
644,601.0,2.5
645,601.0,3.5
646,454.0,20.0
647,362.0,26.8
648,369.0,26.1
649,317.0,30.8
650,595.0,13.6
651,295.0,33.4
652,601.0,4.9
653,459.0,19.8
654,601.0,2.6
655,601.0,5.7
