university_id,academic reputation rank,academic reputation score
1,76,77.5
2,194,43.5
3,246,35.1
4,601,12.3
5,311,28.3
6,435,20.1
7,601,12.1
8,25,98.1
9,601,6.4
10,382,22.8
11,601,7.2
12,601,9.8
13,351,25.0
14,389,22.6
15,601,4.0
16,601,10.0
17,601,8.0
18,357,24.2
19,318,27.3
20,500,17.8
21,130,58.7
22,601,9.8
23,601,9.1
24,601,8.5
25,601,13.4
26,601,3.0
27,215,39.7
28,601,12.0
29,601,4.1
30,136,56.6
31,601,8.6
32,285,30.5
33,486,18.4
34,601,4.5
35,601,8.4
36,601,11.0
37,601,8.0
38,601,10.7
39,524,16.9
40,147,53.1
41,601,6.6
42,601,6.2
43,545,16.1
44,601,13.1
45,601,9.5
46,324,26.8
47,419,21.0
48,601,6.3
49,408,21.3
50,107,63.9
51,340,25.9
52,122,59.6
53,68,81.2
54,601,11.9
55,601,6.8
56,538,16.3
57,601,9.6
58,224,38.6
59,315,27.8
60,363,23.7
61,469,19.1
62,601,8.9
63,511,17.4
64,137,56.2
65,601,10.6
66,601,7.0
67,525,16.8
68,420,21.0
69,601,7.8
70,601,4.4
71,601,8.4
72,229,37.7
73,601,12.4
74,256,33.8
75,601,5.7
76,263,33.2
77,258,33.6
78,510,17.4
79,601,6.2
80,601,12.5
81,601,5.7
82,601,6.6
83,301,28.9
84,601,8.7
85,601,8.3
86,601,8.9
87,302,28.9
88,417,21.0
89,247,34.7
90,61,83.7
91,601,5.1
92,196,43.3
93,601,6.9
94,601,8.7
95,88,70.8
96,601,9.3
97,601,11.7
98,52,87.1
99,601,6.4
100,240,36.1
101,601,4.4
102,451,19.7
103,172,47.4
104,494,18.1
105,7,100.0
106,242,35.8
107,601,6.2
108,601,8.1
109,601,5.0
110,601,14.4
111,601,4.2
112,601,8.7
113,601,6.6
114,601,3.4
115,577,15.1
116,260,33.5
117,394,22.4
118,601,7.4
119,601,8.4
120,312,28.0
121,601,5.4
122,601,7.0
123,334,26.3
124,265,32.9
125,601,2.7
126,290,29.7
127,150,52.5
128,601,12.9
129,73,79.6
130,531,16.7
131,405,21.4
132,177,46.3
133,205,40.9
134,409,21.3
135,601,11.7
136,568,15.4
137,148,52.9
138,158,51.2
139,153,51.6
140,601,11.2
141,601,11.4
142,39,92.8
143,327,26.6
144,601,6.9
145,413,21.2
146,601,12.1
147,580,15.0
148,601,3.6
149,601,5.0
150,173,47.3
151,599,14.4
152,113,61.7
153,601,5.2
154,415,21.1
155,484,18.4
156,601,12.5
157,183,45.5
158,601,10.8
159,601,9.2
160,601,13.6
161,82,73.7
162,601,1.6
163,119,60.1
164,365,23.6
165,601,12.6
166,601,11.8
167,542,16.2
168,601,5.0
169,601,8.9
170,601,11.5
171,601,3.9
172,601,5.9
173,601,8.5
174,601,3.6
175,322,27.0
176,450,19.7
177,97,68.1
178,601,12.4
179,496,18.1
180,601,12.8
181,303,28.9
182,476,18.7
183,221,38.7
184,547,16.0
185,601,7.3
186,601,7.7
187,257,33.8
188,601,5.9
189,601,3.5
190,601,6.7
191,601,9.7
192,601,14.0
193,601,8.9
194,601,5.9
195,328,26.6
196,98,67.7
197,111,62.7
198,601,3.7
199,601,11.4
200,601,12.4
201,199,43.0
202,23,98.3
203,601,9.7
204,601,6.6
205,231,37.5
206,601,5.6
207,532,16.6
208,280,31.2
209,296,29.3
210,317,27.5
211,493,18.2
212,448,19.7
213,601,10.1
214,453,19.6
215,601,10.3
216,601,13.5
217,601,8.1
218,601,11.2
219,142,54.8
220,601,10.9
221,601,5.7
222,601,7.7
223,129,58.8
224,449,19.7
225,197,43.3
226,455,19.5
227,31,96.0
228,72,80.0
229,190,44.4
230,601,5.7
231,103,65.4
232,427,20.4
233,50,88.4
234,278,31.5
235,601,9.2
236,160,51.0
237,601,9.6
238,151,52.4
239,414,21.1
240,94,69.3
241,314,27.8
242,385,22.7
243,447,19.8
244,601,11.0
245,535,16.4
246,601,6.9
247,530,16.7
248,478,18.6
249,26,98.1
250,601,9.0
251,601,12.8
252,601,7.1
253,508,17.5
254,32,95.9
255,425,20.5
256,601,8.9
257,18,99.0
258,601,8.3
259,1,100.0
260,310,28.3
261,601,8.4
262,601,5.5
263,601,4.6
264,397,22.2
265,511,17.4
266,601,11.4
267,601,7.3
268,398,22.1
269,601,3.8
270,601,4.5
271,254,34.0
272,601,13.7
273,601,6.5
274,601,10.0
275,237,36.9
276,601,8.4
277,601,11.5
278,601,2.4
279,570,15.3
280,601,5.9
281,601,9.7
282,601,5.8
283,565,15.5
284,305,28.7
285,14,99.4
286,601,12.9
287,522,17.0
288,601,10.6
289,238,36.4
290,601,6.0
291,178,46.3
292,601,9.7
293,601,6.5
294,601,12.9
295,3,100.0
296,513,17.4
297,483,18.4
298,601,12.9
299,507,17.5
300,288,30.3
301,601,12.1
302,418,21.0
303,601,8.6
304,481,18.5
305,601,8.8
306,601,4.0
307,601,10.3
308,601,8.4
309,461,19.4
310,592,14.6
311,601,8.5
312,601,4.7
313,138,56.2
314,601,8.4
315,601,9.4
316,601,6.7
317,239,36.2
318,601,11.5
319,601,6.6
320,79,74.4
321,601,10.7
322,282,30.9
323,203,41.0
324,601,9.1
325,83,73.2
326,463,19.4
327,601,5.3
328,601,11.9
329,330,26.5
330,601,2.5
331,273,32.1
332,601,8.3
333,601,6.9
334,584,15.0
335,375,23.1
336,601,9.7
337,9,99.9
338,601,6.5
339,37,93.2
340,601,9.6
341,56,84.6
342,601,4.7
343,601,13.6
344,601,7.1
345,601,6.0
346,306,28.6
347,192,44.0
348,601,14.2
349,536,16.4
350,601,11.2
351,554,15.8
352,601,13.4
353,601,14.2
354,601,6.1
355,8,100.0
356,335,26.3
357,601,4.9
358,108,63.9
359,84,73.0
360,601,13.6
361,601,11.0
362,601,6.5
363,217,39.6
364,293,29.5
365,281,31.0
366,601,8.9
367,601,4.6
368,601,11.9
369,474,18.8
370,601,9.9
371,87,71.2
372,601,9.0
373,601,5.2
374,601,6.9
375,601,8.1
376,353,24.4
377,410,21.3
378,601,4.3
379,601,6.8
380,388,22.6
381,601,8.3
382,598,14.4
383,36,93.3
384,477,18.7
385,309,28.4
386,468,19.1
387,601,9.4
388,601,8.6
389,601,13.6
390,354,24.4
391,601,4.8
392,601,6.5
393,336,26.3
394,601,6.7
395,601,10.6
396,601,9.3
397,601,12.2
398,562,15.6
399,601,11.4
400,601,6.6
401,188,44.5
402,45,89.7
403,601,5.9
404,601,6.4
405,601,8.7
406,601,12.9
407,601,6.3
408,601,5.3
409,16,99.1
410,601,8.8
411,601,4.3
412,319,27.3
413,543,16.1
414,218,39.5
415,466,19.2
416,601,8.3
417,601,13.1
418,601,12.6
419,601,9.6
420,539,16.2
421,92,69.3
422,89,70.3
423,487,18.4
424,601,6.1
425,601,10.1
426,422,20.6
427,255,33.9
428,601,12.6
429,164,49.4
430,332,26.5
431,289,30.2
432,544,16.1
433,601,10.9
434,601,13.3
435,402,21.5
436,601,11.0
437,601,12.5
438,601,11.3
439,380,22.9
440,601,13.0
441,601,10.9
442,588,14.8
443,601,5.1
444,601,9.2
445,601,11.9
446,601,9.3
447,601,5.3
448,444,19.9
449,350,25.1
450,210,40.5
451,120,59.9
452,186,44.8
453,441,20.0
454,582,15.0
455,48,88.6
456,601,6.2
457,601,13.4
458,159,51.2
459,601,12.6
460,601,8.7
461,442,20.0
462,22,98.3
463,432,20.3
464,601,13.7
465,182,45.6
466,601,5.5
467,295,29.3
468,456,19.4
469,30,96.1
470,601,8.8
471,271,32.4
472,235,36.9
473,601,10.1
474,601,9.3
475,601,9.0
476,601,4.8
477,601,3.5
478,601,2.8
479,369,23.4
480,110,63.0
481,187,44.6
482,423,20.6
483,601,9.8
484,569,15.3
485,601,9.6
486,601,3.4
487,601,5.4
488,601,6.6
489,212,40.1
490,601,10.9
491,601,10.5
492,601,5.6
493,601,13.4
494,601,5.5
495,534,16.4
496,601,6.8
497,77,76.3
498,106,64.2
499,560,15.6
500,214,39.8
501,504,17.7
502,181,45.7
503,505,17.5
504,601,6.5
505,601,13.7
506,601,5.8
507,601,12.5
508,521,17.2
509,601,5.8
510,123,59.6
511,601,14.2
512,286,30.4
513,244,35.6
514,601,10.3
515,601,7.6
516,601,8.4
517,41,92.4
518,90,70.3
519,105,65.1
520,465,19.2
521,601,12.0
522,480,18.5
523,601,5.7
524,594,14.6
525,75,78.3
526,195,43.4
527,117,60.4
528,495,18.1
529,325,26.7
530,526,16.8
531,601,5.7
532,573,15.2
533,601,10.0
534,38,92.9
535,458,19.4
536,574,15.2
537,601,7.8
538,601,3.8
539,601,5.1
540,601,7.5
541,601,7.0
542,601,9.5
543,601,11.0
544,446,19.8
