university_id,overall rank,overall score
1,83,63.1
2,168,49.4
3,314,33.5
4,697,
5,318,33.4
6,279,36.9
7,935,
8,22,86.1
9,1011,
10,575,20.7
11,1189,
12,1137,
13,283,36.5
14,466,24.8
15,1472,
16,702,
17,1313,
18,405,27.6
19,400,28.0
20,370,30.0
21,104,59.7
22,604,
23,1357,
24,1009,
25,345,31.6
26,1184,
27,123,55.7
28,347,31.5
29,1122,
30,142,52.1
31,1351,
32,187,47.6
33,255,38.8
34,923,
35,729,
36,828,
37,928,
38,992,
39,1002,
40,234,41.3
41,1250,
42,1307,
43,460,25.2
44,659,
45,1330,
46,539,22.0
47,683,
48,1034,
49,485,23.9
50,119,56.7
51,396,28.2
52,70,67.7
53,66,68.7
54,846,
55,1329,
56,744,
57,1006,
58,157,50.5
59,274,37.2
60,561,21.1
61,570,20.8
62,800,
63,442,25.9
64,156,50.5
65,595,19.9
66,1317,
67,672,
68,392,28.3
69,763,
70,959,
71,818,
72,183,47.9
73,1140,
74,572,20.7
75,969,
76,171,48.9
77,202,45.8
78,642,
79,688,
80,741,
81,1308,
82,453,25.6
83,414,27.1
84,649,
85,194,46.7
86,369,30.1
87,222,42.5
88,246,39.7
89,278,36.9
90,51,74.3
91,692,
92,152,51.3
93,850,
94,917,
95,132,53.7
96,971,
97,995,
98,43,78.1
99,1038,
100,409,27.4
101,1374,
102,565,20.9
103,232,41.4
104,514,22.8
105,29,84.3
106,358,30.9
107,1382,
108,963,
109,1361,
110,593,20.0
111,726,
112,1100,
113,1353,
114,1265,
115,412,27.2
116,546,21.6
117,721,
118,1461,
119,563,21.0
120,333,32.5
121,1123,
122,1242,
123,277,37.0
124,322,33.2
125,625,
126,162,50.1
127,116,57.1
128,718,
129,154,50.5
130,723,
131,329,32.6
132,339,32.2
133,191,46.8
134,698,
135,1155,
136,591,20.1
137,139,52.5
138,198,46.1
139,100,60.4
140,1013,
141,1107,
142,69,67.9
143,389,28.3
144,352,31.2
145,473,24.6
146,801,
147,390,28.3
148,653,
149,1281,
150,96,61.0
151,615,
152,93,61.4
153,1096,
154,237,40.9
155,250,39.5
156,725,
157,248,39.6
158,1125,
159,573,20.7
160,829,
161,24,85.8
162,793,
163,374,29.9
164,326,32.8
165,440,26.0
166,549,21.5
167,792,
168,1310,
169,986,
170,977,
171,903,
172,966,
173,1327,
174,1373,
175,610,
176,521,22.7
177,65,68.7
178,623,
179,529,22.3
180,765,
181,557,21.2
182,362,30.7
183,543,21.8
184,462,25.0
185,1237,
186,1323,
187,258,38.7
188,1058,
189,872,
190,673,
191,1008,
192,766,
193,867,
194,944,
195,584,20.3
196,45,76.9
197,105,59.4
198,1069,
199,740,
200,1141,
201,153,50.9
202,6,97.8
203,1094,
204,920,
205,247,39.7
206,1448,
207,669,
208,350,31.3
209,175,48.7
210,423,26.7
211,583,20.3
212,231,41.6
213,910,
214,835,
215,781,
216,1003,
217,1259,
218,751,
219,163,50.0
220,676,
221,1275,
222,1328,
223,158,50.4
224,468,24.7
225,411,27.2
226,569,20.8
227,20,86.7
228,77,65.2
229,176,48.7
230,885,
231,199,46.0
232,764,
233,49,76.2
234,386,28.6
235,750,
236,205,45.1
237,1165,
238,240,40.6
239,385,28.6
240,124,55.2
241,126,55.0
242,341,32.1
243,477,24.4
244,853,
245,461,25.1
246,1210,
247,470,24.7
248,533,22.1
249,13,89.3
250,852,
251,458,25.2
252,825,
253,950,
254,39,79.5
255,348,31.4
256,1402,
257,41,78.5
258,1293,
259,4,98.3
260,290,35.9
261,501,23.2
262,939,
263,1044,
264,519,22.7
265,535,22.1
266,756,
267,1149,
268,224,42.4
269,879,
270,679,
271,346,31.5
272,527,22.4
273,690,
274,832,
275,264,37.9
276,779,
277,581,20.4
278,1180,
279,622,
280,1397,
281,1343,
282,1143,
283,655,
284,532,22.1
285,17,87.0
286,1035,
287,340,32.2
288,716,
289,324,32.8
290,727,
291,206,45.0
292,821,
293,1055,
294,627,
295,2,99.2
296,330,32.6
297,379,29.5
298,839,
299,427,26.6
300,297,35.3
301,883,
302,308,33.9
303,497,23.4
304,907,
305,454,25.5
306,1204,
307,579,20.5
308,999,
309,384,29.0
310,471,24.6
311,428,26.5
312,892,
313,72,66.9
314,506,23.1
315,1135,
316,1079,
317,188,47.3
318,618,
319,968,
320,91,61.6
321,567,20.9
322,312,33.8
323,281,36.6
324,301,34.6
325,166,49.7
326,377,29.5
327,1486,
328,1404,
329,508,23.0
330,1384,
331,114,57.4
332,808,
333,1201,
334,434,26.2
335,938,
336,586,20.2
337,16,87.7
338,560,21.1
339,34,81.5
340,601,19.8
341,61,70.1
342,1222,
343,397,28.1
344,1042,
345,1312,
346,256,38.7
347,404,27.8
348,749,
349,961,
350,901,
351,733,
352,840,
353,588,20.2
354,1018,
355,30,83.8
356,289,36.0
357,1450,
358,99,60.7
359,47,76.2
360,787,
361,704,
362,1120,
363,207,44.9
364,356,30.9
365,706,
366,925,
367,934,
368,886,
369,663,
370,755,
371,52,73.7
372,955,
373,1086,
374,904,
375,585,20.3
376,979,
377,476,24.4
378,489,23.7
379,1154,
380,242,40.3
381,498,23.4
382,745,
383,95,61.0
384,288,36.1
385,293,35.7
386,694,
387,820,
388,1033,
389,870,
390,421,26.8
391,1108,
392,1093,
393,446,25.8
394,783,
395,640,
396,830,
397,1080,
398,619,
399,1030,
400,1019,
401,294,35.6
402,19,86.7
403,624,
404,1060,
405,671,
406,1065,
407,1272,
408,1453,
409,25,84.9
410,985,
411,1163,
412,686,
413,387,28.4
414,245,39.8
415,296,35.4
416,603,
417,475,24.4
418,797,
419,1016,
420,761,
421,81,63.5
422,75,65.5
423,334,32.5
424,1053,
425,1014,
426,210,44.4
427,488,23.8
428,946,
429,228,41.8
430,243,40.1
431,469,24.7
432,738,
433,1029,
434,381,29.2
435,616,
436,1021,
437,845,
438,819,
439,218,43.1
440,1142,
441,897,
442,552,21.4
443,599,19.8
444,636,
445,700,
446,643,
447,894,
448,495,23.5
449,834,
450,190,46.8
451,136,52.7
452,241,40.5
453,328,32.7
454,978,
455,59,71.7
456,1451,
457,776,
458,276,37.0
459,701,
460,1194,
461,337,32.2
462,33,81.7
463,887,
464,732,
465,120,56.4
466,813,
467,125,55.0
468,981,
469,15,87.8
470,1170,
471,184,47.8
472,270,37.5
473,789,
474,534,22.1
475,795,
476,1010,
477,1476,
478,371,30.0
479,257,38.7
480,133,53.2
481,109,58.7
482,541,21.9
483,660,
484,1215,
485,536,22.0
486,1091,
487,1199,
488,1175,
489,285,36.1
490,691,
491,587,20.2
492,667,
493,710,
494,1167,
495,1041,
496,833,
497,76,65.2
498,147,51.9
499,1112,
500,253,39.0
501,675,
502,74,66.4
503,406,27.6
504,1074,
505,424,26.7
506,331,32.6
507,449,25.7
508,984,
509,1027,
510,141,52.1
511,472,24.6
512,239,40.6
513,148,51.8
514,450,25.7
515,720,
516,877,
517,86,62.8
518,220,42.7
519,115,57.2
520,298,34.9
521,590,20.1
522,737,
523,1025,
524,953,
525,88,62.2
526,90,61.8
527,200,45.9
528,425,26.7
529,500,23.2
530,926,
531,1231,
532,373,29.9
533,1356,
534,103,59.9
535,295,35.4
536,613,
537,393,28.2
538,957,
539,878,
540,921,
541,880,
542,991,
543,1111,
544,417,27.0
545,520,22.7
546,177,48.5
547,23,85.9
548,1380,
549,26,84.5
550,1216,
551,1284,
552,1088,
553,325,32.8
554,64,69.1
555,626,
556,1319,
557,84,63.0
558,310,33.9
559,1063,
560,906,
561,155,50.5
562,780,
563,1287,
564,1090,
565,1131,
566,836,
567,87,62.2
568,150,51.7
569,754,
570,108,58.8
571,323,33.0
572,484,23.9
573,930,
574,144,52.0
575,507,23.0
576,268,37.5
577,391,28.3
578,482,24.0
579,355,31.0
580,287,36.1
581,674,
582,949,
583,1073,
584,693,
585,62,70.0
586,940,
587,367,30.3
588,122,56.2
589,491,23.6
590,600,19.8
591,1395,
592,859,
593,988,
594,213,44.1
595,3,98.9
596,18,87.0
597,361,30.7
598,159,50.2
599,305,34.3
600,927,
601,1126,
602,422,26.7
603,735,
604,112,58.1
605,523,22.6
606,407,27.6
607,1138,
608,1408,
609,804,
610,528,22.3
611,189,46.9
612,703,
613,408,27.4
614,1346,
615,204,45.2
616,958,
617,10,90.4
618,656,
619,260,38.5
620,465,24.9
621,426,26.7
622,439,26.0
623,401,27.9
624,71,67.6
625,814,
626,1076,
627,11,90.3
628,82,63.5
629,748,
630,121,56.3
631,1292,
632,448,25.7
633,1047,
634,55,72.4
635,359,30.8
636,416,27.0
637,1463,
638,174,48.7
639,380,29.4
640,1101,
641,284,36.2
642,203,45.2
643,866,
644,874,
645,1031,
646,225,42.1
647,127,54.8
648,170,48.9
649,182,48.0
650,443,25.9
651,376,29.5
652,1043,
653,261,38.4
654,684,
655,415,27.1
656,888,
657,7,93.3
658,580,20.5
659,251,39.3
660,1372,
661,432,26.2
662,365,30.3
663,731,
664,916,
665,490,23.7
666,1130,
667,608,
668,932,
669,302,34.5
670,44,77.8
671,805,
672,1252,
673,1449,
674,589,20.1
675,651,
676,1089,
677,548,21.5
678,773,
679,607,
680,918,
681,197,46.2
682,719,
683,151,51.3
684,89,62.0
685,638,
686,538,22.0
687,696,
688,1022,
689,511,22.9
690,320,33.2
691,666,
692,309,33.9
693,632,
694,474,24.5
695,1139,
696,1400,
697,1132,
698,564,21.0
699,360,30.8
700,758,
701,1362,
702,60,71.1
703,110,58.6
704,402,27.9
705,1241,
706,46,76.3
707,317,33.4
708,31,83.7
709,689,
710,891,
711,919,
712,1332,
713,343,32.0
714,960,
715,1004,
716,303,34.5
717,970,
718,315,33.5
719,1334,
720,809,
721,760,
722,1193,
723,67,68.6
724,1005,
725,129,54.2
726,596,19.9
727,452,25.7
728,838,
729,94,61.4
730,849,
731,9,92.4
732,893,
733,1092,
734,195,46.6
735,212,44.2
736,363,30.6
737,712,
738,639,
739,847,
740,890,
741,259,38.6
742,223,42.5
743,621,
744,914,
745,167,49.6
746,438,26.0
747,267,37.7
748,444,25.9
749,730,
750,37,80.0
751,272,37.3
752,998,
753,480,24.2
754,609,
755,822,
756,909,
757,1269,
758,989,
759,455,25.5
760,111,58.3
761,201,45.9
762,628,
763,27,84.5
764,831,
765,299,34.8
766,505,23.1
767,614,
768,1267,
769,1454,
770,654,
771,993,
772,547,21.5
773,562,21.1
774,149,51.7
775,42,78.2
776,806,
777,192,46.8
778,420,26.8
779,1393,
780,140,52.4
781,254,38.9
782,502,23.2
783,1207,
784,410,27.3
785,1084,
786,884,
787,994,
788,873,
789,635,
790,186,47.6
791,1387,
792,777,
793,842,
794,68,68.0
795,1345,
796,478,24.3
797,882,
798,1208,
799,1056,
800,1127,
801,40,79.3
802,107,58.8
803,229,41.7
804,233,41.3
805,1235,
806,431,26.3
807,509,23.0
808,160,50.2
809,399,28.1
810,905,
811,1117,
812,479,24.3
813,215,43.9
814,526,22.5
815,983,
816,1064,
817,644,
818,419,26.9
819,602,19.8
820,973,
821,97,60.9
822,437,26.0
823,221,42.7
824,193,46.7
825,216,43.5
826,292,35.7
827,942,
828,641,
829,662,
830,503,23.2
831,709,
832,332,32.6
833,57,72.0
834,85,62.8
835,743,
836,486,23.9
837,965,
838,996,
839,948,
840,113,58.0
841,131,53.7
842,364,30.6
843,56,72.2
844,169,49.1
845,313,33.7
846,269,37.5
847,544,21.7
848,757,
849,252,39.2
850,715,
851,553,21.3
852,244,39.9
853,1032,
854,1350,
855,1385,
856,1118,
857,1062,
858,211,44.3
859,1369,
860,464,24.9
861,1082,
862,551,21.4
863,708,
864,555,21.3
865,524,22.6
866,383,29.0
867,769,
868,102,60.0
869,179,48.5
870,1197,
871,648,
872,447,25.8
873,173,48.8
874,12,89.4
875,1390,
876,556,21.3
877,1121,
878,130,54.0
879,35,81.5
880,606,
881,344,31.9
882,510,23.0
883,1360,
884,799,
885,848,
886,1000,
887,647,
888,899,
889,1161,
890,1289,
891,945,
892,707,
893,962,
894,687,
895,657,
896,869,
897,974,
898,1403,
899,106,59.3
900,368,30.2
901,646,
902,504,23.1
903,238,40.9
904,864,
905,249,39.6
906,578,20.5
907,435,26.2
908,496,23.4
909,21,86.3
910,433,26.2
911,772,
912,941,
913,858,
914,868,
915,1399,
916,1230,
917,494,23.5
918,677,
919,810,
920,713,
921,964,
922,48,76.2
923,759,
924,300,34.7
925,695,
926,1452,
927,768,
928,767,
929,597,19.9
930,338,32.2
931,53,73.4
932,861,
933,441,26.0
934,54,72.5
935,739,
936,972,
937,537,22.0
938,542,21.8
939,699,
940,678,
941,357,30.9
942,1171,
943,518,22.7
944,617,
945,650,
946,436,26.2
947,1104,
948,342,32.1
949,875,
950,456,25.2
951,571,20.8
952,778,
953,78,65.1
954,860,
955,1150,
956,493,23.5
957,58,71.8
958,483,23.9
959,1066,
960,1024,
961,321,33.2
962,1364,
963,429,26.4
964,976,
965,513,22.8
966,463,24.9
967,282,36.6
968,263,38.0
969,128,54.8
970,209,44.5
971,351,31.3
972,568,20.8
973,79,64.7
974,118,56.8
975,481,24.1
976,372,29.9
977,645,
978,1023,
979,1078,
980,445,25.9
981,1462,
982,398,28.1
983,1,100.0
984,594,19.9
985,235,41.2
986,1469,
987,598,19.9
988,1389,
989,291,35.8
990,14,87.9
991,1214,
992,1240,
993,145,51.9
994,1081,
995,1152,
996,271,37.4
997,788,
998,1075,
999,499,23.4
1000,1342,
1001,844,
1002,668,
1003,1198,
1004,378,29.5
1005,353,31.2
1006,515,22.8
1007,395,28.2
1008,394,28.2
1009,319,33.3
1010,841,
1011,566,20.9
1012,881,
1013,413,27.2
1014,1068,
1015,794,
1016,592,20.0
1017,631,
1018,214,44.0
1019,661,
1020,1113,
1021,796,
1022,895,
1023,1136,
1024,36,80.4
1025,487,24.0
1026,816,
1027,143,52.0
1028,98,60.8
1029,265,37.9
1030,898,
1031,1401,
1032,862,
1033,728,
1034,286,36.1
1035,811,
1036,512,22.9
1037,915,
1038,680,
1039,1349,
1040,230,41.6
1041,807,
1042,73,66.4
1043,611,
1044,851,
1045,316,33.4
1046,742,
1047,634,
1048,117,56.9
1049,161,50.2
1050,582,20.4
1051,652,
1052,273,37.3
1053,670,
1054,629,
1055,262,38.1
1056,665,
1057,28,84.5
1058,280,36.8
1059,165,49.7
1060,545,21.7
1061,1205,
1062,63,69.2
1063,80,63.9
1064,605,
1065,522,22.6
1066,633,
1067,349,31.4
1068,226,41.9
1069,375,29.7
1070,366,30.3
1071,180,48.1
1072,705,
1073,762,
1074,770,
1075,685,
1076,823,
1077,1085,
1078,550,21.4
1079,135,52.9
1080,146,51.9
1081,1046,
1082,181,48.0
1083,459,25.2
1084,275,37.1
1085,1061,
1086,1151,
1087,1191,
1088,982,
1089,32,82.2
1090,327,32.7
1091,889,
1092,911,
1093,219,43.0
1094,931,
1095,956,
1096,558,21.1
1097,335,32.4
1098,92,61.6
1099,50,74.4
1100,172,48.8
1101,516,22.7
1102,714,
1103,236,41.1
1104,798,
1105,1394,
1106,354,31.1
1107,664,
1108,418,27.0
1109,525,22.5
1110,134,52.9
1111,576,20.6
1112,747,
1113,1203,
1114,1134,
1115,1192,
1116,837,
1117,854,
1118,137,52.6
