university_id,faculty student rank,faculty student score
1,540.0,28.4
2,351.0,45.0
3,514.0,30.5
4,647.0,21.0
5,302.0,52.3
6,155.0,76.8
7,639.0,21.3
8,176.0,72.4
9,701.0,7.3
10,408.0,38.7
11,701.0,10.2
12,701.0,12.3
13,701.0,3.1
14,281.0,54.5
15,701.0,4.5
16,110.0,84.4
17,701.0,3.8
18,701.0,12.1
19,82.0,90.7
20,701.0,7.8
21,278.0,54.7
22,657.0,20.4
23,701.0,8.9
24,701.0,10.6
25,701.0,13.8
26,570.0,25.9
27,581.0,25.2
28,701.0,17.3
29,195.0,67.5
30,154.0,77.0
31,701.0,2.9
32,59.0,95.7
33,118.0,83.0
34,585.0,24.9
35,6.0,100.0
36,701.0,5.0
37,701.0,10.7
38,701.0,7.3
39,701.0,7.0
40,542.0,28.3
41,701.0,5.9
42,701.0,3.4
43,701.0,2.1
44,678.0,19.6
45,701.0,5.7
46,611.0,23.2
47,701.0,10.5
48,701.0,16.6
49,701.0,16.8
50,607.0,23.4
51,664.0,20.0
52,99.0,86.6
53,178.0,71.6
54,701.0,11.5
55,701.0,14.6
56,701.0,8.3
57,701.0,16.7
58,28.0,99.8
59,701.0,8.9
60,701.0,17.2
61,701.0,4.2
62,701.0,16.4
63,701.0,4.9
64,296.0,53.0
65,701.0,10.2
66,701.0,14.7
67,433.0,36.6
68,54.0,96.3
69,214.0,64.7
70,701.0,8.1
71,138.0,80.6
72,668.0,19.9
73,701.0,17.6
74,701.0,16.4
75,315.0,49.4
76,701.0,16.1
77,554.0,27.5
78,139.0,79.8
79,701.0,16.8
80,701.0,8.6
81,701.0,3.6
82,701.0,2.5
83,701.0,13.8
84,701.0,8.2
85,45.0,98.2
86,701.0,4.9
87,551.0,27.6
88,701.0,6.2
89,701.0,14.2
90,279.0,54.7
91,701.0,16.6
92,47.0,97.9
93,671.0,19.9
94,640.0,21.3
95,629.0,22.0
96,402.0,39.4
97,400.0,39.7
98,635.0,21.6
99,701.0,15.4
100,701.0,3.9
101,701.0,15.9
102,533.0,29.0
103,183.0,70.1
104,701.0,18.3
105,84.0,90.4
106,243.0,59.0
107,606.0,23.6
108,423.0,37.2
109,701.0,13.3
110,701.0,2.8
111,701.0,5.1
112,701.0,6.9
113,701.0,12.9
114,600.0,23.7
115,116.0,83.6
116,459.0,34.7
117,701.0,10.2
118,701.0,3.2
119,701.0,13.2
120,106.0,84.8
121,537.0,28.6
122,701.0,4.4
123,701.0,17.7
124,290.0,53.3
125,701.0,4.7
126,701.0,16.3
127,634.0,21.7
128,701.0,5.9
129,701.0,3.4
130,207.0,65.8
131,701.0,6.7
132,572.0,25.9
133,701.0,7.4
134,701.0,11.7
135,701.0,2.5
136,650.0,20.8
137,304.0,51.4
138,630.0,22.0
139,21.0,99.9
140,701.0,12.3
141,701.0,14.4
142,508.0,30.9
143,61.0,95.3
144,701.0,11.1
145,701.0,7.5
146,701.0,2.7
147,701.0,3.0
148,701.0,2.3
149,383.0,41.1
150,212.0,64.9
151,123.0,82.8
152,485.0,32.7
153,545.0,28.0
154,248.0,57.9
155,701.0,11.3
156,565.0,26.4
157,456.0,34.8
158,701.0,12.8
159,701.0,15.7
160,701.0,13.3
161,33.0,99.3
162,701.0,16.9
163,701.0,15.4
164,701.0,3.5
165,701.0,10.7
166,701.0,10.5
167,522.0,30.0
168,701.0,7.3
169,701.0,15.5
170,493.0,32.1
171,701.0,17.1
172,701.0,17.7
173,701.0,10.9
174,701.0,13.2
175,701.0,13.1
176,701.0,16.3
177,192.0,68.0
178,476.0,33.5
179,465.0,34.5
180,366.0,43.0
181,701.0,15.8
182,701.0,3.4
183,598.0,23.8
184,701.0,16.4
185,701.0,4.3
186,701.0,4.4
187,701.0,10.9
188,701.0,6.6
189,701.0,8.3
190,701.0,16.6
191,651.0,20.8
192,701.0,5.5
193,701.0,12.0
194,701.0,11.5
195,701.0,3.7
196,401.0,39.6
197,330.0,47.7
198,359.0,43.7
199,52.0,97.0
200,701.0,16.3
