university_id,employment outcomes rank,employment outcomes score
1,145.0,47.5
2,421.0,19.8
3,122.0,52.2
4,417.0,20.0
5,291.0,27.8
6,198.0,37.0
7,694.0,12.5
8,141.0,48.1
9,701.0,10.9
10,701.0,11.5
11,701.0,7.7
12,701.0,9.2
13,132.0,50.1
14,701.0,10.4
15,701.0,8.2
16,701.0,7.6
17,701.0,6.2
18,365.0,23.0
19,639.0,13.4
20,701.0,10.5
21,332.0,24.9
22,195.0,37.3
23,701.0,8.1
24,701.0,9.1
25,701.0,6.7
26,701.0,9.8
27,400.0,20.7
28,396.0,20.9
29,701.0,5.1
30,205.0,36.0
31,701.0,4.1
32,701.0,10.0
33,301.0,27.0
34,701.0,8.0
35,701.0,8.4
36,622.0,13.7
37,701.0,11.7
38,701.0,6.8
39,386.0,21.6
40,525.0,15.9
41,701.0,6.9
42,701.0,8.5
43,355.0,23.8
44,601.0,14.1
45,701.0,5.1
46,550.0,15.3
47,210.0,35.6
48,701.0,10.6
49,654.0,13.1
50,440.0,18.9
51,387.0,21.5
52,269.0,29.5
53,286.0,28.1
54,701.0,7.6
55,701.0,9.8
56,587.0,14.4
57,517.0,16.2
58,228.0,33.7
59,398.0,20.8
60,94.0,62.4
61,624.0,13.7
62,501.0,16.8
63,701.0,9.5
64,327.0,25.4
65,616.0,13.8
66,698.0,12.5
67,375.0,22.0
68,296.0,27.4
69,545.0,15.4
70,701.0,5.2
71,701.0,12.1
72,188.0,38.6
73,701.0,4.6
74,495.0,17.1
75,701.0,9.4
76,237.0,32.3
77,589.0,14.3
78,701.0,11.8
79,701.0,11.1
80,701.0,8.3
81,395.0,20.9
82,701.0,5.5
83,454.0,18.4
84,384.0,21.6
85,261.0,30.0
86,448.0,18.6
87,533.0,15.7
88,229.0,33.5
89,404.0,20.6
90,113.0,55.5
91,701.0,8.2
92,438.0,19.0
93,592.0,14.3
94,659.0,13.1
95,109.0,56.8
96,701.0,5.1
97,701.0,11.8
98,163.0,44.4
99,338.0,24.7
100,34.0,91.4
101,701.0,9.3
102,115.0,54.6
103,379.0,21.9
104,427.0,19.6
105,11.0,99.8
106,701.0,11.5
107,675.0,12.7
108,608.0,14.0
109,701.0,4.4
110,701.0,11.1
111,701.0,11.8
112,701.0,11.0
113,701.0,8.4
114,651.0,13.2
115,359.0,23.5
116,227.0,33.7
117,255.0,30.2
118,701.0,5.1
119,630.0,13.6
120,701.0,12.1
121,389.0,21.5
122,701.0,9.2
123,353.0,24.0
124,668.0,12.9
125,701.0,12.2
126,492.0,17.1
127,32.0,93.1
128,515.0,16.3
129,219.0,34.8
130,701.0,5.1
131,284.0,28.3
132,214.0,35.2
133,502.0,16.8
134,253.0,30.3
135,161.0,44.5
136,701.0,9.4
137,372.0,22.3
138,234.0,32.8
139,637.0,13.4
140,701.0,6.9
141,701.0,7.8
142,12.0,99.7
143,341.0,24.5
144,701.0,11.4
145,652.0,13.2
146,701.0,8.4
147,254.0,30.2
148,409.0,20.4
149,701.0,7.7
150,370.0,22.4
151,701.0,7.6
152,76.0,68.6
153,252.0,30.5
154,65.0,72.1
155,162.0,44.5
156,455.0,18.3
157,294.0,27.6
158,701.0,9.6
159,626.0,13.7
160,701.0,7.8
161,97.0,60.8
162,701.0,10.7
163,203.0,36.8
164,104.0,58.4
165,701.0,6.2
166,331.0,25.0
167,231.0,33.3
168,701.0,8.0
169,701.0,7.5
170,701.0,10.0
171,701.0,11.8
172,567.0,14.8
173,701.0,10.1
174,701.0,9.7
175,701.0,9.5
176,701.0,7.2
177,138.0,49.2
178,701.0,10.1
179,701.0,11.2
180,701.0,7.8
181,701.0,8.7
182,475.0,17.5
183,701.0,8.6
184,701.0,7.2
185,381.0,21.8
186,701.0,7.7
187,93.0,62.6
188,701.0,10.4
189,701.0,11.1
190,701.0,7.5
191,701.0,6.1
192,701.0,9.1
193,660.0,13.0
194,701.0,8.9
195,266.0,29.8
196,16.0,98.6
197,105.0,58.2
198,701.0,9.3
199,701.0,4.7
200,701.0,3.8
201,424.0,19.7
202,45.0,83.0
203,459.0,18.2
204,701.0,10.2
205,701.0,11.2
206,701.0,3.9
207,701.0,8.2
208,196.0,37.3
209,696.0,12.5
210,667.0,12.9
211,701.0,8.3
212,701.0,9.0
213,701.0,8.2
214,701.0,8.2
215,701.0,6.7
216,399.0,20.8
217,701.0,9.5
218,606.0,14.1
219,701.0,10.4
220,281.0,28.5
221,701.0,8.6
222,565.0,14.8
223,701.0,9.7
224,681.0,12.7
225,701.0,4.0
226,49.0,81.0
227,42.0,88.1
228,69.0,70.9
229,38.0,88.9
230,572.0,14.6
231,23.0,96.2
232,619.0,13.8
233,53.0,78.6
234,314.0,26.1
235,701.0,8.9
236,305.0,26.8
237,116.0,54.4
238,319.0,25.9
239,440.0,18.9
240,201.0,36.9
241,179.0,41.1
242,599.0,14.1
243,325.0,25.5
244,701.0,11.4
245,638.0,13.4
246,701.0,11.4
247,600.0,14.1
248,701.0,10.5
249,18.0,98.0
250,701.0,11.5
251,701.0,8.8
252,676.0,12.7
253,701.0,5.8
254,13.0,99.7
255,240.0,31.8
256,701.0,7.1
257,8.0,100.0
258,701.0,12.4
259,1.0,100.0
260,96.0,60.9
261,701.0,11.6
262,692.0,12.5
263,701.0,6.2
264,701.0,11.1
265,679.0,12.7
266,452.0,18.5
267,701.0,9.0
268,308.0,26.6
269,701.0,8.7
270,671.0,12.8
271,582.0,14.4
272,226.0,34.2
273,701.0,9.8
274,701.0,10.1
275,247.0,30.8
276,701.0,11.2
277,701.0,11.3
278,543.0,15.4
279,577.0,14.5
280,701.0,11.0
281,701.0,9.0
282,701.0,7.6
283,88.0,64.9
284,532.0,15.7
285,46.0,82.6
286,701.0,11.9
287,413.0,20.2
288,701.0,10.8
289,508.0,16.7
290,701.0,6.9
291,159.0,44.7
292,487.0,17.2
293,701.0,12.1
294,287.0,28.0
295,6.0,100.0
296,701.0,8.1
297,701.0,10.3
298,701.0,9.5
299,614.0,13.9
300,43.0,87.8
301,653.0,13.1
302,701.0,10.6
303,447.0,18.7
304,546.0,15.4
305,701.0,9.9
306,701.0,8.0
307,701.0,9.9
308,701.0,11.7
309,701.0,10.7
310,701.0,10.5
311,701.0,9.8
312,701.0,12.0
313,82.0,66.0
314,690.0,12.6
315,150.0,46.4
316,265.0,29.8
317,151.0,46.3
318,701.0,8.0
319,701.0,8.7
320,425.0,19.7
321,411.0,20.4
322,551.0,15.3
323,209.0,35.7
324,701.0,7.4
325,180.0,39.8
326,211.0,35.4
327,701.0,7.1
328,553.0,15.2
329,701.0,12.1
330,701.0,8.3
331,30.0,93.3
332,701.0,8.9
333,701.0,6.3
334,485.0,17.3
335,701.0,7.6
336,701.0,8.1
337,9.0,99.9
338,701.0,5.5
339,164.0,43.9
340,367.0,22.7
341,111.0,56.1
342,701.0,9.1
343,701.0,9.5
344,701.0,10.6
345,701.0,6.5
346,412.0,20.3
347,701.0,5.1
348,574.0,14.6
349,701.0,9.7
350,701.0,10.2
351,689.0,12.6
352,701.0,5.5
353,346.0,24.2
354,673.0,12.8
355,20.0,97.0
356,249.0,30.7
357,701.0,6.0
358,117.0,53.4
359,170.0,42.1
360,256.0,30.2
361,701.0,9.4
362,178.0,41.2
363,414.0,20.2
364,701.0,10.9
365,701.0,9.6
366,701.0,8.2
367,701.0,10.6
368,496.0,17.1
369,701.0,10.8
370,701.0,10.4
371,100.0,60.0
372,581.0,14.5
373,467.0,17.8
374,701.0,7.0
375,154.0,45.5
376,701.0,8.5
377,701.0,7.4
378,701.0,7.6
379,531.0,15.7
380,591.0,14.3
381,350.0,24.1
382,298.0,27.3
383,311.0,26.2
384,351.0,24.0
385,360.0,23.5
386,127.0,51.4
387,701.0,9.9
388,701.0,8.5
389,128.0,51.3
390,701.0,11.1
391,701.0,9.0
392,701.0,11.1
393,276.0,28.9
394,701.0,10.5
395,701.0,8.2
396,461.0,18.2
397,701.0,6.4
398,701.0,10.2
399,701.0,8.8
400,701.0,7.8
401,596.0,14.2
402,25.0,95.5
403,701.0,10.1
404,701.0,7.8
405,137.0,49.4
406,701.0,9.6
407,701.0,7.6
408,521.0,16.1
409,47.0,82.2
410,604.0,14.1
411,701.0,8.4
412,701.0,8.7
413,701.0,10.7
414,292.0,27.7
415,678.0,12.7
416,701.0,11.5
417,656.0,13.1
418,258.0,30.1
419,701.0,9.6
420,158.0,44.8
421,70.0,70.6
422,193.0,37.8
423,701.0,10.7
424,701.0,7.2
425,701.0,10.4
