university_id,sustainability rank,sustainability score
322,633.0,13.2
323,533.0,21.2
324,701.0,6.9
325,23.0,98.1
326,112.0,87.3
327,701.0,1.4
328,701.0,1.9
329,536.0,20.9
330,701.0,3.5
331,8.0,99.6
332,701.0,2.9
333,701.0,1.9
334,638.0,12.6
335,490.0,24.8
336,701.0,8.3
337,13.0,99.2
338,701.0,1.1
339,108.0,87.4
340,531.0,21.4
341,173.0,75.6
342,701.0,1.0
343,655.0,11.1
344,701.0,1.0
345,701.0,1.1
346,603.0,15.4
347,391.0,36.1
348,701.0,4.9
349,449.0,29.9
350,673.0,9.7
351,373.0,38.4
352,449.0,29.9
353,397.0,35.5
354,701.0,3.8
355,86.0,91.2
356,89.0,90.6
357,701.0,1.0
358,215.0,67.4
359,18.0,98.4
360,514.0,23.0
361,393.0,35.8
362,,
363,95.0,89.1
364,678.0,9.6
365,701.0,5.2
366,701.0,1.6
367,701.0,3.3
368,701.0,1.0
369,235.0,62.8
370,497.0,24.4
371,323.0,47.2
372,462.0,28.6
373,506.0,23.7
374,701.0,2.4
375,701.0,2.0
376,701.0,2.2
377,490.0,24.8
378,701.0,3.5
379,701.0,6.2
380,460.0,28.9
381,701.0,2.7
382,584.0,16.7
383,555.0,18.8
384,488.0,25.6
385,46.0,96.1
386,701.0,7.4
387,701.0,2.3
388,574.0,17.2
389,555.0,18.8
390,309.0,49.7
391,701.0,1.0
392,701.0,1.4
393,592.0,16.1
394,701.0,3.1
395,701.0,1.2
396,701.0,3.3
397,701.0,2.4
398,471.0,27.6
399,701.0,1.4
400,701.0,1.0
401,360.0,40.8
402,10.0,99.6
403,701.0,3.2
404,701.0,1.1
405,701.0,1.0
406,545.0,19.9
407,701.0,2.3
408,,
409,271.0,55.8
410,701.0,1.0
411,701.0,4.1
412,701.0,1.8
413,320.0,47.5
414,67.0,93.5
415,123.0,84.3
416,644.0,11.8
417,608.0,15.2
418,701.0,7.5
419,701.0,1.0
420,549.0,19.2
421,173.0,75.6
422,88.0,90.9
423,95.0,89.1
