university_id,international students rank,international students score
322,455.0,26.6
323,701.0,2.3
324,701.0,1.5
325,437.0,28.5
326,90.0,94.3
327,701.0,1.1
328,701.0,1.5
329,701.0,10.3
330,701.0,1.7
331,268.0,54.6
332,701.0,2.9
333,701.0,7.7
334,571.0,18.2
335,701.0,1.3
336,177.0,76.6
337,169.0,78.8
338,701.0,7.9
339,97.0,93.3
340,630.0,14.5
341,318.0,45.7
342,701.0,4.8
343,561.0,18.9
344,632.0,14.4
345,701.0,5.0
346,701.0,8.4
347,598.0,16.1
348,701.0,1.3
349,701.0,2.7
350,701.0,2.2
351,701.0,7.0
352,640.0,14.0
353,701.0,3.3
354,701.0,3.8
355,477.0,24.8
356,348.0,39.3
357,701.0,1.6
358,317.0,45.8
359,121.0,89.3
360,328.0,44.1
361,233.0,64.5
362,701.0,1.5
363,340.0,40.2
364,701.0,5.7
365,701.0,1.3
366,701.0,6.3
367,637.0,14.3
368,701.0,8.2
369,701.0,8.2
370,480.0,24.4
371,59.0,98.2
372,701.0,10.6
373,701.0,4.4
374,701.0,2.6
375,701.0,5.8
376,701.0,1.5
377,465.0,25.8
378,701.0,2.6
379,701.0,3.2
380,57.0,98.4
381,326.0,44.3
382,701.0,8.4
383,224.0,66.7
384,446.0,27.4
385,308.0,47.1
386,701.0,2.4
387,701.0,9.8
388,701.0,3.3
389,534.0,21.0
390,701.0,5.5
391,701.0,2.4
392,701.0,4.4
393,595.0,16.2
394,391.0,33.2
395,227.0,66.1
396,701.0,2.1
397,381.0,34.8
398,575.0,18.0
399,701.0,2.0
400,440.0,28.0
401,380.0,34.9
402,50.0,99.1
403,701.0,4.8
404,701.0,7.9
405,701.0,2.5
406,701.0,4.1
407,701.0,10.2
408,701.0,3.0
409,603.0,15.7
410,701.0,3.9
411,701.0,2.9
412,701.0,1.6
413,664.0,12.9
414,490.0,23.8
415,360.0,38.2
416,612.0,15.5
417,701.0,4.9
418,530.0,21.2
419,701.0,1.7
420,701.0,2.7
421,104.0,92.5
422,118.0,90.0
423,701.0,8.9
424,701.0,3.0
425,701.0,2.6
426,112.0,91.1
427,588.0,16.6
428,701.0,8.3
429,605.0,15.7
430,403.0,31.7
431,554.0,19.5
432,701.0,2.5
433,367.0,37.5
434,119.0,89.5
435,701.0,9.1
436,701.0,4.5
437,701.0,5.3
438,486.0,24.1
439,100.0,93.0
440,701.0,4.0
441,701.0,1.9
442,701.0,4.8
443,,
444,552.0,19.7
445,701.0,7.6
446,88.0,95.0
447,688.0,11.2
448,701.0,4.6
449,701.0,2.5
450,250.0,59.5
451,665.0,12.8
452,382.0,34.6
453,503.0,22.7
454,701.0,3.1
455,297.0,49.8
456,701.0,1.4
457,701.0,3.7
458,701.0,6.8
459,257.0,58.8
460,431.0,29.1
461,570.0,18.2
462,445.0,27.6
463,701.0,1.1
464,438.0,28.4
465,312.0,46.7
466,67.0,97.5
467,205.0,70.8
468,701.0,7.0
469,159.0,81.0
470,,
471,459.0,26.4
472,413.0,30.9
473,701.0,9.7
474,79.0,96.6
475,652.0,13.5
476,701.0,1.7
477,701.0,1.3
478,701.0,8.9
479,17.0,100.0
480,701.0,10.1
481,363.0,37.7
482,164.0,79.8
483,484.0,24.2
484,701.0,1.3
485,701.0,1.6
486,701.0,2.9
487,514.0,22.0
488,543.0,20.3
489,701.0,1.4
490,701.0,3.7
491,482.0,24.3
492,38.0,99.6
493,281.0,51.3
494,701.0,3.0
495,701.0,2.8
496,701.0,4.4
497,41.0,99.5
498,387.0,34.0
499,701.0,1.9
500,564.0,18.7
501,474.0,25.0
502,217.0,68.1
503,701.0,9.1
504,701.0,2.4
505,255.0,58.9
506,11.0,100.0
507,447.0,27.2
508,701.0,1.0
509,701.0,7.2
510,701.0,7.3
511,93.0,94.1
512,64.0,97.9
513,155.0,81.6
514,701.0,2.5
515,260.0,57.6
516,701.0,4.3
517,701.0,2.3
518,701.0,2.9
519,701.0,5.4
520,187.0,74.7
521,339.0,40.5
522,405.0,31.6
523,194.0,72.8
524,701.0,7.7
525,290.0,50.4
526,95.0,93.6
527,678.0,12.0
528,306.0,48.5
529,551.0,19.8
530,701.0,1.6
531,701.0,6.2
532,259.0,58.4
533,701.0,1.1
534,701.0,3.5
535,20.0,100.0
536,526.0,21.3
537,213.0,69.3
538,701.0,3.7
539,236.0,63.8
540,701.0,4.8
541,701.0,3.6
542,701.0,1.1
543,701.0,1.5
544,273.0,53.1
545,701.0,4.5
546,247.0,60.1
547,76.0,96.8
548,701.0,1.1
549,161.0,80.2
550,701.0,4.3
551,701.0,2.2
552,680.0,11.9
553,586.0,17.0
554,303.0,49.2
555,399.0,32.2
556,701.0,9.3
557,148.0,83.9
558,84.0,95.8
559,516.0,21.9
560,701.0,5.0
561,206.0,70.6
562,334.0,42.2
563,701.0,6.2
564,412.0,30.9
565,701.0,1.8
566,701.0,1.6
567,105.0,92.3
568,582.0,17.4
569,701.0,1.3
570,531.0,21.2
571,304.0,48.6
572,508.0,22.4
573,375.0,35.8
574,500.0,23.1
575,1.0,100.0
576,420.0,30.3
577,410.0,31.1
578,674.0,12.3
579,532.0,21.2
580,701.0,9.3
581,701.0,5.9
582,701.0,7.6
583,701.0,1.4
584,634.0,14.4
585,282.0,51.3
586,,
587,701.0,5.4
588,153.0,82.0
589,701.0,3.8
590,701.0,1.7
591,701.0,3.3
592,701.0,6.5
593,701.0,5.3
594,454.0,26.7
595,60.0,98.2
596,261.0,57.5
597,701.0,3.4
598,528.0,21.2
599,578.0,17.7
600,701.0,1.9
601,701.0,1.8
602,258.0,58.8
603,293.0,50.1
604,172.0,77.9
605,701.0,8.5
606,701.0,1.1
607,701.0,3.0
608,466.0,25.6
609,701.0,7.8
610,315.0,46.2
611,141.0,85.2
612,701.0,5.2
613,48.0,99.3
614,701.0,2.3
615,182.0,75.9
616,701.0,5.8
617,235.0,63.9
618,226.0,66.2
619,700.0,10.8
620,509.0,22.4
621,357.0,38.6
622,701.0,6.4
623,690.0,11.1
624,244.0,60.8
625,130.0,87.9
626,325.0,44.6
627,145.0,84.4
628,70.0,97.4
629,701.0,2.2
630,406.0,31.5
631,701.0,6.2
632,359.0,38.3
633,429.0,29.1
634,136.0,86.8
635,701.0,10.7
636,650.0,13.5
637,,
638,74.0,96.8
639,374.0,36.2
640,251.0,59.3
641,55.0,98.8
642,525.0,21.3
643,701.0,5.8
644,572.0,18.2
645,701.0,5.8
646,701.0,1.7
647,292.0,50.2
648,639.0,14.0
649,347.0,39.3
650,162.0,79.9
651,701.0,2.8
652,366.0,37.5
653,383.0,34.6
654,701.0,1.8
655,125.0,88.7
656,701.0,3.5
657,56.0,98.5
658,701.0,7.7
659,600.0,16.0
660,701.0,2.8
661,687.0,11.2
662,6.0,100.0
663,345.0,39.7
664,18.0,100.0
665,618.0,15.1
666,701.0,2.0
667,45.0,99.4
668,175.0,76.7
669,468.0,25.6
670,456.0,26.5
671,333.0,43.2
672,701.0,3.0
673,701.0,1.4
674,61.0,98.1
675,701.0,3.8
676,424.0,29.6
677,701.0,4.9
678,311.0,46.8
679,701.0,1.6
680,368.0,37.1
681,633.0,14.4
682,677.0,12.1
683,590.0,16.5
684,40.0,99.6
685,701.0,4.0
686,701.0,3.8
687,701.0,1.6
688,701.0,9.9
689,483.0,24.3
690,256.0,58.9
691,457.0,26.4
692,567.0,18.5
693,568.0,18.3
694,663.0,12.9
695,701.0,1.4
696,701.0,7.2
697,701.0,1.5
698,352.0,38.9
699,513.0,22.2
700,701.0,1.6
701,701.0,1.3
702,111.0,91.4
703,203.0,70.9
704,215.0,68.7
705,701.0,1.2
706,538.0,20.8
707,335.0,41.7
708,98.0,93.3
709,701.0,5.1
710,31.0,100.0
711,701.0,3.9
712,701.0,4.7
713,103.0,92.7
714,701.0,4.4
715,701.0,6.1
716,577.0,17.9
717,701.0,1.7
718,701.0,9.4
719,701.0,1.1
720,670.0,12.6
721,701.0,3.4
722,701.0,6.9
723,47.0,99.3
724,523.0,21.6
725,81.0,96.3
726,701.0,1.6
727,701.0,2.8
728,701.0,3.3
729,701.0,2.5
730,701.0,8.2
731,15.0,100.0
732,421.0,30.1
733,408.0,31.2
734,701.0,5.0
735,237.0,63.5
736,113.0,91.0
737,246.0,60.2
738,580.0,17.6
739,240.0,62.4
740,701.0,1.9
741,252.0,59.2
742,621.0,14.9
743,701.0,4.7
744,701.0,2.7
745,398.0,32.4
746,451.0,26.7
747,415.0,30.7
748,701.0,10.1
749,701.0,4.5
750,71.0,97.3
751,496.0,23.3
752,701.0,5.8
753,638.0,14.2
754,581.0,17.6
755,608.0,15.6
756,701.0,3.3
757,701.0,4.5
758,701.0,2.3
759,659.0,13.2
760,193.0,73.2
761,436.0,28.6
762,701.0,10.7
763,52.0,99.0
764,701.0,2.0
765,395.0,32.8
766,701.0,2.2
767,204.0,70.9
768,701.0,6.6
769,701.0,1.3
770,701.0,1.6
771,701.0,5.7
772,701.0,2.9
773,201.0,71.9
774,701.0,1.4
775,19.0,100.0
776,701.0,4.0
777,144.0,85.0
778,701.0,2.8
779,701.0,6.0
780,102.0,92.8
781,49.0,99.3
782,649.0,13.7
783,701.0,10.4
784,701.0,4.2
785,701.0,3.0
786,701.0,2.6
787,701.0,1.8
788,701.0,9.4
789,701.0,10.2
790,681.0,11.7
791,673.0,12.3
792,701.0,1.9
793,701.0,1.1
794,108.0,91.6
795,701.0,1.8
796,701.0,7.7
797,559.0,19.1
798,693.0,10.9
799,701.0,2.1
800,701.0,1.5
801,23.0,100.0
802,506.0,22.5
803,342.0,39.9
804,249.0,59.9
805,701.0,5.8
806,701.0,6.2
807,701.0,9.6
808,701.0,5.0
809,285.0,51.0
810,701.0,4.5
811,701.0,1.1
812,489.0,23.9
813,701.0,4.6
814,221.0,67.4
815,623.0,14.8
816,701.0,3.5
817,202.0,71.9
818,109.0,91.5
819,350.0,39.2
820,701.0,2.0
821,230.0,65.4
822,557.0,19.3
823,263.0,56.6
824,371.0,36.3
825,396.0,32.6
826,701.0,10.3
827,701.0,4.1
828,460.0,26.3
829,207.0,70.6
830,385.0,34.1
831,701.0,2.0
832,314.0,46.4
833,278.0,52.2
834,173.0,77.4
835,701.0,1.1
836,701.0,4.2
837,701.0,7.1
838,701.0,5.5
839,701.0,2.5
840,647.0,13.8
841,94.0,93.6
842,27.0,100.0
843,682.0,11.6
844,699.0,10.8
845,296.0,49.8
846,299.0,49.6
847,354.0,38.9
848,448.0,26.8
849,313.0,46.7
850,701.0,2.4
851,3.0,100.0
852,127.0,88.3
853,701.0,4.0
854,701.0,1.1
855,701.0,6.2
856,701.0,1.3
857,574.0,18.0
858,701.0,2.9
859,701.0,5.2
860,115.0,90.7
861,701.0,4.0
862,199.0,72.3
863,654.0,13.5
864,488.0,23.9
865,376.0,35.5
866,701.0,5.1
867,626.0,14.7
868,501.0,22.8
869,168.0,79.0
870,524.0,21.6
871,701.0,4.0
872,560.0,19.0
873,245.0,60.8
874,208.0,70.3
875,701.0,1.9
876,701.0,8.2
877,615.0,15.3
878,220.0,67.4
879,189.0,74.1
880,511.0,22.3
881,39.0,99.6
882,668.0,12.7
883,701.0,1.2
884,701.0,6.9
885,701.0,1.8
886,276.0,52.3
887,107.0,91.7
888,210.0,70.1
889,701.0,1.1
890,701.0,4.1
891,701.0,5.6
892,701.0,6.0
893,701.0,3.5
894,701.0,1.8
895,475.0,25.0
896,701.0,2.0
897,701.0,1.6
898,701.0,2.6
899,151.0,83.0
900,701.0,3.9
901,701.0,1.0
902,701.0,5.7
903,701.0,4.8
904,497.0,23.3
905,397.0,32.3
906,401.0,31.9
907,452.0,26.7
908,373.0,36.3
909,80.0,96.4
910,178.0,76.6
911,419.0,30.5
912,461.0,26.3
913,701.0,2.6
914,701.0,7.3
915,,
916,701.0,3.9
917,390.0,33.3
918,495.0,23.4
919,190.0,74.0
920,606.0,15.7
921,701.0,8.2
922,327.0,44.2
923,701.0,3.5
924,63.0,98.0
925,701.0,1.8
926,701.0,1.1
927,291.0,50.2
928,463.0,26.3
929,701.0,1.4
930,583.0,17.4
931,163.0,79.9
932,701.0,4.5
933,150.0,83.1
934,362.0,37.7
935,701.0,1.6
936,239.0,63.1
937,131.0,87.6
938,701.0,1.9
939,331.0,43.6
940,218.0,68.0
941,701.0,5.4
942,689.0,11.1
943,701.0,8.8
944,672.0,12.4
945,701.0,9.3
946,149.0,83.5
947,701.0,2.5
948,444.0,27.6
949,701.0,3.3
950,349.0,39.2
951,165.0,79.4
952,701.0,6.0
953,135.0,86.9
954,701.0,10.7
955,701.0,4.0
956,701.0,3.2
957,691.0,11.0
958,267.0,55.4
959,701.0,5.3
960,701.0,3.3
961,73.0,97.1
962,701.0,1.2
963,4.0,100.0
964,701.0,6.3
965,553.0,19.6
966,701.0,3.9
967,635.0,14.3
968,701.0,1.6
969,369.0,36.9
970,417.0,30.6
971,701.0,4.1
972,96.0,93.6
973,370.0,36.3
974,147.0,84.1
975,602.0,15.8
976,701.0,6.2
977,211.0,69.9
978,179.0,76.5
979,701.0,3.9
980,372.0,36.3
981,,
982,82.0,96.1
983,128.0,88.2
984,589.0,16.5
985,66.0,97.6
986,701.0,1.5
987,701.0,3.1
988,701.0,1.3
989,701.0,4.1
990,36.0,99.7
991,701.0,5.6
992,701.0,1.2
993,43.0,99.4
994,701.0,1.2
995,701.0,6.7
996,701.0,1.3
997,662.0,13.0
998,701.0,2.8
999,599.0,16.0
1000,701.0,1.4
1001,701.0,2.0
1002,701.0,5.6
1003,701.0,1.7
1004,425.0,29.6
1005,364.0,37.7
1006,493.0,23.5
1007,701.0,4.6
1008,701.0,4.5
1009,139.0,86.3
1010,520.0,21.8
1011,646.0,13.8
1012,499.0,23.1
1013,462.0,26.3
1014,494.0,23.5
1015,701.0,2.8
1016,101.0,92.8
1017,648.0,13.7
1018,701.0,9.2
1019,300.0,49.5
1020,701.0,1.3
1021,701.0,1.6
1022,636.0,14.3
1023,701.0,1.4
1024,12.0,100.0
1025,701.0,4.6
1026,701.0,3.5
1027,661.0,13.1
1028,332.0,43.6
1029,701.0,7.5
1030,701.0,6.3
1031,701.0,6.4
1032,701.0,7.1
1033,701.0,4.3
1034,229.0,65.5
1035,701.0,2.9
1036,515.0,21.9
1037,701.0,3.4
1038,442.0,27.8
1039,701.0,1.8
1040,386.0,34.0
1041,701.0,1.0
1042,279.0,52.0
1043,288.0,50.5
1044,701.0,3.6
1045,701.0,1.4
1046,562.0,18.8
1047,555.0,19.5
1048,472.0,25.4
1049,242.0,61.1
1050,137.0,86.6
1051,701.0,5.1
1052,91.0,94.1
1053,701.0,3.8
1054,701.0,3.8
1055,701.0,8.6
1056,439.0,28.4
1057,111.0,91.4
1058,186.0,74.8
1059,467.0,25.6
1060,533.0,21.1
1061,643.0,13.9
1062,392.0,33.2
1063,658.0,13.2
1064,176.0,76.7
1065,545.0,20.1
1066,142.0,85.2
1067,701.0,2.7
1068,310.0,46.8
1069,62.0,98.0
1070,701.0,1.3
1071,422.0,30.1
1072,685.0,11.3
1073,683.0,11.6
1074,701.0,3.2
1075,68.0,97.5
1076,701.0,4.2
1077,539.0,20.6
1078,426.0,29.6
1079,656.0,13.3
1080,89.0,94.8
1081,701.0,3.8
1082,402.0,31.8
1083,701.0,3.4
1084,701.0,3.2
1085,701.0,4.6
1086,701.0,8.7
1087,430.0,29.1
1088,701.0,1.2
1089,44.0,99.4
1090,322.0,45.1
1091,479.0,24.5
1092,701.0,6.8
1093,701.0,9.4
1094,138.0,86.4
1095,701.0,3.7
1096,676.0,12.1
1097,701.0,1.3
1098,274.0,53.0
1099,393.0,33.0
1100,469.0,25.6
1101,701.0,2.6
1102,701.0,3.3
1103,336.0,41.5
1104,701.0,3.3
1105,701.0,3.0
1106,157.0,81.2
1107,358.0,38.3
1108,701.0,3.9
1109,701.0,9.7
1110,697.0,10.8
1111,320.0,45.1
1112,701.0,1.1
1113,701.0,3.1
1114,,
1115,361.0,38.2
1116,701.0,1.5
1117,701.0,2.4
1118,124.0,88.9
1119,655.0,13.4
1120,197.0,72.6
1121,701.0,1.1
1122,198.0,72.6
1123,701.0,5.2
1124,701.0,10.1
1125,701.0,1.5
1126,701.0,2.8
1127,286.0,50.6
1128,701.0,5.3
1129,558.0,19.1
1130,309.0,47.0
1131,123.0,89.0
1132,185.0,75.2
1133,77.0,96.7
1134,,
1135,701.0,1.1
1136,284.0,51.2
1137,225.0,66.3
1138,701.0,9.1
1139,701.0,3.3
1140,596.0,16.2
1141,549.0,19.9
1142,701.0,2.8
1143,269.0,54.3
1144,701.0,3.5
1145,701.0,7.4
1146,701.0,2.7
1147,701.0,2.6
