university_id,international Research Network rank,international Research Network score
319,701.0,1.0
320,701.0,8.9
321,701.0,8.9
322,389.0,38.4
323,701.0,1.2
324,701.0,6.8
325,23.0,97.8
326,433.0,33.2
327,701.0,1.0
328,601.0,14.6
329,701.0,2.5
330,701.0,1.0
331,274.0,56.4
332,701.0,1.7
333,442.0,32.3
334,701.0,1.3
335,701.0,4.8
336,535.0,21.3
337,112.0,85.8
338,701.0,4.1
339,156.0,78.5
340,339.0,45.5
341,6.0,99.9
342,701.0,1.0
343,221.0,63.8
344,701.0,1.1
345,701.0,2.2
346,517.0,23.2
347,34.0,96.8
348,701.0,5.2
349,701.0,3.3
350,622.0,13.3
351,247.0,59.5
352,365.0,41.8
353,508.0,23.9
354,701.0,3.5
355,86.0,89.8
356,338.0,45.7
357,701.0,1.0
358,170.0,75.4
359,72.0,91.4
360,650.0,11.1
361,288.0,54.7
362,,
363,195.0,70.1
364,701.0,1.1
365,701.0,3.9
366,701.0,3.6
367,701.0,1.1
368,701.0,1.0
369,590.0,15.5
370,278.0,56.2
371,264.0,57.4
372,571.0,17.2
373,479.0,27.1
374,673.0,9.7
375,701.0,1.0
376,701.0,5.8
377,225.0,63.3
378,530.0,21.7
379,701.0,7.1
380,337.0,45.8
381,701.0,1.6
382,627.0,12.9
383,470.0,28.1
384,555.0,18.6
385,496.0,25.1
386,701.0,1.0
387,701.0,2.8
388,661.0,10.6
389,654.0,10.9
390,335.0,46.5
391,701.0,1.2
392,697.0,9.0
393,182.0,72.8
394,642.0,11.6
395,701.0,5.1
396,701.0,1.2
397,701.0,6.6
398,297.0,52.7
399,701.0,1.6
400,701.0,1.0
401,64.0,92.6
402,15.0,99.0
403,701.0,6.1
404,701.0,1.0
405,701.0,1.2
406,428.0,33.5
407,701.0,1.0
408,701.0,1.0
409,328.0,47.8
410,701.0,1.0
411,629.0,12.5
412,701.0,5.3
413,293.0,53.7
414,301.0,52.0
415,218.0,64.8
416,460.0,29.5
417,701.0,7.0
418,701.0,5.8
419,701.0,1.1
420,176.0,74.2
421,132.0,82.2
422,16.0,98.7
423,547.0,19.3
424,701.0,1.8
425,701.0,1.0
426,208.0,67.6
427,128.0,83.4
428,363.0,42.0
429,653.0,10.9
430,185.0,72.7
431,74.0,91.2
432,701.0,1.4
433,701.0,1.2
434,385.0,38.9
435,701.0,2.1
436,701.0,1.0
437,531.0,21.5
438,575.0,16.9
439,226.0,62.9
440,701.0,3.0
441,295.0,53.3
442,230.0,62.4
443,701.0,3.4
444,701.0,1.0
445,397.0,37.6
446,701.0,1.1
447,416.0,35.4
448,304.0,51.3
449,701.0,8.3
450,376.0,40.2
451,45.0,95.6
452,393.0,38.1
453,315.0,49.7
454,701.0,2.8
455,4.0,100.0
456,701.0,1.3
457,701.0,1.0
458,255.0,59.0
459,701.0,1.6
460,409.0,36.3
461,151.0,79.2
462,48.0,95.4
463,701.0,7.5
464,63.0,93.1
465,166.0,76.0
466,701.0,8.8
467,377.0,40.1
468,701.0,1.1
469,521.0,22.8
470,330.0,47.5
471,119.0,84.9
472,141.0,80.9
473,701.0,5.9
474,701.0,1.0
475,701.0,1.0
476,701.0,1.4
477,701.0,1.1
478,701.0,3.6
479,333.0,46.5
480,133.0,82.2
481,277.0,56.2
482,701.0,3.4
483,410.0,36.3
484,701.0,1.3
485,701.0,3.3
486,701.0,1.3
487,701.0,1.8
488,701.0,1.0
489,701.0,2.7
490,371.0,40.6
491,701.0,4.4
492,540.0,20.6
493,701.0,1.1
494,701.0,5.7
495,604.0,14.4
496,701.0,1.0
497,80.0,90.0
498,672.0,9.8
499,701.0,7.6
500,60.0,93.8
501,701.0,1.3
502,142.0,80.7
503,346.0,45.1
504,701.0,7.4
505,700.0,8.9
506,701.0,4.2
507,487.0,26.5
508,701.0,1.0
509,701.0,1.0
510,488.0,26.4
511,701.0,1.5
512,215.0,65.2
513,251.0,59.3
514,345.0,45.2
515,598.0,15.0
516,513.0,23.4
517,76.0,90.9
518,294.0,53.7
519,40.0,96.0
520,399.0,37.2
521,210.0,66.6
522,670.0,9.9
523,701.0,1.0
524,437.0,32.8
525,88.0,89.7
526,146.0,79.7
527,143.0,80.4
528,149.0,79.3
529,701.0,1.6
530,701.0,1.1
531,701.0,2.1
532,683.0,9.4
533,668.0,10.1
534,270.0,56.8
535,701.0,2.6
536,701.0,1.0
537,553.0,18.8
538,701.0,1.0
539,701.0,3.3
540,305.0,51.1
541,600.0,14.6
542,612.0,14.1
543,701.0,7.5
544,701.0,5.4
545,253.0,59.1
546,190.0,71.6
547,25.0,97.6
548,701.0,1.0
549,212.0,66.1
550,701.0,1.2
551,701.0,1.2
552,701.0,1.0
553,312.0,50.1
554,164.0,76.4
555,701.0,2.4
556,701.0,1.1
557,41.0,96.0
558,320.0,48.8
559,701.0,1.3
560,466.0,28.7
561,138.0,81.6
562,286.0,54.9
563,701.0,1.0
564,701.0,6.7
565,701.0,1.2
566,595.0,15.3
567,115.0,85.2
568,123.0,84.2
569,701.0,5.2
570,54.0,95.0
571,551.0,19.0
572,701.0,1.0
573,641.0,11.6
574,121.0,84.4
575,701.0,2.4
576,260.0,57.9
577,701.0,1.9
578,701.0,2.1
579,183.0,72.8
580,96.0,88.0
581,477.0,27.3
582,701.0,7.7
583,701.0,1.0
584,701.0,1.4
585,55.0,94.9
586,701.0,1.9
587,199.0,69.4
588,189.0,71.6
589,701.0,1.2
590,701.0,2.0
591,644.0,11.5
592,701.0,1.7
593,701.0,1.0
594,84.0,89.9
595,1.0,100.0
596,298.0,52.5
597,580.0,16.3
598,8.0,99.8
599,449.0,32.0
600,701.0,4.0
601,701.0,1.0
602,664.0,10.4
603,515.0,23.3
604,281.0,55.4
605,701.0,1.0
606,685.0,9.3
607,701.0,1.0
608,701.0,1.0
609,610.0,14.3
610,701.0,1.0
611,257.0,58.6
612,701.0,2.5
613,635.0,12.0
614,701.0,1.0
615,111.0,85.8
616,701.0,2.6
617,66.0,92.4
618,687.0,9.3
619,262.0,57.7
620,125.0,84.0
621,194.0,70.2
622,275.0,56.4
623,307.0,50.9
624,17.0,98.7
625,701.0,5.9
626,701.0,1.0
627,236.0,61.4
628,31.0,97.0
629,219.0,64.5
630,110.0,86.0
631,701.0,1.2
632,310.0,50.5
633,701.0,8.5
634,122.0,84.4
635,181.0,73.0
636,359.0,42.5
637,701.0,2.1
638,244.0,59.8
639,552.0,18.9
640,701.0,1.7
641,701.0,3.8
642,92.0,88.6
643,701.0,2.4
644,701.0,1.2
645,701.0,1.0
646,701.0,4.4
647,61.0,93.7
648,113.0,85.5
649,130.0,83.2
650,475.0,27.4
651,681.0,9.5
652,701.0,2.4
653,332.0,47.1
654,701.0,2.8
655,511.0,23.7
656,484.0,26.8
657,42.0,96.0
658,360.0,42.5
659,400.0,37.1
660,561.0,17.9
661,701.0,6.4
662,701.0,6.4
663,356.0,42.6
664,701.0,1.0
665,525.0,22.3
666,701.0,1.0
667,690.0,9.2
668,701.0,1.5
669,134.0,82.1
670,174.0,74.7
671,701.0,3.2
672,701.0,1.0
673,701.0,1.9
674,701.0,1.2
675,532.0,21.4
676,701.0,1.0
677,90.0,89.0
678,701.0,2.2
679,701.0,4.8
680,624.0,13.1
681,392.0,38.1
682,265.0,57.3
683,116.0,85.0
684,154.0,78.8
685,263.0,57.5
686,619.0,13.4
687,412.0,36.0
688,701.0,1.6
689,701.0,1.0
690,701.0,1.0
691,701.0,1.0
692,505.0,24.2
693,694.0,9.1
694,457.0,30.0
695,701.0,1.2
696,701.0,1.0
697,701.0,1.0
698,342.0,45.4
699,177.0,73.7
700,701.0,1.0
701,701.0,3.2
702,701.0,5.3
703,39.0,96.1
704,276.0,56.2
705,701.0,1.6
706,266.0,57.3
707,198.0,69.5
708,107.0,86.2
709,701.0,2.9
710,701.0,2.1
711,701.0,1.1
712,701.0,1.3
713,242.0,60.1
714,701.0,2.0
715,701.0,2.5
716,197.0,70.0
717,701.0,8.5
718,168.0,75.4
719,701.0,1.1
720,701.0,1.0
721,701.0,1.8
722,402.0,36.8
723,87.0,89.7
724,701.0,2.0
725,99.0,87.3
726,701.0,2.4
727,287.0,54.7
728,701.0,2.1
729,120.0,84.5
730,701.0,1.0
731,2.0,100.0
732,679.0,9.6
733,701.0,2.4
734,324.0,48.4
735,162.0,77.1
736,701.0,1.2
737,632.0,12.2
738,106.0,86.3
739,701.0,4.8
740,465.0,28.7
741,94.0,88.4
742,140.0,81.1
743,701.0,1.4
744,701.0,1.0
745,268.0,56.8
746,462.0,29.2
747,27.0,97.4
748,289.0,54.4
749,699.0,8.9
750,103.0,86.7
751,520.0,22.8
752,701.0,1.3
753,506.0,24.1
754,701.0,4.5
755,701.0,4.7
756,701.0,1.0
757,701.0,1.2
758,701.0,1.2
759,78.0,90.8
760,68.0,92.1
761,569.0,17.5
762,250.0,59.3
763,355.0,42.7
764,701.0,1.5
765,245.0,59.7
766,563.0,17.9
767,387.0,38.6
768,701.0,1.2
769,701.0,1.0
770,229.0,62.6
771,316.0,49.6
772,667.0,10.2
773,701.0,3.2
774,701.0,8.5
775,102.0,86.8
776,358.0,42.6
777,201.0,69.1
778,422.0,34.5
779,701.0,1.0
780,267.0,57.3
781,646.0,11.4
782,468.0,28.2
783,701.0,5.2
784,285.0,54.9
785,701.0,1.1
786,701.0,1.0
787,463.0,28.9
788,701.0,8.3
789,701.0,2.0
790,618.0,13.5
791,701.0,1.8
792,701.0,1.0
793,701.0,3.2
794,220.0,64.4
795,701.0,1.0
796,701.0,8.7
797,574.0,17.0
798,701.0,1.8
799,701.0,1.0
800,701.0,1.0
801,14.0,99.2
802,19.0,98.2
803,172.0,75.1
804,303.0,51.4
805,701.0,1.0
806,238.0,61.0
807,259.0,58.2
808,322.0,48.6
809,424.0,34.4
810,623.0,13.2
811,701.0,1.1
812,271.0,56.8
813,382.0,39.5
814,407.0,36.4
815,614.0,13.7
816,701.0,7.8
817,406.0,36.5
818,514.0,23.4
819,384.0,39.0
820,701.0,1.0
821,432.0,33.2
822,548.0,19.3
823,327.0,48.0
824,131.0,82.7
825,534.0,21.3
826,91.0,88.9
827,417.0,35.3
828,651.0,11.1
829,701.0,1.4
830,613.0,13.8
831,701.0,8.3
832,458.0,30.0
833,82.0,90.0
834,52.0,95.2
835,701.0,6.9
836,701.0,1.0
837,626.0,13.0
838,701.0,8.1
839,602.0,14.5
840,474.0,27.6
841,139.0,81.4
842,434.0,32.9
843,662.0,10.6
844,24.0,97.7
845,405.0,36.5
846,214.0,65.3
847,476.0,27.3
848,542.0,20.2
849,313.0,49.9
850,701.0,1.1
851,701.0,2.0
852,192.0,71.1
853,701.0,1.1
854,701.0,1.0
855,701.0,6.1
856,701.0,1.0
857,701.0,2.2
858,318.0,49.4
859,701.0,1.1
860,701.0,2.0
861,701.0,5.5
862,314.0,49.8
863,701.0,5.5
864,478.0,27.2
865,509.0,23.8
866,666.0,10.3
867,329.0,47.6
868,126.0,83.6
869,29.0,97.2
870,630.0,12.5
871,701.0,1.2
872,237.0,61.4
873,309.0,50.5
874,129.0,83.3
875,701.0,5.7
876,357.0,42.6
877,701.0,1.8
878,299.0,52.2
879,37.0,96.3
880,467.0,28.4
881,269.0,56.9
882,696.0,9.0
883,701.0,3.4
884,698.0,9.0
885,217.0,64.8
886,615.0,13.6
887,701.0,1.2
888,539.0,20.8
889,701.0,2.6
890,701.0,1.0
891,701.0,3.3
892,394.0,38.0
893,701.0,1.6
894,701.0,6.4
895,323.0,48.5
