university_id,academic reputation rank,academic reputation score
36,321.0,25.8
969,322.0,25.6
671,323.0,25.5
524,324.0,25.5
747,325.0,25.5
353,326.0,25.4
238,327.0,25.3
212,328.0,25.3
1109,329.0,25.3
1127,330.0,25.3
970,331.0,25.2
355,332.0,25.1
436,333.0,25.0
754,334.0,25.0
211,335.0,24.9
130,336.0,24.9
935,337.0,24.8
545,339.0,24.8
523,340.0,24.7
826,341.0,24.7
207,342.0,24.7
976,343.0,24.7
613,344.0,24.6
168,345.0,24.5
965,346.0,24.5
1086,347.0,24.4
245,348.0,24.4
462,349.0,24.4
86,350.0,24.3
299,351.0,24.2
94,352.0,24.2
814,353.0,24.0
991,354.0,23.9
428,355.0,23.8
802,356.0,23.8
220,357.0,23.7
434,358.0,23.6
950,359.0,23.5
452,360.0,23.5
184,361.0,23.4
1033,362.0,23.4
171,363.0,23.3
432,364.0,23.1
84,365.0,22.8
229,366.0,22.7
725,367.0,22.7
276,368.0,22.6
986,370.0,22.6
18,371.0,22.6
427,372.0,22.5
1077,373.0,22.5
395,374.0,22.5
479,375.0,22.4
865,376.0,22.4
41,377.0,22.2
876,378.0,22.0
213,379.0,21.9
909,380.0,21.8
686,381.0,21.7
203,382.0,21.7
910,383.0,21.6
174,384.0,21.6
698,385.0,21.5
92,387.0,21.4
385,388.0,21.3
95,389.0,21.3
809,391.0,21.0
960,392.0,21.0
317,393.0,20.9
627,394.0,20.8
832,395.0,20.8
567,396.0,20.7
766,397.0,20.7
604,398.0,20.6
741,399.0,20.6
596,400.0,20.4
794,401.0,20.4
605,402.0,20.4
691,403.0,20.3
289,404.0,20.3
128,405.0,20.3
90,406.0,20.2
610,407.0,20.2
1112,408.0,20.2
255,409.0,20.1
308,410.0,20.1
382,411.0,20.1
855,412.0,20.1
193,413.0,20.0
580,414.0,20.0
634,415.0,20.0
1145,416.0,20.0
595,417.0,20.0
878,418.0,19.9
200,420.0,19.9
887,421.0,19.9
429,422.0,19.8
703,423.0,19.8
400,424.0,19.8
872,425.0,19.7
568,426.0,19.7
167,427.0,19.6
732,428.0,19.6
498,429.0,19.6
417,430.0,19.6
445,431.0,19.6
632,432.0,19.5
643,434.0,19.4
472,435.0,19.4
784,436.0,19.3
315,437.0,19.3
533,438.0,19.3
837,439.0,19.3
586,440.0,19.1
1088,441.0,19.1
414,442.0,19.0
529,443.0,19.0
65,444.0,18.9
466,445.0,18.8
593,446.0,18.8
28,447.0,18.7
942,448.0,18.7
761,449.0,18.6
742,450.0,18.6
136,451.0,18.6
963,452.0,18.5
458,453.0,18.5
1142,454.0,18.5
111,455.0,18.5
795,456.0,18.4
707,457.0,18.3
1029,458.0,18.3
228,459.0,18.3
536,460.0,18.3
936,461.0,18.2
957,462.0,18.2
1005,463.0,18.2
126,464.0,18.1
937,466.0,18.1
27,467.0,18.0
616,468.0,18.0
621,469.0,17.9
1085,470.0,17.9
260,471.0,17.9
100,472.0,17.8
368,473.0,17.8
165,474.0,17.8
990,475.0,17.8
274,476.0,17.7
750,477.0,17.7
601,478.0,17.6
765,479.0,17.6
11,480.0,17.6
619,481.0,17.5
275,482.0,17.3
42,483.0,17.3
1117,484.0,17.2
904,485.0,17.2
360,486.0,17.1
37,487.0,17.1
1146,488.0,17.1
301,489.0,17.0
989,490.0,17.0
737,491.0,17.0
109,492.0,17.0
313,493.0,16.8
1130,494.0,16.8
700,495.0,16.7
93,496.0,16.7
15,497.0,16.6
298,498.0,16.6
481,499.0,16.6
67,500.0,16.5
