university_id,overall rank,overall score
309,1,100.0
383,2,98.4
726,3,97.9
409,4,97.0
34,5,96.7
1047,6,95.0
175,7,94.3
101,8,93.6
8,9,93.1
170,10,92.9
70,12,91.0
979,13,89.9
661,14,89.6
239,15,89.2
1040,16,88.6
1129,17,88.0
1,18,87.6
412,19,86.5
1087,20,85.8
344,21,84.6
131,22,83.7
59,23,83.5
480,24,83.2
569,25,82.7
202,26,82.7
152,27,82.1
194,28,82.1
371,29,81.5
216,30,80.8
1123,31,80.0
285,32,80.0
305,33,80.0
348,34,79.9
249,35,79.4
697,36,79.2
830,37,79.0
649,38,78.9
50,39,78.6
540,40,77.1
51,41,76.5
266,42,76.4
831,43,75.8
21,44,75.4
178,45,74.8
926,46,74.5
546,47,74.4
160,48,74.3
908,49,73.9
394,50,73.6
556,51,73.4
718,52,73.3
433,53,71.9
845,54,71.2
985,55,70.9
343,56,70.8
813,57,70.7
64,58,70.6
589,59,70.1
544,60,70.0
793,61,69.9
511,62,69.0
902,63,68.9
464,64,68.6
753,65,68.2
43,66,67.5
108,67,67.5
532,69,67.1
156,70,67.1
195,71,66.7
590,72,66.1
1073,73,66.1
899,74,65.9
833,75,65.8
594,76,65.5
724,77,64.6
1094,78,64.6
475,79,64.3
444,80,64.1
1051,81,64.0
829,82,63.4
361,83,63.3
1092,84,63.0
282,85,62.2
695,86,62.5
650,87,62.0
78,88,61.5
1100,89,61.4
705,90,61.3
1118,91,61.2
139,92,61.0
119,93,60.8
413,94,60.8
132,95,60.6
771,96,60.3
253,97,60.2
1034,98,59.5
1144,99,59.0
1076,100,58.8
1122,101,58.4
648,102,58.4
135,103,57.9
530,104,57.6
502,105,56.9
1071,106,56.8
492,107,56.8
769,108,56.4
283,109,55.9
179,110,55.8
72,111,55.8
727,112,55.3
88,113,55.2
334,114,55.1
1128,114,54.9
460,115,54.8
224,116,54.8
665,117,54.5
5,118,54.3
756,119,54.0
448,120,53.9
799,121,53.8
470,122,53.8
526,123,53.8
501,124,53.7
76,125,53.7
181,126,53.7
157,127,53.6
820,128,53.4
457,129,53.4
743,130,53.2
1016,131,52.9
352,132,52.7
469,134,52.6
244,135,52.5
426,136,52.5
952,137,52.4
133,139,52.2
38,140,52.2
620,141,52.0
144,142,51.9
930,143,51.7
454,144,51.5
304,145,51.4
121,146,51.3
35,147,51.0
19,148,50.8
521,149,50.6
631,150,50.3
555,151,50.3
39,152,50.2
888,153,50.2
641,154,50.2
539,155,49.9
33,156,49.7
1108,157,49.6
36,158,49.1
885,159,48.5
653,160,48.2
664,161,48.1
568,162,47.4
1060,163,47.4
449,164,47.2
57,165,46.9
524,165,46.9
995,167,46.8
646,168,46.4
864,169,46.2
1091,170,46.2
893,171,46.1
441,172,46.0
256,173,45.9
393,174,45.9
284,175,45.8
52,176,45.8
955,177,45.7
474,178,45.7
85,179,45.7
1037,180,45.6
967,181,45.5
505,182,45.5
316,183,45.4
439,184,45.3
972,185,44.9
801,186,44.7
762,187,44.2
241,188,44.2
560,189,44.1
404,190,44.1
1138,191,44.0
366,192,44.0
571,193,43.9
1001,194,43.4
680,195,43.3
818,196,43.2
190,197,43.1
789,198,43.1
627,199,43.1
1133,200,42.8
523,201,42.8
1017,202,42.7
643,203,42.6
17,204,42.6
956,205,42.3
786,206,41.9
32,207,41.8
223,208,41.6
873,209,41.5
280,210,41.4
1054,211,41.2
603,212,41.2
655,213,40.9
669,214,40.8
931,215,40.8
1052,216,40.6
150,217,40.5
161,218,40.5
391,219,40.5
759,220,40.4
373,221,40.4
461,222,40.4
362,223,40.0
69,224,40.0
346,225,39.9
31,226,39.7
291,227,39.6
437,228,39.4
311,229,39.4
336,230,39.3
721,231,39.3
287,232,39.3
525,233,39.2
909,234,38.9
286,235,38.9
353,236,38.8
915,237,38.8
299,238,38.3
395,239,38.3
592,241,38.2
513,242,38.1
809,243,38.1
545,244,38.1
784,245,37.9
214,246,37.8
548,247,37.8
120,248,37.8
512,249,37.8
203,250,37.7
1104,251,37.7
1006,252,37.5
377,253,37.5
477,254,37.4
228,255,37.4
332,256,37.2
296,257,37.2
1013,258,37.0
559,259,36.9
823,260,36.7
865,261,36.7
610,262,36.7
1064,263,36.4
1005,264,36.3
604,265,36.2
1007,266,36.2
935,267,36.0
691,268,36.0
1033,269,36.0
557,270,35.9
91,271,35.9
122,272,35.8
821,273,35.6
246,274,35.6
141,275,35.5
993,276,35.5
399,277,35.5
326,278,35.5
840,279,35.4
1109,280,35.4
740,281,35.3
910,282,35.2
519,283,35.2
950,284,35.1
238,285,35.0
115,286,34.9
459,287,34.8
570,288,34.8
919,289,34.8
946,290,34.8
466,291,34.6
53,293,34.6
94,294,34.6
151,295,34.5
822,296,34.5
1086,297,34.5
573,298,34.4
58,300,34.3
418,301,34.2
48,302,34.2
306,303,34.1
976,304,34.1
621,305,34.0
237,306,34.0
814,306,34.0
165,307,33.7
681,308,33.5
1142,309,33.5
400,310,33.5
537,311,33.4
843,312,33.4
932,313,33.3
874,314,33.2
728,315,33.2
886,316,33.2
1088,317,33.0
1077,318,33.0
533,319,32.9
1120,320,32.6
427,321,32.3
325,322,32.3
802,323,32.1
637,324,32.1
632,325,32.1
198,326,31.9
974,326,32.0
313,327,31.9
921,328,31.9
965,329,31.9
1072,330,31.9
673,331,31.8
832,332,31.8
686,333,31.7
878,335,31.7
211,336,31.7
315,337,31.7
298,338,31.7
1117,339,31.7
989,340,31.7
882,341,31.6
1096,342,31.5
182,343,31.5
563,344,31.4
706,345,31.4
95,346,31.1
193,347,31.1
472,348,31.0
884,349,31.0
837,350,30.9
199,351,30.9
1110,352,30.9
257,353,30.8
417,354,30.8
301,355,30.5
975,356,30.3
1085,357,30.2
1046,358,30.2
488,359,30.2
628,360,30.1
443,361,30.1
1048,362,30.0
605,363,30.0
255,364,30.0
782,366,30.0
235,367,29.9
476,368,29.7
1139,369,29.7
936,370,29.5
390,371,29.5
456,372,29.4
1027,373,29.2
317,374,29.2
806,375,29.1
732,376,29.1
434,377,29.0
729,378,29.0
996,379,28.9
293,380,28.8
567,381,28.8
379,382,28.8
554,383,28.7
384,384,28.7
999,385,28.7
351,386,28.7
549,387,28.6
168,388,28.6
320,389,28.6
707,390,28.6
817,391,28.5
766,392,28.4
863,393,28.4
80,394,28.4
527,395,28.4
595,396,28.2
96,397,28.2
580,398,28.1
232,399,28.1
1067,400,28.1
579,401,28.0
779,402,28.0
14,403,27.9
876,404,27.9
245,405,27.9
694,406,27.9
970,407,27.9
67,408,27.7
971,409,27.6
969,410,27.6
613,411,27.5
28,412,27.5
364,413,27.5
780,414,27.4
388,415,27.4
634,416,27.2
436,417,27.2
200,418,27.2
173,419,27.2
308,420,27.1
939,421,27.1
213,422,27.1
267,423,27.0
167,424,27.0
208,425,26.9
713,426,26.8
258,427,26.8
917,428,26.6
905,429,26.6
1036,430,26.6
751,431,26.5
795,432,26.4
117,433,26.4
598,434,26.4
611,435,26.4
897,436,26.4
596,437,26.2
1134,438,26.2
274,439,26.0
986,440,26.0
925,441,26.0
547,442,26.0
1029,443,25.9
622,444,25.9
452,445,25.9
1111,446,25.8
1024,447,25.8
937,448,25.8
261,449,25.7
619,450,25.7
1140,451,25.6
1143,452,25.6
536,453,25.6
18,454,25.5
487,455,25.5
574,456,25.4
386,457,25.4
933,458,25.4
212,459,25.4
222,460,25.4
716,461,25.4
810,462,25.3
396,463,25.3
1089,464,25.3
481,465,25.2
385,466,25.2
808,467,25.2
438,468,25.2
408,469,25.2
630,470,25.1
