university_id,employer reputation rank,employer reputation score
491,332.0,29.3
203,333.0,29.2
323,334.0,29.2
605,335.0,29.1
246,336.0,28.8
163,337.0,28.8
354,338.0,28.7
428,339.0,28.7
23,340.0,28.5
26,341.0,28.4
563,342.0,28.4
547,343.0,28.4
519,344.0,28.4
683,345.0,28.4
712,346.0,28.3
9,347.0,28.1
521,348.0,28.1
340,349.0,28.0
122,350.0,27.9
477,351.0,27.9
45,352.0,27.7
75,353.0,27.6
675,354.0,27.4
213,355.0,27.4
288,356.0,27.4
537,357.0,27.3
125,358.0,27.0
176,359.0,26.9
14,360.0,26.9
587,361.0,26.9
319,362.0,26.8
688,363.0,26.7
80,364.0,26.3
112,365.0,26.2
736,366.0,26.2
225,368.0,26.2
73,369.0,26.2
644,370.0,26.1
175,371.0,26.0
300,372.0,26.0
526,373.0,25.9
205,374.0,25.9
255,375.0,25.8
242,376.0,25.8
301,377.0,25.7
481,378.0,25.7
715,379.0,25.5
160,380.0,25.3
375,381.0,25.3
48,382.0,25.2
431,384.0,24.9
417,385.0,24.9
600,386.0,24.8
116,387.0,24.7
32,388.0,24.7
67,389.0,24.5
495,390.0,24.4
457,391.0,24.3
557,392.0,24.2
352,393.0,23.9
313,395.0,23.6
249,396.0,23.5
409,397.0,23.5
263,398.0,23.4
450,399.0,23.4
398,400.0,23.4
262,401.0,23.4
549,402.0,23.3
630,403.0,23.1
449,404.0,23.0
185,405.0,22.8
168,406.0,22.7
541,407.0,22.7
731,408.0,22.6
732,409.0,22.6
637,410.0,22.5
642,411.0,22.5
649,412.0,22.4
455,413.0,22.4
448,414.0,22.4
208,415.0,22.2
177,416.0,22.2
387,417.0,22.2
478,418.0,22.1
39,419.0,22.1
159,420.0,22.1
29,421.0,22.0
143,422.0,21.9
429,423.0,21.7
499,424.0,21.6
686,425.0,21.6
603,426.0,21.5
432,427.0,21.5
70,428.0,21.4
169,429.0,21.4
719,430.0,21.4
639,432.0,21.3
484,433.0,21.2
446,434.0,21.1
51,435.0,21.0
69,436.0,21.0
206,437.0,20.7
443,438.0,20.7
261,439.0,20.5
135,440.0,20.3
200,441.0,20.3
378,442.0,20.3
166,443.0,20.2
