name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Massachusetts Institute of Technology (MIT),1,100,5,100,4,100,15,100,8,99.1,43,100,101,91.9,n/a,n/a,n/a,n/a,n/a,n/a
Stanford University,2,98.4,4,100,5,100,13,100,13,98.1,68,99.7,220,63.6,n/a,n/a,n/a,n/a,n/a,n/a
Harvard University,3,97.9,1,100,1,100,43,98.6,9,99.1,195,85.2,195,69.9,n/a,n/a,n/a,n/a,n/a,n/a
California Institute of Technology (Caltech),4,97,29,97,69,82.8,4,100,6,99.9,51,100,119,88.2,n/a,n/a,n/a,n/a,n/a,n/a
University of Oxford,5,96.7,3,100,3,100,8,100,44,81.3,80,99.4,55,98.3,n/a,n/a,n/a,n/a,n/a,n/a
ETH Zurich,6,95,19,98.7,26,96.6,140,80.8,16,96.4,19,100,59,97.9,n/a,n/a,n/a,n/a,n/a,n/a
University of Cambridge,7,94.3,2,100,2,100,12,100,85,69.2,54,100,63,97.4,n/a,n/a,n/a,n/a,n/a,n/a
Imperial College London,8,93.6,21,98.5,9,99.8,30,99.9,88,68.6,47,100,14,100,n/a,n/a,n/a,n/a,n/a,n/a
University of Chicago,9,93.1,14,99.4,43,91.3,70,94.4,34,86.3,269,67.1,150,82.6,n/a,n/a,n/a,n/a,n/a,n/a
UCL,10,92.9,13,99.4,19,98.3,46,98.4,99,65.4,82,99.3,18,100,n/a,n/a,n/a,n/a,n/a,n/a
National University of Singapore (NUS,11,91.5,12,99.7,18,98.4,83,90.7,70,72.9,26,100,188,71.4,n/a,n/a,n/a,n/a,n/a,n/a
Princeton University,12,91,10,99.9,14,99,202,68.6,3,100,251,71.6,209,65.6,n/a,n/a,n/a,n/a,n/a,n/a
"Nanyang Technological University, Singapore (NTU Singapore)",13,89.9,44,89.8,52,89.8,78,91.5,25,89,24,100,204,67.6,n/a,n/a,n/a,n/a,n/a,n/a
EPFL,14,89.6,67,80.4,76,80,61,96.3,12,98.5,15,100,12,100,n/a,n/a,n/a,n/a,n/a,n/a
