university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
1,101,58.4,76.0,74.9,90.0,75.3,503.0,29.9,135.0,59.7,601.0,15.9,373.0,36.9,,,,,,
2,151,50.3,192.0,42.6,225.0,41.4,258.0,58.4,265.0,45.7,170.0,89.5,194.0,69.9,,,,,,
3,320,32.6,214.0,38.8,392.0,24.2,498.0,30.6,479.0,26.4,389.0,42.9,549.0,19.2,,,,,,
4,644,,,,,,493.0,30.8,449.0,28.9,,,,,,,,,,
5,290,34.8,314.0,26.3,303.0,32.2,236.0,62.0,397.0,33.6,484.0,28.8,601.0,5.9,,,,,,
6,294,34.6,352.0,24.2,368.0,26.2,293.0,53.1,253.0,46.3,601.0,8.0,375.0,36.7,,,,,,
7,891,,,,485.0,18.4,,,,,434.0,34.3,482.0,24.9,,,,,,
8,20,85.8,25.0,98.0,31.0,95.4,127.0,83.1,210.0,50.2,98.0,98.2,50.0,99.0,,,,,,
9,1007,,,,,,,,,,438.0,33.6,577.0,18.0,,,,,,
10,521,,342.0,24.7,156.0,53.0,535.0,27.4,,,,,,,,,,,,
11,938,,,,,,,,447.0,29.0,,,,,,,,,,
12,1115,,,,375.0,25.8,,,,,,,,,,,,,,
13,459,25.4,328.0,25.3,360.0,26.9,601.0,3.9,222.0,49.6,509.0,25.1,601.0,10.0,,,,,,
14,404,27.9,378.0,22.0,501.0,14.2,288.0,53.4,555.0,20.8,445.0,32.8,537.0,20.1,,,,,,
15,1110,,,,,,,,,,,,,,,,,,,
16,572,,,,,,149.0,79.4,,,,,367.0,37.9,,,,,,
17,1084,,,,,,,,,,,,,,,,,,,
18,764,,480.0,17.6,293.0,33.1,,,,,,,,,,,,,,
19,298,34.4,317.0,26.1,298.0,32.8,71.0,94.0,601.0,2.2,601.0,8.1,588.0,17.0,,,,,,
20,383,28.7,501.0,13.8,468.0,19.0,601.0,11.7,20.0,92.7,601.0,1.1,601.0,2.7,,,,,,
21,93,60.8,112.0,61.4,134.0,58.6,233.0,62.2,295.0,42.8,194.0,85.3,75.0,96.0,,,,,,
22,602,,,,495.0,18.0,,,,,2.0,100.0,4.0,100.0,,,,,,
23,1134,,,,,,,,,,,,,,,,,,,
24,1006,,,,,,,,,,,,559.0,18.7,,,,,,
25,589,,,,,,,,158.0,56.7,,,,,,,,,,
26,990,,,,,,,,326.0,39.6,,,,,,,,,,
27,135,52.5,205.0,40.6,314.0,31.0,347.0,45.6,73.0,71.3,142.0,93.7,79.0,95.4,,,,,,
28,468,25.2,501.0,11.7,501.0,8.9,549.0,26.5,337.0,38.7,233.0,76.6,280.0,51.3,,,,,,
29,922,,,,,,382.0,41.4,,,,,,,,,,,,
30,118,54.3,133.0,55.1,151.0,53.6,216.0,66.8,444.0,29.1,172.0,88.8,237.0,59.7,,,,,,
31,1113,,,,,,,,,,,,,,,,,,,
32,161,48.1,255.0,33.3,501.0,10.1,69.0,94.6,171.0,54.7,332.0,53.7,554.0,18.9,,,,,,
33,162,47.4,426.0,19.7,476.0,18.7,107.0,86.5,94.0,67.8,327.0,55.3,178.0,74.5,,,,,,
34,726,,,,399.0,23.4,552.0,26.4,,,196.0,84.9,468.0,25.9,,,,,,
35,400,28.1,501.0,8.6,501.0,6.5,6.0,100.0,601.0,15.4,601.0,4.3,601.0,10.9,,,,,,
36,899,,,,,,,,569.0,19.8,538.0,23.0,,,,,,,,
37,877,,,,,,,,,,248.0,72.4,429.0,29.6,,,,,,
38,956,,,,,,,,,,88.0,98.8,425.0,29.9,,,,,,
39,994,,401.0,20.4,,,,,,,,,,,,,,,,
40,168,46.4,159.0,49.5,138.0,58.1,445.0,34.8,143.0,58.3,564.0,19.4,575.0,18.0,,,,,,
41,1043,,,,,,,,,,,,,,,,,,,
42,1077,,,,,,,,,,,,,,,,,,,
43,307,33.7,474.0,17.8,136.0,58.1,601.0,3.8,36.0,85.0,452.0,32.5,485.0,24.7,,,,,,
44,748,,,,,,477.0,32.3,,,,,,,,,,,,
45,1123,,,,,,,,,,,,,,,,,,,
46,636,,341.0,24.7,,,,,,,,,442.0,28.1,,,,,,
47,831,,497.0,16.6,361.0,26.9,,,,,,,,,,,,,,
48,834,,,,,,438.0,35.6,,,,,,,,,,,,
49,667,,405.0,20.3,464.0,19.3,,,,,471.0,29.9,369.0,37.7,,,,,,
50,112,55.3,93.0,68.7,285.0,33.9,519.0,28.7,163.0,56.1,238.0,75.1,203.0,68.4,,,,,,
51,436,26.4,320.0,25.9,501.0,7.0,571.0,25.3,237.0,48.1,601.0,6.6,601.0,4.1,,,,,,
52,48,74.3,111.0,61.5,297.0,32.8,94.0,88.9,22.0,91.2,14.0,100.0,49.0,99.0,,,,,,
