name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Massachusetts Institute of Technology (MIT),1,100,5,100,4,100,14,100,5,100,54,100,109,90,58,96.1,3,100,n/a,n/a
University of Cambridge,2,98.8,2,100,2,100,11,100,55,92.3,60,100,70,96.3,6,99.5,9,100,n/a,n/a
Stanford University,3,98.5,4,100,5,100,6,100,9,99.9,74,99.8,235,60.3,55,96.3,2,100,n/a,n/a
University of Oxford,4,98.4,3,100,3,100,8,100,64,90,101,98.8,54,98.4,3,99.9,7,100,n/a,n/a
Harvard University,5,97.6,1,100,1,100,35,99.4,2,100,228,76.9,212,66.9,1,100,1,100,n/a,n/a
California Institute of Technology (Caltech),6,97,28,96.5,58,87.1,3,100,4,100,75,99.8,134,85.1,425,73,24,98.8,n/a,n/a
Imperial College London,7,97,24,98.3,10,99.7,34,99.5,84,86.5,55,100,13,100,20,98.1,76,88.8,n/a,n/a
UCL,8,95,14,99.4,16,98.6,51,97.6,119,77,87,99.2,14,100,2,100,71,90.3,n/a,n/a
ETH Zurich,9,93.6,18,98.6,51,91.3,164,74.2,18,99.2,24,100,59,98,56,96.2,64,91.1,n/a,n/a
University of Chicago,10,93.2,16,99.2,46,92.2,71,92.9,79,86.8,214,81.6,176,76,170,89.6,30,98.2,n/a,n/a
National University of Singapore (NUS),11,92.7,13,99.5,36,94.1,136,79.8,58,91.8,33,100,187,73.5,165,89.9,16,99.6,n/a,n/a
Peking University,12,91.3,15,99.3,28,96.5,98,87.3,34,96.7,323,57.1,376,36.9,354,77.5,59,91.4,n/a,n/a
University of Pennsylvania,13,90.6,29,96.5,45,92.5,23,99.9,142,70.9,128,96.2,215,66.1,104,93.3,5,100,n/a,n/a
Tsinghua University,14,90.1,17,98.9,23,97.7,72,92.8,24,98.1,601+,16.7,462,25.7,381,75.5,80,87.1,n/a,n/a
The University of Edinburgh,15,89.5,26,98,24,97.2,129,81.1,149,70.1,98,98.9,38,99.5,15,98.7,219,54.3,n/a,n/a
EPFL,16,89.2,59,83.7,93,71.8,82,91.1,15,99.4,17,100,11,100,207,87.3,451,28,n/a,n/a
Princeton University,17,89.2,10,99.9,14,98.9,172,72.6,3,100,515,26,226,62.2,340,78.5,8,100,n/a,n/a
Yale University,18,89,9,99.9,7,100,2,100,249,51.5,179,89.2,165,77.3,123,92,4,100,n/a,n/a
"Nanyang Technological University, Singapore (NTU Singapore)",19,88.4,42,90.4,81,76.1,120,83.2,49,94.1,30,100,186,74.1,169,89.6,86,84.6,n/a,n/a
Cornell University,20,87.2,23,98.3,50,91.4,245,62.2,17,99.3,290,63.9,256,55.3,161,90,19,99.5,n/a,n/a
The University of Hong Kong,21,87,27,97.4,119,62.9,113,84.2,131,72.6,27,100,50,98.7,303,81.1,23,99,n/a,n/a
Columbia University,22,86.7,11,99.7,20,98.1,12,100,282,47.2,369,47.6,85,94.6,14,98.9,11,99.8,n/a,n/a
The University of Tokyo,23,85.3,7,100,9,99.7,78,91.9,128,73.3,601+,10.4,448,27.8,174,89.5,33,97.8,n/a,n/a
Johns Hopkins University,24,85.1,49,87.9,198,47.2,5,100,76,87.3,294,63.6,145,82.9,27,97.7,42,95.3,n/a,n/a
University of Michigan-Ann Arbor,25,84.4,22,98.5,52,91.3,92,88.9,190,62.5,253,71.2,404,33.1,52,96.3,40,96,n/a,n/a
Université PSL,26,83.8,78,74.4,25,97,24,99.8,96,84.1,308,59.7,142,83.6,4,99.7,227,53.9,n/a,n/a
"University of California, Berkeley (UCB)",27,82.7,6,100,6,100,599,23.9,10,99.9,155,93.3,248,57.7,45,96.7,21,99.1,n/a,n/a
The University of Manchester,28,82.3,33,95.1,22,97.7,234,63.1,207,59,152,93.4,41,99.4,13,98.9,158,66.4,n/a,n/a
Seoul National University,29,82.2,19,98.6,21,97.8,100,87,147,70.3,601+,12.2,601+,10.3,329,79.3,34,97.7,n/a,n/a
Australian National University (ANU),30,82.1,35,93.6,95,70.1,404,38,16,99.3,37,100,71,96,86,94.6,192,59.1,n/a,n/a
McGill University,31,81.9,36,93.3,39,93.6,193,68.9,203,59.6,188,87.6,77,95.1,69,95.2,72,90,n/a,n/a
Northwestern University,32,81.8,56,84.4,92,71.9,45,98.3,95,84.2,401,40.5,351,38.8,183,89,29,98.4,n/a,n/a
The University of Melbourne,33,81.6,20,98.6,34,94.9,601+,17.9,45,95,157,93.1,30,99.8,30,97.6,63,91.1,n/a,n/a
Fudan University,34,81.5,60,83.6,40,93.5,88,89.3,146,70.4,178,89.3,355,38.7,457,70.6,164,65.7,n/a,n/a
University of Toronto,35,81.5,12,99.6,18,98.3,219,65.6,313,43.5,132,95.8,74,95.7,46,96.7,45,94,n/a,n/a
Kyoto University,36,81.4,21,98.6,15,98.9,62,94.8,234,54.2,601+,14.9,503,22.1,233,85.5,201,56.9,n/a,n/a
King's College London,37,81.2,47,88.8,66,83.2,162,74.5,198,60.5,104,98.6,21,100,8,99.3,200,56.9,n/a,n/a
The Chinese University of Hong Kong (CUHK),38,80.6,51,87.3,177,49.6,250,60.9,53,92.9,58,100,108,90.5,398,74.9,108,79.4,n/a,n/a
New York University (NYU),39,80.3,32,95.9,13,99,48,98.1,440,28.9,463,31.3,87,94.4,122,92,13,99.7,n/a,n/a
The Hong Kong University of Science and Technology,40,79.8,64,82,172,50.1,239,62.6,20,98.6,20,100,121,87.9,601+,56.2,61,91.2,n/a,n/a
The University of Sydney,41,79.6,30,96.2,49,91.7,601+,15.6,56,92.1,84,99.3,12,100,34,97.3,65,90.8,n/a,n/a
KAIST - Korea Advanced Institute of Science & Technology,42,79.3,48,88.1,60,85.8,192,68.9,27,97.7,542,23.1,601+,12.3,505,65.2,178,63.2,n/a,n/a
Zhejiang University,43,79.3,82,72.2,31,95.3,146,78.7,72,88.4,88,99.1,325,42.5,309,80.8,307,42.3,n/a,n/a
"University of California, Los Angeles (UCLA)",44,78.7,8,100,8,99.9,410,37.7,87,85.9,377,45.1,450,27.5,53,96.3,31,98,n/a,n/a
The University of New South Wales (UNSW Sydney),45,78,46,89,53,91.1,601+,16.8,28,97.6,50,100,31,99.8,17,98.2,51,93,n/a,n/a
Shanghai Jiao Tong University,46,77.4,61,82.7,54,90.2,269,57.7,31,97.1,400,40.9,357,38.4,412,73.9,194,57.8,n/a,n/a
University of British Columbia,47,77,25,98,30,95.4,275,56.5,332,42.1,180,89,181,74.9,24,97.9,119,75.2,n/a,n/a
Institut Polytechnique de Paris,48,76.8,180,45.3,11,99.4,41,98.9,50,93.9,124,97,56,98.2,78,94.8,12,99.8,n/a,n/a
Technical University of Munich,49,76.4,57,84,26,96.8,57,96.4,482,25.8,255,70.3,80,95,125,91.8,347,37.5,n/a,n/a
Duke University,50,74.8,53,86.1,71,79.8,10,100,345,41.2,581,20.2,257,55.1,63,95.5,27,98.6,n/a,n/a
The University of Queensland,51,74.8,52,86.6,83,75.6,601+,20.2,62,90.8,36,100,19,100,85,94.6,311,41.8,n/a,n/a
Carnegie Mellon University,52,74.6,83,72.1,101,69,267,58.6,8,100,414,38.2,66,97.1,188,88.7,83,85.3,n/a,n/a
"University of California, San Diego (UCSD)",53,74.5,45,90,123,61.6,280,55.6,118,77,333,54.9,267,53.7,40,96.9,560,21.2,n/a,n/a
City University of Hong Kong,54,73.6,130,57.3,328,29.4,93,88.6,25,98.1,16,100,15,100,601+,55.1,198,57.2,n/a,n/a
Tokyo Institute of Technology (Tokyo Tech),55,72.5,80,74.1,42,93.4,126,81.5,168,65.9,433,36.1,362,37.9,601+,55.8,377,33.6,n/a,n/a
The London School of Economics and Political Science (LSE),56,72.3,91,69,17,98.3,408,37.8,93,84.6,32,100,8,100,487,67.6,10,99.9,n/a,n/a
Monash University,57,71.6,50,87.6,68,80.8,601+,11.2,113,79.3,48,100,18,100,75,95.1,202,56.8,n/a,n/a
University of Amsterdam,58,71.1,62,82.7,223,42.3,562,26.7,29,97.3,161,92.3,152,80.7,35,97.2,241,51.4,n/a,n/a
Ludwig-Maximilians-Universität München,59,70.4,37,92.6,82,75.7,278,56,296,45.5,287,64.2,352,38.8,84,94.7,333,39.3,n/a,n/a
Sorbonne University,60,70.1,44,90,225,41.7,387,40.6,86,86.3,496,28.3,262,54.7,5,99.6,187,60.9,n/a,n/a
Delft University of Technology,61,70,87,71.6,69,80.2,447,34.5,94,84.4,64,100,141,83.7,60,95.9,172,64,n/a,n/a
University of Bristol,62,70,79,74.4,64,84.1,268,58.3,225,55.3,170,90.5,135,84.9,92,93.9,190,59.6,n/a,n/a
Brown University,63,69.6,128,57.6,154,54.2,132,80.8,65,89.9,210,82.8,294,49.8,417,73.6,14,99.6,n/a,n/a
The University of Warwick,64,69.1,85,71.8,55,89.3,360,43.1,186,63.1,111,98.1,45,99.2,97,93.6,181,62,n/a,n/a
Universität Heidelberg,65,69,72,78.7,230,40.3,26,99.8,346,41.1,348,51.3,307,47.2,70,95.2,531,22.8,n/a,n/a
The Hong Kong Polytechnic University,66,69,99,66.1,257,37,147,78.4,151,68.9,46,100,153,80.7,409,74.2,256,49.2,n/a,n/a
Universidad de Buenos Aires (UBA),67,68.9,39,92.3,37,94,158,76,601+,1.8,293,63.7,207,68.9,533,63,371,34.3,n/a,n/a
Osaka University,68,68.2,68,80.2,61,85.4,205,67.4,206,59.1,525,25,601+,14.4,385,75.2,567,21,n/a,n/a
Université Paris-Saclay,69,68.1,131,57.2,12,99.2,28,99.7,266,49.5,387,43.7,243,59.1,37,97.1,601+,7.8,n/a,n/a
Universiti Malaya (UM),70,67.9,70,79.6,35,94.9,200,67.8,355,39.4,388,43.6,272,53,126,91.8,310,41.9,n/a,n/a
Pohang University of Science And Technology (POSTECH),71,67.7,169,47.4,98,69.4,15,100,26,98,444,34.7,601+,2.9,601+,30.9,215,54.8,n/a,n/a
University of Texas at Austin,72,67.4,34,93.7,62,85.2,601+,9.8,61,90.9,601+,7.6,601+,10.8,142,90.9,131,71.1,n/a,n/a
Yonsei University,73,67,76,75.5,29,95.5,94,88.6,448,28.4,587,19.4,285,51.3,526,63.5,144,68.8,n/a,n/a
Korea University,74,66.9,71,79.3,38,93.9,105,86.1,433,29.5,601+,14.7,406,32.9,532,63.1,129,71.8,n/a,n/a
Lomonosov Moscow State University,75,66.8,67,80.5,78,77,27,99.8,601+,5.3,589,19.2,103,91.9,204,87.5,62,91.2,n/a,n/a
KU Leuven,76,66,58,83.8,156,53,601+,7.7,54,92.7,164,91.9,320,43.3,11,99.1,283,44.8,n/a,n/a
National Taiwan University (NTU),77,65.7,38,92.3,44,92.6,461,33.4,262,49.7,591,19,412,32.6,393,75,37,96.7,n/a,n/a
University of Southampton,78,65,153,50.7,140,56.6,233,63.3,100,82.7,130,96.1,89,93.8,47,96.7,302,42.8,n/a,n/a
Tohoku University,79,64.9,86,71.8,75,78.1,43,98.6,401,34.2,601+,14.1,595,16.4,493,66.8,601+,18.7,n/a,n/a
University of Washington,80,64.7,55,84.8,183,48.6,601+,10.8,7,100,458,32.5,384,36,29,97.6,89,84.1,n/a,n/a
University of Glasgow,81,64.6,77,75.1,85,75.1,311,50.5,394,34.7,134,95.5,49,98.9,81,94.7,430,29.4,n/a,n/a
University of Copenhagen,82,64.1,81,72.8,261,36.6,17,100,476,26,166,91.3,473,24.5,10,99.1,193,58.2,n/a,n/a
University of Wisconsin-Madison,83,63.7,63,82.4,188,48.1,184,70.6,333,41.9,421,37.7,482,23.8,105,93.2,87,84.6,n/a,n/a
University of Zurich,84,63.7,124,58,238,39.2,68,93.3,268,49.3,57,100,255,55.5,98,93.5,114,77.8,n/a,n/a
University of Illinois at Urbana-Champaign,85,63.6,54,85.6,126,60.9,601+,9.5,71,88.7,578,20.3,309,46.4,118,92.2,135,70,n/a,n/a
University of Leeds,86,62.8,88,70.2,74,78.4,376,41.6,276,47.8,195,86.3,129,86.5,26,97.8,300,42.9,n/a,n/a
The University of Auckland,87,62.7,65,81.5,186,48.3,601+,22.4,235,54.1,71,99.9,102,92.4,208,87.2,110,79.2,n/a,n/a
Georgia Institute of Technology,88,62.3,97,67.7,77,77,601+,11.1,44,95.5,299,62.9,260,54.8,341,78.5,176,63.5,n/a,n/a
KTH Royal Institute of Technology,89,62.1,178,45.8,136,58.2,186,70,123,76.4,123,97.1,199,70.2,164,89.9,100,81.4,n/a,n/a
The University of Western Australia,90,61.7,137,55.6,175,49.9,601+,21.8,19,98.9,28,100,23,99.9,16,98.2,167,65,n/a,n/a
University of Birmingham,91,61.1,100,66,86,74.7,349,44.1,295,45.9,168,91,122,87.4,73,95.1,344,37.6,n/a,n/a
Durham University,92,60.9,125,57.9,56,89.2,501,31,174,65.7,122,97.2,123,87.2,182,89.1,295,43.6,n/a,n/a
Pennsylvania State University,93,60.8,75,76.7,97,69.8,473,32.6,162,67.7,523,25.3,421,31,44,96.8,282,44.8,n/a,n/a
University of Science and Technology of China,94,60.7,147,51.6,501+,12.4,103,86.6,12,99.9,596,18.7,601+,5.7,491,67,345,37.6,n/a,n/a
Lund University,95,60.1,92,68.8,163,50.9,307,51.3,341,41.4,133,95.8,173,76.6,28,97.6,168,64.9,n/a,n/a
The University of Sheffield,96,59.5,122,58.7,155,53.5,264,59.4,284,46.9,199,85.3,61,97.8,79,94.7,376,33.7,n/a,n/a
University of St Andrews,97,59.5,175,46.2,106,67.6,249,61.1,209,58.9,100,98.8,35,99.7,265,83.4,292,44.1,n/a,n/a
"Trinity College Dublin, The University of Dublin",98,59.1,95,67.9,187,48.2,573,25.7,199,60.2,73,99.8,92,93.3,206,87.3,32,97.9,n/a,n/a
Sungkyunkwan University (SKKU),99,58.9,115,60.2,90,72.7,115,83.9,368,37.8,592,18.9,354,38.7,582,58.8,375,33.9,n/a,n/a
Rice University,100,58.8,218,38.8,366,26.1,189,69.5,82,86.7,174,90,100,92.6,601+,57.2,133,70.7,n/a,n/a
University of Oslo,101,58.7,141,54.9,501+,14.5,117,83.8,187,62.7,196,86.2,449,27.5,25,97.9,163,65.7,n/a,n/a
"University of California, Davis",102,58.2,105,64.8,162,51,559,27.1,153,68.7,204,84.7,198,70.2,155,90.2,488,25,n/a,n/a
University of North Carolina at Chapel Hill,103,58.2,102,65.5,210,44.7,135,80.4,287,46.6,507,27.2,601+,10,160,90,152,67.4,n/a,n/a
Technical University of Denmark,104,58,273,30.9,411,23.4,20,100,143,70.8,59,100,166,77.2,138,91.2,147,68.3,n/a,n/a
Universidad Nacional Autónoma de México  (UNAM),105,58,31,96,32,95.1,358,43.2,601+,2.9,601+,9.3,601+,2.6,136,91.3,184,61.5,n/a,n/a
King Abdulaziz University (KAU),106,57.8,167,48.4,94,70.7,215,66.3,256,50.6,94,99,263,54.3,102,93.4,601+,10.5,n/a,n/a
University of Helsinki,107,57.8,103,65.3,212,44.6,212,66.5,261,49.8,269,67.9,601+,5.8,67,95.2,180,62.5,n/a,n/a
Boston University,108,57.2,110,62.3,139,57.2,388,40.4,195,61.6,449,33.7,144,83.3,212,86.9,103,80.5,n/a,n/a
The University of Adelaide,109,57,146,52.3,279,35.2,601+,17.2,46,94.5,76,99.8,28,99.8,108,93.1,325,40.2,n/a,n/a
University of Alberta,110,56.9,139,55.1,181,48.9,305,51.5,237,53.9,135,95.3,171,76.9,57,96.1,318,41,n/a,n/a
École Normale Supérieure de Lyon,111,56.6,265,31.8,501+,12.6,63,94.3,36,96.4,282,66,572,17.4,461,70.1,289,44.3,n/a,n/a
Nagoya University,112,56.3,117,59.8,153,54.3,84,90.6,403,33.9,601+,15.8,536,20,499,66.5,367,35.1,n/a,n/a
Utrecht University,113,56.3,101,65.8,361,26.6,443,35.1,112,79.6,312,58.3,489,23.1,83,94.7,305,42.5,n/a,n/a
University of Nottingham,114,56.2,120,59,84,75.3,421,36.9,298,45.2,173,90.3,172,76.7,19,98.1,391,32.5,n/a,n/a
Universidade de São Paulo,115,56.1,41,91.8,96,69.9,601+,17.4,348,40.6,601+,7.6,601+,2.7,82,94.7,113,78.9,n/a,n/a
Aalto University,116,55.9,187,44.5,207,45.8,347,44.4,68,89.3,139,94.9,387,35.6,154,90.3,106,79.8,n/a,n/a
Université de Montréal,117,55.9,129,57.4,197,47.2,157,76.2,455,27.6,176,89.5,266,53.7,224,86,601+,19.3,n/a,n/a
Freie Universitaet Berlin,118,55.8,66,80.7,209,44.9,601+,4,183,63.5,298,63,328,42,124,91.9,383,33.3,n/a,n/a
Washington University in St. Louis,119,55.8,210,40.1,501+,15.3,22,99.9,221,55.6,212,82.4,258,55.1,243,84.9,132,71,n/a,n/a
University of Bern,120,55.7,283,30.3,277,35.5,223,64.9,22,98.3,41,100,329,41.9,66,95.3,601+,18.4,n/a,n/a
Pontificia Universidad Católica de Chile (UC),121,54.9,40,91.8,19,98.1,601+,22.3,601+,12.5,601+,17.9,601+,3.9,275,82.7,70,90.4,n/a,n/a
Newcastle University,122,54.8,176,46.2,65,83.8,398,39.1,211,58.9,203,84.8,178,75.6,39,96.9,601+,14.9,n/a,n/a
Universiti Putra Malaysia (UPM),123,54.7,132,56.8,130,59.2,160,75.4,565,19.5,383,44.2,99,92.7,240,85,601+,6.2,n/a,n/a
Wageningen University & Research,124,54.6,193,42.8,501+,17,52,97.4,275,48.2,349,50.5,175,76.4,43,96.9,601+,18.8,n/a,n/a
Chalmers University of Technology,125,54.5,305,27.9,128,60.7,255,60.5,104,81.6,53,100,190,72.4,256,84.1,538,22.5,n/a,n/a
Queen Mary University of London,126,54.5,163,48.9,267,36.2,363,42.8,188,62.6,81,99.7,40,99.5,96,93.7,601+,13.8,n/a,n/a
University of Geneva,127,54.5,174,46.5,463,20,345,44.8,127,74,39,100,68,96.7,110,92.8,276,45.9,n/a,n/a
