name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Seoul National University,41,78.5,18,99,17,98.2,105,85.1,175,64.9,701+,11.5,631,14.5,401,36.9,8,100,181,73.8
Monash University,42,78.2,49,88.4,84,75.2,701+,9.6,81,88.4,50,100,19,100,102,86.8,95,61,=194,71.8
The University of Queensland,43,78.1,52,87.1,89,73.7,635,21.6,84,87,41,100,22,100,53,95,163,44.4,=187,73.1
Zhejiang University,44,77.8,81,73.8,36,95.7,198,66.5,37,97.6,120,97.7,456,26.5,174,74.7,194,37.7,=297,51.5
The London School of Economics and Political Science (LSE),45,76.9,98,67.7,32,96.1,401,39.6,110,80.2,35,100,10,100,440,32.4,16,98.6,28,97.8
Kyoto University,46,76.3,20,98.7,14,99.1,63,94.7,270,49.3,670,14.9,538,20.8,266,57.3,118,53.2,=103,88.4
Delft University of Technology,47,76.2,84,73,73,79,428,36.9,95,84.9,66,100,121,89.3,72,91.4,170,42.1,=18,98.4
Northwestern University,48,76.2,60,83.8,132,60.2,39,98.9,147,70.3,364,48.2,327,44.2,152,79.2,19,97.7,162,78
The Chinese University of Hong Kong (CUHK),49,76.2,50,88.4,190,46.3,236,60,67,92.3,57,100,174,77.1,438,32.7,53,78.6,=246,61.3
Fudan University,50,74.4,55,84.7,49,89.8,108,84.5,136,72.4,193,88.3,393,33,522,22.7,134,49.6,341,43.8
Shanghai Jiao Tong University,51,74.3,61,83.7,64,83.3,279,54.7,15,99.4,415,39.2,377,35.5,390,38.3,113,55.5,=339,44.1
Carnegie Mellon University,52,73.7,87,71.2,83,75.3,319,49.1,10,99.9,371,46.6,59,98.2,264,57.4,100,60,=323,47.2
University of Amsterdam,53,73.4,62,83.6,203,44.2,641,21.2,33,98.1,168,92.4,163,79.9,28,97.4,133,49.9,=226,64.8
Ludwig-Maximilians-Universität München,54,72.5,40,92.7,63,83.5,335,46.7,254,51.4,260,73.3,362,37.7,57,94.4,140,48.5,=167,77.3
University of Bristol,55,72.4,78,74.9,60,84.7,331,47.3,179,64.7,205,85.5,136,86.8,122,84.4,181,39.6,141,81.3
KAIST - Korea Advanced Institute of Science & Technology,56,72.2,44,89.9,53,88.8,202,66.2,35,97.7,570,22.3,682,11.6,662,10.6,174,41.8,=621,14.2
Duke University,57,72,53,85.7,106,69.3,7,100,344,40.2,634,16.8,278,52.2,82,90,37,89.3,=53,95
University of Texas at Austin,58,71.8,35,93.5,65,83.2,701+,8.9,85,86.7,701+,9.3,691,11,147,79.4,73,70,=163,77.7
Sorbonne University,59,71.7,48,88.6,151,53.2,361,43.3,93,85.4,451,35.2,297,49.8,4,100,182,39.5,=171,75.8
The Hong Kong University of Science and Technology,60,71.1,63,83.3,216,42.6,289,53.6,20,99.1,19,100,111,91.4,701+,5.3,131,50.3,=432,31
KU Leuven,61,70.1,56,84.6,220,42.4,701+,7,66,92.7,163,93.1,318,45.7,6,99.9,111,56.1,=173,75.6
"University of California, San Diego (UCSD)",62,70,47,89.1,167,50.4,313,49.6,130,74.3,285,68.1,282,51.3,55,94.9,471,17.7,=189,72.5
University of Washington,63,69.2,58,84,168,50.4,692,19.1,62,93.5,600,19,392,33.2,59,94,74,70,=106,88.1
University of Illinois at Urbana-Champaign,64,69.1,54,85,100,70.8,701+,7.5,86,86.5,701+,11.1,303,49.2,164,76.4,84,66,=128,83.5
The Hong Kong Polytechnic University,65,68.7,97,68.1,323,30.2,192,68,77,88.8,40,100,133,87.4,362,42,138,49.2,73,92.8
Universiti Malaya (UM),66,68.7,68,81.2,34,96,178,71.6,416,32.7,346,52.8,254,58.9,148,79.3,286,28.1,68,93.4
The University of Warwick,67,68.6,86,71.3,56,88,420,37.3,275,49,109,98.2,47,99.3,87,89.7,148,47.2,=239,62.5
The University of Auckland,68,68,65,81.6,231,40.8,687,19.3,198,61.7,68,100,108,91.6,220,64.4,28,94.3,9,99.6
National Taiwan University (NTU),69,67.9,39,92.8,46,91.3,508,30.9,288,47,619,17.7,547,20,431,33.2,12,99.7,49,95.6
City University of Hong Kong,70,67.7,122,59.6,356,27.3,99,86.6,9,99.9,17,100,2,100,570,17.4,269,29.5,136,82.1
Université Paris-Saclay,71,67.6,128,58.9,13,99.1,25,99.8,294,45.8,416,39.1,244,60.8,17,98.7,224,34.3,=182,73.6
The University of Western Australia,72,66.9,138,56.2,200,44.6,701+,16.5,23,98.9,29,100,34,99.8,83,90,82,66,=204,70.1
Brown University,73,66.4,131,58.3,221,42.4,145,77.8,89,85.9,212,84.5,279,52,258,58.3,59,74.8,=201,70.4
KTH Royal Institute of Technology,74,66.4,181,45.7,162,51.1,201,66.2,74,90.2,162,93.2,217,68.1,142,80.7,108,56.9,=44,96.1
University of Leeds,75,65.5,89,70.3,77,76.7,421,37.3,320,42.3,208,85.2,118,90,16,98.7,193,37.8,88,90.9
University of Glasgow,76,65.2,77,76.3,101,70.7,377,41.7,423,31.8,143,96,41,99.5,80,90,306,26.7,11,99.5
Yonsei University,77,65.2,72,80,31,96.3,97,87.4,385,36.2,594,19.6,298,49.7,498,25,69,70.9,=377,38.1
