university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
1,83,63.1,76,77.5,126.0,63.0,540.0,28.4,189.0,62.9,560.0,23.4,449.0,26.8,36.0,96.6,145.0,47.5,52.0,95.1
2,168,49.4,194,43.5,275.0,35.3,351.0,45.0,342.0,40.3,192.0,88.3,171.0,78.2,150.0,79.2,421.0,19.8,26.0,97.8
3,314,33.5,246,35.1,397.0,24.4,514.0,30.5,533.0,21.6,409.0,40.5,667.0,12.7,205.0,68.5,122.0,52.2,239.0,62.5
4,697,,601,12.3,601.0,7.6,647.0,21.0,471.0,25.8,701.0,6.0,698.0,10.8,446.0,32.1,417.0,20.0,428.0,31.3
5,318,33.4,311,28.3,440.0,21.1,302.0,52.3,417.0,32.4,505.0,27.2,701.0,4.3,227.0,62.9,291.0,27.8,163.0,77.7
6,279,36.9,435,20.1,198.0,44.7,155.0,76.8,565.0,19.2,215.0,84.2,502.0,22.8,283.0,55.0,198.0,37.0,305.0,50.6
7,935,,601,12.1,456.0,19.9,639.0,21.3,701.0,2.1,452.0,35.2,679.0,12.0,701.0,1.0,694.0,12.5,701.0,5.9
8,22,86.1,25,98.1,26.0,96.9,176.0,72.4,216.0,58.7,100.0,98.8,33.0,99.9,12.0,99.6,141.0,48.1,6.0,99.7
9,1011,,601,6.4,518.0,16.5,701.0,7.3,701.0,2.2,446.0,36.2,473.0,25.0,701.0,1.3,701.0,10.9,701.0,3.1
10,575,20.7,382,22.8,172.0,49.8,408.0,38.7,701.0,4.3,701.0,1.8,701.0,10.3,676.0,9.7,701.0,11.5,701.0,2.1
11,1189,,601,7.2,601.0,2.5,701.0,10.2,528.0,22.0,701.0,4.7,701.0,4.0,701.0,5.8,701.0,7.7,539.0,20.7
12,1137,,601,9.8,447.0,20.8,701.0,12.3,701.0,2.7,701.0,8.3,701.0,1.3,701.0,1.7,701.0,9.2,701.0,1.7
13,283,36.5,351,25.0,240.0,39.4,701.0,3.1,206.0,59.9,591.0,20.0,701.0,7.8,69.0,92.0,132.0,50.1,339.0,44.1
14,466,24.8,389,22.6,601.0,12.7,281.0,54.5,641.0,14.8,418.0,38.5,594.0,16.2,193.0,70.2,701.0,10.4,552.0,19.0
15,1472,,601,4.0,601.0,1.7,701.0,4.5,701.0,1.8,701.0,3.7,701.0,1.5,701.0,1.0,701.0,8.2,701.0,1.0
16,702,,601,10.0,601.0,3.7,110.0,84.4,701.0,1.4,701.0,6.7,212.0,69.9,701.0,1.0,701.0,7.6,701.0,6.1
17,1313,,601,8.0,601.0,13.0,701.0,3.8,701.0,3.4,701.0,9.0,701.0,8.0,701.0,3.0,701.0,6.2,701.0,1.1
18,405,27.6,357,24.2,131.0,60.4,701.0,12.1,674.0,13.3,701.0,7.3,569.0,18.3,398.0,37.2,365.0,23.0,232.0,63.1
19,400,28.0,318,27.3,308.0,31.9,82.0,90.7,701.0,1.9,701.0,6.3,597.0,16.1,191.0,71.1,639.0,13.4,701.0,5.1
20,370,30.0,500,17.8,421.0,22.5,701.0,7.8,72.0,91.2,701.0,1.3,701.0,2.2,701.0,3.6,701.0,10.5,471.0,27.6
21,104,59.7,130,58.7,153.0,52.3,278.0,54.7,289.0,46.9,218.0,84.0,69.0,97.5,38.0,96.1,332.0,24.9,169.0,76.3
22,604,,601,9.8,513.0,16.8,657.0,20.4,701.0,1.9,3.0,100.0,8.0,100.0,701.0,1.0,195.0,37.3,701.0,1.0
23,1357,,601,9.1,601.0,2.4,701.0,8.9,701.0,3.1,701.0,5.4,701.0,1.5,701.0,4.3,701.0,8.1,701.0,4.4
