university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
42,1284,,501,5.7,501,3.0,601,3.3,601,9.0,601.0,6.9,601.0,2.1,601.0,25.9,601.0,4.3,,
43,550,,501,15.7,231,40.3,601,2.3,304,44.5,466.0,30.8,495.0,22.8,601.0,29.1,288.0,44.5,,
44,736,,501,12.9,501,9.0,551,27.5,536,21.2,601.0,15.7,601.0,4.4,601.0,57.0,601.0,17.0,,
45,1310,,501,9.6,501,3.0,601,7.3,601,3.7,,,,,601.0,22.5,601.0,5.5,,
46,643,,327,26.0,501,8.8,601,21.0,601,7.2,601.0,7.0,344.0,40.2,471.0,68.9,601.0,11.0,,
47,828,,450,19.1,284,34.3,601,11.5,601,4.1,601.0,2.2,601.0,3.0,601.0,13.2,117.0,76.3,,
48,1043,,501,5.9,501,9.8,601,20.6,601,3.5,601.0,8.2,601.0,1.8,601.0,21.3,601.0,19.4,,
49,617,,394,21.2,264,36.4,601,16.7,601,10.4,460.0,31.4,408.0,32.8,437.0,72.2,601.0,3.0,,
50,102,58.2,105,64.8,162,51.0,559,27.1,153,68.7,204.0,84.7,198.0,70.2,155.0,90.2,488.0,25.0,,
51,424,27.3,353,23.9,501,8.8,601,21.8,204,59.3,601.0,6.1,601.0,3.8,551.0,61.6,510.0,23.7,,
52,54,73.6,130,57.3,328,29.4,93,88.6,25,98.1,16.0,100.0,15.0,100.0,601.0,55.1,198.0,57.2,,
53,70,67.9,70,79.6,35,94.9,200,67.8,355,39.4,388.0,43.6,272.0,53.0,126.0,91.8,310.0,41.9,,
54,588,,501,12.8,501,8.6,601,11.0,196,61.0,601.0,4.6,601.0,12.3,446.0,71.2,601.0,3.1,,
55,1119,,501,6.1,501,9.9,601,18.7,601,1.5,601.0,5.5,601.0,2.4,601.0,11.3,601.0,16.2,,
56,711,,501,14.6,501,4.5,601,10.9,328,42.5,,,601.0,1.1,601.0,51.3,537.0,22.6,,
57,1008,,501,10.3,501,17.1,601,17.8,601,9.9,601.0,9.8,601.0,11.0,601.0,36.8,601.0,16.6,,
58,119,55.8,210,40.1,501,15.3,22,99.9,221,55.6,212.0,82.4,258.0,55.1,243.0,84.9,132.0,71.0,,
59,312,34.1,293,29.2,415,23.0,601,11.3,156,68.3,292.0,63.7,601.0,16.0,334.0,79.0,398.0,31.3,,
60,628,,384,21.7,159,52.1,601,18.8,601,7.6,601.0,7.8,601.0,6.0,601.0,25.9,143.0,69.1,,
61,783,,496,17.0,132,58.5,601,4.0,601,5.2,420.0,37.8,601.0,4.8,601.0,14.1,601.0,17.6,,
62,958,,501,7.6,221,42.9,601,15.4,601,4.7,601.0,1.1,601.0,4.3,601.0,38.2,368.0,34.8,,
63,411,27.8,501,16.2,501,4.2,601,4.6,89,85.5,386.0,43.8,601.0,10.6,358.0,77.3,601.0,2.9,,
64,158,49.3,140,55.1,115,64.9,321,48.5,509,23.6,376.0,46.1,180.0,75.0,268.0,83.2,397.0,31.6,,
65,877,,501,9.7,457,20.2,601,9.7,601,6.5,313.0,58.2,289.0,50.6,365.0,76.8,601.0,10.3,,
66,1292,,501,5.1,501,3.7,601,16.0,601,1.3,601.0,3.3,601.0,3.1,601.0,1.8,589.0,20.0,,
67,791,,501,14.6,395,24.3,460,33.4,601,1.3,544.0,23.0,601.0,1.6,601.0,13.7,601.0,8.5,,
68,258,38.1,451,19.1,501,9.8,56,96.5,601,8.5,43.0,100.0,217.0,65.4,601.0,36.4,601.0,1.0,,
69,650,,501,8.0,501,5.0,221,65.2,601,14.0,601.0,13.3,601.0,5.2,397.0,74.9,601.0,17.8,,
70,845,,501,3.5,501,3.5,601,9.5,601,1.3,217.0,80.7,1.0,100.0,601.0,8.4,601.0,4.6,,
71,670,,501,6.5,501,5.0,161,75.0,601,1.0,601.0,3.5,601.0,11.6,601.0,1.0,165.0,65.6,,
72,242,39.0,237,36.1,167,50.5,601,21.2,334,41.9,218.0,80.6,265.0,54.2,236.0,85.2,366.0,35.3,,
73,1140,,501,12.3,501,2.8,601,21.7,601,3.8,601.0,1.8,601.0,1.3,601.0,42.5,601.0,6.8,,
74,605,,264,31.9,365,26.1,601,16.0,601,3.8,601.0,4.2,601.0,4.2,556.0,61.1,496.0,24.6,,
75,779,,501,4.1,501,3.9,294,53.4,601,1.8,601.0,5.4,284.0,51.5,601.0,11.0,601.0,4.3,,
76,229,40.4,255,33.2,333,29.1,601,20.9,229,55.0,153.0,93.3,139.0,83.9,150.0,90.4,424.0,29.6,,
77,233,39.9,266,31.7,347,27.6,448,34.5,374,37.3,86.0,99.3,46.0,99.0,71.0,95.1,601.0,11.4,,
78,484,24.8,501,14.7,501,13.8,165,73.5,601,1.1,485.0,29.2,539.0,19.9,601.0,5.8,601.0,15.8,,
79,684,,501,5.1,501,2.3,601,16.8,180,64.0,601.0,7.5,601.0,2.9,601.0,44.4,601.0,8.3,,
80,798,,501,11.9,501,2.8,601,8.3,331,42.2,601.0,2.1,564.0,17.7,601.0,57.5,601.0,4.0,,
81,1285,,501,5.0,501,5.6,601,3.7,601,6.3,601.0,7.7,601.0,9.0,601.0,17.5,498.0,24.5,,
82,535,,501,6.7,501,15.2,601,2.7,66,89.7,,,601.0,1.5,601.0,48.7,485.0,25.4,,
83,438,26.5,313,27.0,226,41.4,601,13.0,601,9.2,275.0,67.3,193.0,71.9,601.0,52.1,389.0,32.7,,
84,734,,501,8.1,501,6.4,601,7.9,504,23.8,338.0,53.9,137.0,84.3,595.0,57.9,517.0,23.5,,
85,174,46.5,501,8.4,147,55.3,53,97.4,219,56.7,431.0,36.3,79.0,95.0,601.0,43.8,68.0,90.4,,
86,473,25.1,501,9.0,501,3.1,601,5.1,137,71.7,187.0,87.6,452.0,27.4,254.0,84.2,196.0,57.4,,
87,232,40.0,288,29.9,501,13.5,548,27.6,102,82.4,261.0,69.8,547.0,19.4,141.0,90.9,601.0,6.5,,
88,275,36.9,400,20.8,241,38.8,601,6.1,106,81.4,295.0,63.6,174.0,76.5,285.0,82.2,346.0,37.5,,
89,264,37.6,259,32.6,179,49.3,601,17.4,114,79.0,601.0,2.3,601.0,1.2,601.0,25.9,124.0,73.8,,
90,46,77.4,61,82.7,54,90.2,269,57.7,31,97.1,400.0,40.9,357.0,38.4,412.0,73.9,194.0,57.8,,
91,583,,501,3.5,501,2.3,601,20.1,120,76.8,601.0,1.3,601.0,1.5,601.0,20.4,600.0,19.5,,
92,124,54.6,193,42.8,501,17.0,52,97.4,275,48.2,349.0,50.5,175.0,76.4,43.0,96.9,601.0,18.8,,
93,802,,501,6.1,501,11.2,601,21.6,541,21.0,320.0,57.4,601.0,9.4,601.0,44.4,601.0,10.5,,
94,862,,501,8.0,482,19.1,601,22.6,601,9.8,601.0,5.8,601.0,4.0,601.0,29.5,566.0,21.0,,
95,151,50.6,89,69.4,148,55.3,596,24.2,601,14.1,96.0,98.9,112.0,89.2,48.0,96.6,126.0,73.0,,
96,902,,501,7.6,501,4.4,370,42.1,601,2.3,601.0,10.8,559.0,18.1,511.0,64.9,601.0,4.8,,
97,967,,501,11.2,501,4.0,417,37.1,601,3.2,601.0,3.1,601.0,10.4,570.0,59.8,601.0,14.5,,
98,51,74.8,52,86.6,83,75.6,601,20.2,62,90.8,36.0,100.0,19.0,100.0,85.0,94.6,311.0,41.8,,
99,1046,,501,6.1,501,9.7,601,17.1,601,6.6,601.0,8.5,601.0,15.6,601.0,34.8,298.0,42.9,,
100,529,,250,34.2,308,31.9,601,4.5,460,27.2,601.0,1.5,601.0,1.9,451.0,70.8,57.0,92.0,,
101,1369,,501,4.0,501,5.0,601,14.0,601,1.4,601.0,1.1,,,601.0,17.4,315.0,41.4,,
102,659,,488,17.6,203,46.9,532,28.7,601,1.7,601.0,3.4,601.0,2.9,601.0,21.9,52.0,92.9,,
103,216,42.2,158,49.3,433,21.5,229,64.1,576,18.7,359.0,48.4,484.0,23.6,111.0,92.7,601.0,15.4,,
104,447,26.3,482,17.9,501,10.2,601,23.8,601,16.4,49.0,100.0,33.0,99.7,601.0,17.9,146.0,68.6,,
105,23,85.3,7,100.0,9,99.7,78,91.9,128,73.3,601.0,10.4,448.0,27.8,174.0,89.5,33.0,97.8,,
106,315,34.1,252,33.9,501,17.5,231,63.5,572,19.2,601.0,15.0,457.0,26.5,557.0,61.0,601.0,13.0,,
107,1161,,501,5.8,501,5.3,601,22.1,601,2.2,601.0,4.8,601.0,6.0,601.0,22.1,573.0,20.7,,
108,863,,501,8.0,501,11.5,326,47.7,601,1.7,601.0,1.7,601.0,1.8,601.0,15.8,601.0,13.2,,
109,1354,,501,4.5,501,2.1,601,14.6,601,8.6,601.0,3.3,601.0,2.0,601.0,25.2,601.0,4.1,,
110,953,,501,14.2,373,25.7,601,2.9,475,26.0,601.0,14.7,601.0,4.8,356.0,77.4,601.0,11.8,,
111,1112,,501,5.5,501,8.5,601,6.4,601,16.0,443.0,34.7,601.0,1.8,135.0,91.3,536.0,22.7,,
112,1099,,501,8.5,501,5.3,601,6.5,601,8.9,367.0,47.6,583.0,16.9,601.0,30.8,39.0,96.3,,
113,1342,,501,5.9,501,14.5,601,12.7,601,2.3,601.0,7.7,601.0,2.2,601.0,16.3,601.0,5.1,,
114,1068,,501,3.0,501,4.4,578,25.5,601,8.9,601.0,5.5,601.0,2.9,601.0,21.2,540.0,22.5,,
115,374,29.9,501,14.9,501,16.1,134,80.5,601,11.2,263.0,68.9,601.0,8.2,307.0,80.9,524.0,23.1,,
116,518,,269,31.2,211,44.7,471,32.6,601,1.8,,,,,601.0,33.5,239.0,51.7,,
117,807,,412,20.4,488,18.6,601,9.5,601,1.9,509.0,26.8,601.0,6.3,435.0,72.5,395.0,31.8,,
