university_id,employer reputation rank,employer reputation score
302,395,24.5
512,396,24.4
638,396,24.4
725,396,24.4
520,396,24.4
622,400,24.2
1046,401,24.0
1111,402,23.8
453,402,23.8
380,404,23.8
59,406,23.8
131,407,23.4
580,408,23.1
653,408,23.1
695,410,22.9
862,411,22.9
482,412,22.8
182,413,22.7
1130,413,22.7
158,415,22.6
297,416,22.5
1041,416,22.5
279,418,22.4
1096,419,22.4
183,420,22.2
1009,421,22.1
594,421,22.1
266,423,22.1
778,424,21.9
33,425,21.7
693,426,21.6
317,428,21.6
522,429,21.5
991,431,21.4
836,431,21.4
610,433,21.4
243,434,21.2
589,435,21.0
784,436,20.9
1108,437,20.9
718,437,20.9
1145,439,20.9
824,440,20.8
362,441,20.7
544,442,20.6
613,443,20.6
528,444,20.6
178,445,20.4
730,446,20.3
65,446,20.4
846,448,20.3
974,448,20.3
747,450,20.2
103,451,20.1
529,451,20.1
433,453,20.1
430,453,20.1
179,455,20.0
329,455,20.0
565,457,20.0
593,457,20.0
1073,459,19.8
1139,459,19.8
928,461,19.6
980,462,19.3
335,462,19.3
932,462,19.3
449,465,19.3
435,466,19.3
20,466,19.3
646,468,19.2
959,469,19.2
94,470,19.1
1052,471,19.0
823,472,19.0
1034,473,19.0
268,474,18.9
742,475,18.8
113,475,18.8
211,475,18.8
1144,478,18.8
166,479,18.7
414,480,18.7
1127,481,18.6
792,482,18.4
7,482,18.4
399,484,18.3
220,486,18.3
146,487,18.2
614,488,18.2
1128,488,18.2
746,490,18.1
1121,491,18.1
369,492,18.1
737,493,18.0
651,493,18.0
87,495,17.9
770,496,17.9
1038,497,17.8
865,498,17.8
1116,499,17.8
349,500,17.7
510,500,17.7
