university_id,citations per faculty rank,citations per faculty score
1,121,74.4
2,278,50.2
3,392,35.2
4,445,29.4
5,357,38.5
6,450,29.3
7,601,2.6
8,145,69.5
9,601,2.0
10,601,5.9
11,457,28.7
12,601,2.4
13,265,51.7
14,553,20.3
15,601,1.8
16,601,1.4
17,601,3.0
18,601,11.2
19,601,1.9
20,62,88.8
21,317,44.5
22,601,2.2
23,601,3.3
24,601,3.5
25,309,45.7
26,439,30.2
27,89,82.6
28,340,41.0
29,601,1.6
30,384,36.1
31,601,3.0
32,83,85.3
33,112,75.9
34,601,3.2
35,601,12.7
36,579,17.7
37,601,6.7
38,601,1.9
39,601,1.6
40,252,53.0
41,601,13.8
42,601,7.6
43,170,64.6
44,601,11.7
45,601,3.5
46,601,8.5
47,601,3.7
48,601,3.0
49,601,10.3
50,162,65.9
51,221,57.7
52,31,96.5
53,285,49.6
54,375,37.0
55,601,1.5
56,296,47.2
57,601,11.5
58,195,61.0
59,151,68.7
60,601,8.2
61,601,5.3
62,601,4.0
63,39,95.1
64,430,30.7
65,601,7.2
66,601,1.2
67,601,1.3
68,601,7.6
69,601,16.3
70,601,1.3
71,601,1.0
72,301,46.8
73,601,3.8
74,601,4.0
75,601,1.7
76,183,62.9
77,348,40.0
78,601,1.0
79,172,64.2
80,234,55.6
81,601,5.5
82,71,87.5
83,601,10.3
84,528,22.5
85,442,29.8
86,94,81.2
87,86,83.9
88,88,83.6
89,93,81.6
90,36,95.6
91,163,65.8
92,250,53.4
93,565,19.4
94,601,10.9
95,583,17.2
96,601,1.9
97,601,3.3
98,60,89.4
99,601,7.5
100,500,24.8
101,601,1.4
102,601,1.7
103,499,24.8
104,601,15.4
105,103,79.0
106,540,21.4
107,601,2.2
108,601,1.7
109,601,8.5
110,480,26.5
111,601,6.6
112,601,11.6
113,601,2.5
114,601,8.1
115,601,13.3
116,601,1.8
117,601,1.9
118,601,1.8
119,190,61.6
120,601,15.2
121,601,1.1
122,601,1.5
123,420,31.7
124,601,6.4
125,366,37.8
126,90,82.3
127,110,77.5
128,601,10.8
129,264,51.8
130,601,13.2
131,284,49.6
132,601,1.7
133,210,59.0
134,601,2.5
135,601,2.7
136,601,9.6
137,287,49.3
138,140,70.0
139,17,99.7
140,601,2.3
141,601,3.6
142,213,58.7
143,601,1.4
144,65,88.1
145,267,51.6
146,379,36.4
147,465,27.7
148,187,61.8
149,601,1.5
150,144,69.7
151,601,6.0
152,179,63.7
153,601,10.2
154,56,90.1
155,316,44.5
156,538,21.5
157,601,11.4
158,601,1.5
159,601,6.2
160,254,52.9
161,239,55.1
162,315,44.7
163,601,10.2
164,519,23.2
165,53,90.4
166,470,27.4
167,601,5.2
168,601,3.2
169,601,11.0
170,601,3.8
171,390,35.3
172,601,2.2
173,601,1.2
174,601,1.8
175,601,6.7
176,468,27.6
177,178,63.8
178,601,1.3
179,576,18.0
180,601,1.7
181,601,3.0
182,255,52.8
183,601,2.1
184,493,25.2
185,601,6.4
186,601,1.6
187,337,41.1
188,487,26.1
189,601,6.7
190,333,41.7
191,601,9.0
192,382,36.2
193,556,20.2
194,601,7.1
195,601,1.0
196,70,87.8
197,249,53.4
198,601,1.2
199,601,8.2
200,601,16.0
201,214,58.5
202,64,88.1
203,601,4.9
204,601,1.3
205,562,19.5
206,601,2.5
207,601,1.3
208,601,11.4
209,97,80.6
210,564,19.5
211,601,1.3
212,168,65.1
213,490,25.5
214,601,6.9
215,601,15.8
216,601,2.3
217,601,3.2
218,601,9.2
219,35,95.6
220,297,47.2
221,601,11.9
222,601,1.3
223,549,20.5
224,555,20.2
225,601,4.8
226,601,3.1
227,68,87.9
228,397,34.4
229,270,51.2
230,601,1.2
231,601,6.4
232,601,6.8
233,88,83.2
234,601,16.0
235,601,11.8
236,185,62.3
237,601,1.9
238,574,18.0
239,133,71.0
240,208,59.3
241,28,97.2
242,193,61.3
243,601,3.8
244,601,3.7
245,434,30.4
246,601,2.7
247,601,5.8
248,524,22.9
249,21,98.9
250,601,7.7
251,177,63.8
252,601,10.3
253,580,17.6
254,464,27.7
255,148,69.1
256,601,1.7
257,119,75.0
258,601,1.2
259,3,100.0
260,601,9.7
261,601,14.7
262,601,1.6
263,443,29.7
264,571,18.3
265,293,47.7
266,601,3.2
267,601,5.4
268,258,52.6
269,601,15.8
270,601,11.2
271,601,1.2
272,601,7.4
273,601,11.3
274,601,5.7
275,150,68.8
276,601,12.5
277,601,6.3
278,581,17.4
279,601,2.1
280,601,3.9
281,601,11.5
282,601,9.0
283,601,1.8
284,389,35.6
285,59,89.5
286,601,2.3
287,346,40.2
288,467,27.6
289,383,36.2
290,290,48.5
291,286,49.5
292,415,32.0
293,601,1.0
294,554,20.3
295,48,92.1
296,4,100.0
297,441,30.0
298,601,8.5
299,491,25.3
300,505,24.2
301,601,3.9
302,496,25.0
303,115,75.3
304,601,2.6
305,54,90.1
306,601,5.5
307,596,16.7
308,557,20.0
309,288,49.3
310,229,55.8
311,427,30.9
312,601,7.7
313,40,94.9
314,558,19.8
315,601,3.9
316,601,15.1
317,373,37.2
318,592,16.9
319,601,1.3
320,131,71.1
321,354,39.0
322,72,87.2
323,601,2.7
324,197,61.0
325,273,51.0
326,303,46.7
327,601,1.1
328,601,2.9
329,393,35.1
330,512,23.7
331,27,97.4
332,541,21.4
333,601,4.9
334,408,32.7
335,601,2.8
336,601,6.2
337,206,59.9
338,209,59.1
339,38,95.4
340,601,14.3
341,29,96.9
342,601,1.2
343,73,87.2
344,601,3.4
345,601,7.3
346,45,93.3
347,517,23.3
348,601,7.1
349,601,4.3
350,601,12.7
351,601,5.8
352,601,10.6
353,497,24.9
354,601,9.4
355,51,90.5
356,601,12.8
357,601,2.6
358,109,77.6
359,69,87.8
360,531,22.3
361,601,8.7
362,601,1.1
363,153,67.1
364,601,1.3
365,601,4.6
366,601,11.0
367,601,2.7
368,601,4.8
369,601,12.9
370,588,16.9
371,12,99.9
372,601,16.3
373,516,23.4
374,446,29.4
375,601,2.7
376,601,1.8
377,601,2.0
378,99,79.3
379,601,12.4
380,311,45.5
381,143,69.7
382,601,2.0
383,601,1.9
384,66,88.0
385,536,21.8
386,601,1.3
387,601,11.5
388,601,3.2
389,601,3.4
390,364,38.0
391,601,9.0
392,601,6.0
393,514,23.5
394,461,28.0
395,601,2.0
396,601,1.8
397,601,1.5
398,601,15.2
399,601,4.2
400,601,1.4
401,277,50.3
402,44,93.5
403,347,40.1
404,601,14.7
405,601,1.2
406,601,2.3
407,601,8.2
408,601,1.1
409,33,96.0
410,601,1.0
411,601,9.7
412,601,7.2
413,263,51.8
414,138,70.1
415,117,75.0
416,437,30.2
417,81,85.4
418,601,2.2
419,601,1.3
420,601,4.3
421,211,58.9
422,325,43.4
423,61,89.1
424,601,5.1
425,601,1.0
426,100,79.3
427,498,24.8
428,601,6.2
429,492,25.2
430,171,64.2
431,601,15.0
432,601,1.4
433,601,4.0
434,245,54.0
435,466,27.7
436,601,1.5
437,601,9.5
438,601,5.4
439,104,78.7
440,601,5.0
441,454,29.1
442,428,30.8
443,166,65.3
444,601,2.6
445,231,55.8
446,601,14.9
447,601,6.6
448,452,29.1
449,601,1.6
450,421,31.4
451,182,63.3
452,370,37.5
453,266,51.6
454,601,5.1
455,113,75.4
456,601,2.7
457,601,1.1
458,282,49.9
459,601,1.6
460,601,8.9
461,335,41.3
462,136,70.5
463,601,1.2
464,601,10.3
465,122,74.0
466,601,7.9
467,79,85.9
468,601,1.1
469,7,100.0
470,601,3.4
471,84,84.6
472,477,26.7
473,560,19.6
474,601,1.1
475,601,1.7
476,601,4.9
477,601,4.2
478,75,86.9
479,129,71.8
480,247,53.9
481,63,88.4
482,601,5.5
483,226,56.1
484,601,1.8
485,236,55.2
486,578,17.7
487,601,4.0
488,601,5.0
489,203,60.2
490,409,32.6
491,601,3.9
492,601,15.4
493,601,2.1
494,367,37.7
495,601,3.9
496,601,2.0
497,356,38.7
498,302,46.8
499,601,7.0
500,188,61.7
501,601,2.6
502,107,78.2
