university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
59,301,34.7,276,30.4,406,23.8,601,14.3,151,68.7,281.0,51.5,592.0,16.5,,,,,,
60,625,,365,22.9,221,43.1,601,20.4,601,8.2,601.0,2.5,601.0,6.3,,,,,,
61,781,,501,14.9,105,65.7,601,3.6,601,5.3,428.0,17.6,601.0,4.9,,,,,,
62,949,,501,6.8,280,33.7,601,19.5,601,4.0,601.0,1.0,601.0,5.6,,,,,,
63,379,29.4,501,16.5,501,6.6,601,4.4,39,95.1,362.0,30.1,601.0,11.6,,,,,,
64,160,49.3,136,55.7,99,68.6,363,43.3,430,30.7,393.0,23.6,154.0,80.3,,,,,,
65,867,,501,9.9,446,20.4,601,9.7,601,7.2,290.0,49.2,251.0,56.6,,,,,,
66,1245,,501,3.8,501,3.3,601,17.4,601,1.2,601.0,1.4,601.0,3.3,,,,,,
67,935,,501,12.9,501,17.6,509,30.2,601,1.3,591.0,6.2,601.0,1.6,,,,,,
68,251,38.6,421,20.0,501,12.3,52,96.8,601,7.6,46.0,100.0,210.0,65.6,,,,,,
69,520,,501,9.8,501,5.4,165,74.5,601,16.3,601.0,5.2,601.0,7.3,,,,,,
70,839,,501,3.6,501,3.6,601,8.6,601,1.3,119.0,97.8,18.0,100.0,,,,,,
71,766,,501,5.1,501,4.5,226,64.5,601,1.0,601.0,1.2,601.0,8.6,,,,,,
72,236,39.7,240,34.8,217,44.2,575,25.4,301,46.8,199.0,79.0,252.0,56.3,,,,,,
73,927,,501,12.6,501,3.1,601,23.4,601,3.8,601.0,1.1,601.0,1.4,,,,,,
74,611,,270,31.0,326,29.5,601,14.9,601,4.0,601.0,1.6,601.0,4.1,,,,,,
75,729,,501,4.5,501,3.6,268,57.3,601,1.7,601.0,1.8,275.0,52.7,,,,,,
76,203,43.5,247,33.8,278,34.1,597,23.8,183,62.9,148.0,93.8,126.0,87.7,,,,,,
77,218,41.8,283,30.1,301,31.7,369,42.5,348,40.0,68.0,100.0,66.0,97.4,,,,,,
78,555,,501,12.5,501,10.4,198,68.6,601,1.0,465.0,14.4,536.0,20.5,,,,,,
79,630,,501,5.9,501,2.5,601,18.2,172,64.2,601.0,2.4,601.0,3.1,,,,,,
80,649,,501,11.7,501,3.2,601,10.4,234,55.6,601.0,1.4,518.0,21.8,,,,,,
81,1239,,501,5.2,501,5.2,601,3.4,601,5.5,601.0,2.5,601.0,11.0,,,,,,
82,545,,501,6.4,501,12.6,601,2.7,71,87.5,,,601.0,1.5,,,,,,
83,429,26.9,317,26.6,155,53.1,601,13.9,601,10.3,271.0,55.4,211.0,65.4,,,,,,
84,740,,501,9.1,501,8.1,601,9.9,528,22.5,375.0,27.8,161.0,78.5,,,,,,
85,246,39.1,501,8.6,197,46.8,56,95.9,442,29.8,447.0,15.7,54.0,98.4,,,,,,
86,441,26.3,501,9.0,501,4.2,601,5.5,94,81.2,220.0,72.7,484.0,24.3,,,,,,
87,221,41.1,279,30.3,495,17.9,455,34.3,86,83.9,308.0,44.3,516.0,22.2,,,,,,
88,271,36.9,416,20.1,164,52.1,601,5.8,88,83.6,325.0,40.7,187.0,70.8,,,,,,
89,280,36.4,284,30.1,230,41.1,601,18.3,93,81.6,601.0,1.3,601.0,1.2,,,,,,
90,51,75.6,63,83.4,59,86.7,276,55.2,36,95.6,387.0,25.0,379.0,36.3,,,,,,
91,593,,501,3.7,501,2.2,583,24.9,163,65.8,601.0,1.1,601.0,1.5,,,,,,
92,125,55.8,191,42.8,393,24.9,47,97.9,250,53.4,342.0,35.7,159.0,78.5,,,,,,
93,797,,501,5.9,501,15.4,601,23.3,565,19.4,307.0,44.4,601.0,9.9,,,,,,
94,858,,501,8.2,470,19.1,596,23.8,601,10.9,601.0,1.6,601.0,4.9,,,,,,
95,153,50.4,91,70.2,191,47.4,601,22.6,583,17.2,104.0,98.8,109.0,89.9,,,,,,
96,891,,501,7.8,501,4.4,351,44.7,601,1.9,601.0,3.5,556.0,19.1,,,,,,
97,955,,501,10.9,501,4.0,437,35.8,601,3.3,601.0,1.4,601.0,10.9,,,,,,
98,47,76.6,50,88.2,70,80.2,576,25.4,60,89.4,32.0,100.0,19.0,100.0,,,,,,
99,830,,501,6.7,501,10.9,601,20.1,601,7.5,601.0,3.4,467.0,25.8,,,,,,
100,507,,236,35.3,294,32.3,601,5.5,500,24.8,601.0,1.1,601.0,1.8,,,,,,
101,1288,,501,4.1,501,6.3,601,12.6,601,1.4,601.0,1.0,,,,,,,,
102,606,,472,18.0,239,39.7,435,35.9,601,1.7,601.0,1.6,601.0,3.6,,,,,,
103,205,43.2,156,50.5,451,20.1,219,65.1,499,24.8,350.0,33.2,503.0,23.1,,,,,,
104,392,28.5,424,19.9,501,12.8,507,30.4,601,15.4,48.0,100.0,21.0,100.0,,,,,,
105,23,86.2,7,100.0,10,99.6,70,92.4,103,79.0,601.0,3.3,438.0,28.5,,,,,,
106,288,35.6,238,35.2,501,17.1,200,68.5,540,21.4,601.0,5.6,440.0,28.4,,,,,,
