university_id,international Research Network rank,international Research Network score
1,44.0,96.8
2,187.0,88.9
3,210.0,87.1
4,317.0,80.4
5,192.0,88.4
6,297.0,81.7
7,601.0,13.7
8,15.0,98.7
9,601.0,26.7
10,527.0,63.5
11,601.0,50.0
12,601.0,18.2
13,218.0,86.6
14,114.0,92.5
15,601.0,8.3
16,601.0,12.4
17,601.0,26.0
18,496.0,66.7
19,455.0,70.6
20,601.0,35.6
21,79.0,94.7
22,601.0,5.8
23,601.0,50.1
24,591.0,58.0
25,117.0,92.4
26,601.0,55.1
27,186.0,88.9
28,264.0,83.5
29,601.0,12.0
30,224.0,86.0
31,601.0,32.1
32,461.0,70.1
33,433.0,72.5
34,601.0,8.2
35,384.0,75.4
36,447.0,71.2
37,601.0,8.0
38,601.0,24.2
39,601.0,43.9
40,601.0,35.8
41,601.0,13.4
42,601.0,25.9
43,601.0,29.1
44,601.0,57.0
45,601.0,22.5
46,471.0,68.9
47,601.0,13.2
48,601.0,21.3
49,437.0,72.2
50,155.0,90.2
51,551.0,61.6
52,601.0,55.1
53,126.0,91.8
54,446.0,71.2
55,601.0,11.3
56,601.0,51.3
57,601.0,36.8
58,243.0,84.9
59,334.0,79.0
60,601.0,25.9
61,601.0,14.1
62,601.0,38.2
63,358.0,77.3
64,268.0,83.2
65,365.0,76.8
66,601.0,1.8
67,601.0,13.7
68,601.0,36.4
69,397.0,74.9
70,601.0,8.4
71,601.0,1.0
72,236.0,85.2
73,601.0,42.5
74,556.0,61.1
75,601.0,11.0
76,150.0,90.4
77,71.0,95.1
78,601.0,5.8
79,601.0,44.4
80,601.0,57.5
81,601.0,17.5
82,601.0,48.7
83,601.0,52.1
84,595.0,57.9
85,601.0,43.8
86,254.0,84.2
87,141.0,90.9
88,285.0,82.2
89,601.0,25.9
90,412.0,73.9
91,601.0,20.4
92,43.0,96.9
93,601.0,44.4
94,601.0,29.5
95,48.0,96.6
96,511.0,64.9
97,570.0,59.8
98,85.0,94.6
99,601.0,34.8
100,451.0,70.8
101,601.0,17.4
102,601.0,21.9
103,111.0,92.7
104,601.0,17.9
105,174.0,89.5
106,557.0,61.0
107,601.0,22.1
108,601.0,15.8
109,601.0,25.2
110,356.0,77.4
111,135.0,91.3
112,601.0,30.8
113,601.0,16.3
114,601.0,21.2
115,307.0,80.9
116,601.0,33.5
117,435.0,72.5
118,601.0,5.0
119,568.0,60.0
120,530.0,63.1
121,601.0,21.0
122,601.0,36.9
123,322.0,80.0
124,510.0,65.0
125,601.0,27.5
126,131.0,91.4
127,180.0,89.2
128,601.0,41.1
129,74.0,95.1
130,601.0,40.6
131,488.0,67.6
132,601.0,34.5
133,162.0,90.0
134,601.0,27.6
135,601.0,14.7
136,601.0,21.1
137,54.0,96.3
138,601.0,42.2
139,601.0,30.9
140,466.0,69.3
141,601.0,27.6
142,393.0,75.0
143,601.0,46.2
144,601.0,55.2
145,221.0,86.5
146,401.0,74.8
147,396.0,74.9
148,601.0,53.6
149,601.0,4.9
150,265.0,83.4
151,262.0,83.6
152,212.0,86.9
153,601.0,37.3
154,601.0,53.7
155,601.0,56.8
156,300.0,81.2
157,59.0,96.0
158,601.0,19.2
159,424.0,73.0
160,601.0,46.2
161,4.0,99.7
162,601.0,42.9
163,363.0,77.0
164,87.0,94.6
165,601.0,56.2
166,601.0,14.3
167,601.0,16.2
168,601.0,31.0
169,576.0,59.3
170,439.0,71.8
171,601.0,36.3
172,601.0,1.8
173,601.0,10.3
174,601.0,15.1
175,500.0,66.5
176,139.0,91.1
177,409.0,74.2
178,601.0,5.4
179,601.0,24.3
180,601.0,42.7
181,601.0,57.4
182,321.0,80.2
183,601.0,40.5
184,115.0,92.5
185,601.0,9.5
186,601.0,15.3
187,486.0,67.6
188,601.0,52.3
189,601.0,19.0
