university_id,citations per faculty rank,citations per faculty score
1,162,67.7
2,270,48.6
3,436,29.4
4,468,26.4
5,382,36.3
6,548,20.8
7,601,2.4
8,149,70.1
9,601,2.2
10,601,4.8
11,521,22.4
12,601,2.5
13,251,51.2
14,591,17.4
15,601,1.8
16,601,1.4
17,601,3.4
18,601,10.9
19,601,1.9
20,47,94.5
21,284,46.9
22,601,2.3
23,601,3.2
24,601,4.4
25,152,68.9
26,496,24.5
27,103,82.2
28,329,42.5
29,601,1.3
30,455,27.6
31,601,3.4
32,36,96.4
33,172,65.8
34,601,3.6
35,601,11.6
36,601,14.7
37,601,4.5
38,601,2.0
39,601,1.8
40,279,47.7
41,601,10.0
42,601,9.0
43,304,44.5
44,536,21.2
45,601,3.7
46,601,7.2
47,601,4.1
48,601,3.5
49,601,10.4
50,153,68.7
51,204,59.3
52,25,98.1
53,355,39.4
54,196,61.0
55,601,1.5
56,328,42.5
57,601,9.9
58,221,55.6
59,156,68.3
60,601,7.6
61,601,5.2
62,601,4.7
63,89,85.5
64,509,23.6
65,601,6.5
66,601,1.3
67,601,1.3
68,601,8.5
69,601,14.0
70,601,1.3
71,601,1.0
72,334,41.9
73,601,3.8
74,601,3.8
75,601,1.8
76,229,55.0
77,374,37.3
78,601,1.1
79,180,64.0
80,331,42.2
81,601,6.3
82,66,89.7
83,601,9.2
84,504,23.8
85,219,56.7
86,137,71.7
87,102,82.4
88,106,81.4
89,114,79.0
90,31,97.1
91,120,76.8
92,275,48.2
93,541,21.0
94,601,9.8
95,601,14.1
96,601,2.3
97,601,3.2
98,62,90.8
99,601,6.6
100,460,27.2
101,601,1.4
102,601,1.7
103,576,18.7
104,601,16.4
105,128,73.3
106,572,19.2
107,601,2.2
108,601,1.7
109,601,8.6
110,475,26.0
111,601,16.0
112,601,8.9
113,601,2.3
114,601,8.9
115,601,11.2
116,601,1.8
117,601,1.9
118,601,1.9
119,218,56.9
120,601,13.3
121,601,1.1
122,601,1.6
123,409,33.4
124,601,5.3
125,342,41.4
126,74,88.0
127,138,71.7
128,601,7.2
129,263,49.7
