university_id,employer reputation rank,employer reputation score
1,97,69.8
2,268,36.1
3,363,26.3
4,501,11.0
5,305,32.1
6,303,32.1
7,456,20.2
8,24,97.2
9,498,18.0
10,133,58.5
11,501,3.2
12,340,28.3
13,273,35.7
14,501,15.6
15,501,2.1
16,501,5.1
17,501,9.9
18,180,49.1
19,299,32.6
20,402,23.9
21,155,53.5
22,484,18.8
23,501,3.0
24,501,6.4
25,501,6.3
26,501,1.8
27,325,30.0
28,501,11.7
29,501,2.0
30,197,47.2
31,501,4.6
32,501,12.6
33,458,20.2
34,501,12.3
35,501,8.2
36,501,14.2
37,501,12.3
38,501,8.6
39,491,18.5
40,100,69.0
41,501,2.3
42,501,3.0
43,231,40.3
44,501,9.0
45,501,3.0
46,501,8.8
47,284,34.3
48,501,9.8
49,264,36.4
50,162,51.0
51,501,8.8
52,328,29.4
53,35,94.9
54,501,8.6
55,501,9.9
56,501,4.5
57,501,17.1
58,501,15.3
59,415,23.0
60,159,52.1
61,132,58.5
62,221,42.9
63,501,4.2
64,115,64.9
65,457,20.2
66,501,3.7
67,395,24.3
68,501,9.8
69,501,5.0
70,501,3.5
71,501,5.0
72,167,50.5
73,501,2.8
74,365,26.1
75,501,3.9
76,333,29.1
77,347,27.6
78,501,13.8
79,501,2.3
80,501,2.8
81,501,5.6
82,501,15.2
83,226,41.4
84,501,6.4
85,147,55.3
86,501,3.1
87,501,13.5
88,241,38.8
89,179,49.3
90,54,90.2
91,501,2.3
92,501,17.0
93,501,11.2
94,482,19.1
95,148,55.3
96,501,4.4
97,501,4.0
98,83,75.6
99,501,9.7
100,308,31.9
101,501,5.0
102,203,46.9
103,433,21.5
104,501,10.2
105,9,99.7
106,501,17.5
107,501,5.3
108,501,11.5
109,501,2.1
110,373,25.7
111,501,8.5
112,501,5.3
113,501,14.5
114,501,4.4
115,501,16.1
116,211,44.7
117,488,18.6
118,501,2.2
119,501,3.0
120,239,39.0
121,501,10.3
122,501,9.1
123,224,41.8
124,184,48.4
125,501,3.4
126,286,34.1
127,131,59.1
128,501,8.3
129,219,43.1
130,501,10.3
131,486,18.7
132,118,63.2
133,234,40.0
134,285,34.2
135,501,8.6
136,501,14.4
137,431,21.6
138,72,79.2
139,98,69.4
140,501,5.4
141,501,6.9
142,44,92.6
143,236,39.7
144,497,18.1
145,501,5.6
146,438,21.1
147,413,23.2
148,501,6.3
149,501,1.6
150,106,67.6
151,501,4.5
152,139,57.2
153,501,5.4
154,369,25.9
155,501,13.0
156,501,9.1
157,280,34.9
158,439,21.0
159,461,20.1
160,501,5.6
161,25,97.0
162,501,3.2
163,379,25.3
164,190,47.7
165,501,3.4
166,501,16.9
167,332,29.2
168,501,5.0
169,501,2.0
170,501,4.1
171,501,6.6
172,501,12.9
173,501,8.8
174,501,5.0
175,229,40.5
176,501,5.6
177,257,37.0
178,501,14.7
179,350,27.4
180,501,2.7
181,195,47.4
182,349,27.5
183,470,19.7
184,501,2.2
185,501,10.3
186,501,5.3
187,237,39.6
188,501,5.0
189,501,3.1
190,501,2.1
191,501,3.5
192,501,4.3
193,501,10.5
194,501,4.6
195,176,49.7
196,17,98.3
197,351,27.4
198,501,4.5
199,501,4.8
200,501,5.3
201,142,56.1
202,10,99.7
203,501,6.3
204,501,10.2
205,258,37.0
206,501,1.6
207,476,19.3
208,174,50.1
209,374,25.7
210,501,15.9
211,453,20.3
212,501,15.2
213,501,4.2
214,501,4.9
215,501,2.9
216,501,14.7
217,501,13.1
218,501,5.3
219,399,24.0
220,494,18.3
221,501,2.7
222,501,3.6
223,130,59.2
224,501,11.5
225,137,58.1
226,237,39.2
227,49,91.7
228,29,95.5
229,166,50.7
230,501,1.4
231,33,95.0
232,483,18.8
233,177,49.6
234,425,22.2
235,501,9.9
236,465,19.8
237,501,14.9
238,501,16.9
239,501,5.0
240,80,76.8
241,357,26.8
242,501,15.0
243,348,27.5
244,499,17.9
245,501,8.0
246,501,12.9
247,501,15.9
248,501,10.3
249,50,91.4
250,446,20.6
251,501,6.0
252,501,8.5
253,501,6.1
254,13,99.0
255,208,45.7
256,501,4.5
257,21,97.8
258,501,4.7
259,1,100.0
260,263,36.6
261,501,10.4
262,501,10.9
263,501,1.4
264,501,8.5
265,501,3.7
266,421,22.4
267,501,4.7
268,459,20.1
269,501,3.7
270,501,5.9
271,125,60.9
272,501,7.0
273,501,9.9
274,247,38.0
275,501,13.5
276,501,5.7
277,501,10.7
278,501,3.3
279,322,30.3
280,501,2.1
281,501,5.0
282,501,5.8
283,194,47.4
284,342,28.1
285,28,96.5
286,501,15.3
287,501,6.4
288,501,6.7
289,300,32.5
290,501,2.5
291,282,34.3
292,501,11.0
293,501,6.6
294,501,11.0
295,2,100.0
296,501,6.6
297,496,18.1
298,501,6.6
299,281,34.5
300,213,44.6
301,501,14.6
302,290,33.7
303,501,7.4
304,501,10.8
305,501,2.0
306,501,1.6
307,501,17.0
308,501,7.1
309,501,5.9
310,501,11.7
311,501,11.3
312,501,4.7
313,175,49.9
314,501,13.3
315,501,11.0
316,501,3.2
317,462,20.1
318,501,4.8
319,434,21.5
320,42,93.4
321,501,5.3
322,364,26.2
323,152,54.3
324,501,1.7
325,343,28.1
326,501,12.5
327,501,1.9
328,501,2.9
329,384,24.9
330,501,2.4
331,129,60.5
332,501,4.2
333,501,7.2
334,135,58.2
335,501,17.8
336,501,7.8
337,7,100.0
338,501,4.3
339,95,70.1
340,501,4.2
341,156,53.0
342,501,2.5
343,501,8.1
344,501,9.3
345,501,6.0
346,501,8.9
347,501,7.8
348,173,50.1
349,501,17.4
350,501,9.2
351,501,6.1
352,501,6.5
353,501,15.2
354,501,9.1
355,8,99.9
356,313,31.6
357,501,3.4
358,88,73.1
359,69,80.2
360,501,15.9
361,501,6.2
362,501,17.6
363,501,12.6
364,249,37.8
365,217,44.1
366,501,3.4
367,501,2.3
368,359,26.7
369,501,17.1
370,501,5.1
371,101,69.0
372,501,7.1
373,501,3.9
374,501,2.1
375,114,64.9
376,501,13.0
377,501,14.0
378,501,2.3
379,501,6.0
380,442,20.9
381,501,6.5
382,441,21.0
383,37,94.0
384,501,4.3
385,246,38.1
386,235,39.9
387,501,9.9
388,501,9.9
389,501,7.7
390,391,24.4
391,501,1.5
392,501,3.9
393,304,32.1
394,501,2.9
395,501,3.4
396,443,20.8
397,501,2.0
398,501,8.7
399,380,25.2
400,501,2.1
401,501,12.5
402,53,91.1
403,501,1.8
404,501,4.2
405,330,29.3
406,501,5.8
407,501,2.4
408,501,4.8
409,23,97.7
410,460,20.1
411,501,4.8
412,382,25.0
413,501,14.3
414,501,16.8
415,501,10.8
416,501,8.4
417,501,4.4
418,501,13.6
419,501,1.9
420,501,5.5
421,187,48.2
422,74,78.4
423,501,5.0
424,501,2.4
425,501,5.2
426,266,36.3
427,501,7.1
428,501,2.1
429,91,71.9
430,501,16.6
431,501,5.5
432,360,26.7
433,501,17.2
434,501,7.0
435,378,25.4
436,501,11.8
437,501,14.5
438,452,20.3
439,501,6.8
440,501,6.7
441,501,2.3
442,501,12.6
443,501,2.1
444,355,27.1
445,501,3.7
446,501,6.2
447,501,3.2
448,501,13.3
449,485,18.7
450,170,50.2
451,124,61.4
452,324,30.1
453,445,20.6
454,392,24.4
455,225,41.7
456,501,2.2
457,294,33.1
458,501,15.0
459,501,14.6
460,501,2.5
461,344,28.1
462,52,91.3
463,501,11.9
464,501,4.3
465,105,67.7
466,501,5.2
467,89,72.8
468,501,9.4
469,58,87.1
470,501,4.6
471,227,41.2
472,317,31.0
473,501,8.4
474,501,9.9
475,394,24.3
476,501,4.1
477,501,4.6
478,501,3.7
479,428,22.1
480,210,44.7
481,207,45.8
482,412,23.3
483,501,4.3
484,501,7.4
485,501,1.6
486,501,2.6
487,501,7.7
488,501,4.6
489,134,58.3
490,501,14.9
491,259,36.8
492,501,5.0
493,501,15.9
494,501,6.0
495,501,10.1
496,437,21.2
497,85,75.1
498,90,72.7
499,501,11.6
500,404,23.8
501,501,17.0
502,136,58.2
503,501,8.5
504,501,6.1
505,501,8.8
506,501,4.6
507,501,11.0
508,316,31.3
509,501,5.1
510,501,17.7
511,501,8.2
512,481,19.1
513,102,68.9
514,401,23.9
515,501,6.4
516,501,10.3
517,96,69.9
518,298,32.7
519,212,44.6
520,436,21.2
521,501,12.4
522,386,24.7
523,501,1.7
524,501,3.1
525,230,40.3
526,110,66.1
527,145,55.5
528,383,25.0
529,427,22.2
530,501,16.3
531,501,5.6
532,319,30.7
533,501,3.2
534,19,98.1
535,501,12.8
536,501,13.7
537,311,31.7
538,501,1.8
539,501,2.6
540,501,3.0
541,418,22.6
542,501,9.5
543,501,15.4
544,419,22.5
545,354,27.2
546,202,47.0
547,20,98.1
548,501,8.4
549,81,76.1
550,501,11.8
551,501,4.3
552,501,3.5
553,306,31.9
554,126,60.9
555,199,47.1
556,501,7.2
557,86,74.7
558,501,7.5
559,501,4.7
560,501,10.4
561,191,47.7
562,501,5.3
563,501,10.0
564,501,14.2
565,501,17.7
566,501,7.6
567,78,77.0
568,336,28.9
569,371,25.8
570,361,26.6
571,501,9.8
572,63,84.3
573,501,9.8
574,94,70.7
575,501,3.5
576,376,25.6
577,252,37.6
578,501,4.3
579,372,25.8
580,420,22.4
581,501,2.1
582,501,13.7
583,501,11.1
584,501,13.7
585,123,61.6
586,288,34.0
587,501,6.5
588,411,23.4
589,339,28.5
590,250,37.8
591,501,3.9
592,501,4.8
593,493,18.4
594,440,21.0
595,3,100.0
596,14,98.9
597,296,32.8
598,323,30.1
599,216,44.2
600,501,12.1
601,331,29.3
602,501,7.6
603,501,11.1
604,76,77.6
605,297,32.7
606,193,47.6
607,271,35.9
608,501,2.3
609,501,9.1
610,389,24.6
611,143,55.9
612,501,6.7
613,501,14.6
614,501,12.5
615,242,38.8
616,501,7.1
617,6,100.0
618,501,3.5
619,254,37.5
620,501,3.3
621,501,6.8
622,346,27.7
623,501,13.9
624,12,99.2
625,501,4.0
626,501,7.0
627,46,92.2
628,140,56.6
629,501,3.1
630,144,55.6
631,501,2.1
632,472,19.6
633,501,4.0
634,64,84.1
635,501,6.3
636,501,10.2
637,501,2.5
638,293,33.2
639,501,7.2
640,501,1.3
641,70,80.0
642,501,13.1
643,501,3.3
644,501,1.8
645,501,3.4
646,416,22.9
647,409,23.4
648,275,35.6
649,220,43.0
650,501,15.0
651,410,23.4
652,501,5.0
653,424,22.2
654,501,2.5
655,501,7.5
656,501,2.6
657,51,91.3
658,501,3.9
659,403,23.8
660,501,7.9
661,265,36.3
662,272,35.8
663,501,2.9
664,501,3.3
665,314,31.5
666,295,33.0
667,501,12.1
668,501,11.9
669,338,28.6
670,31,95.3
671,501,11.4
672,501,2.7
673,501,2.6
674,501,10.7
675,501,3.3
676,501,2.3
677,251,37.7
678,501,7.2
679,501,9.6
680,501,6.5
681,127,60.7
682,501,3.4
683,121,62.2
684,279,35.2
685,501,7.2
686,501,13.7
687,501,3.9
688,501,8.0
689,215,44.5
690,171,50.2
691,430,21.7
692,326,29.8
693,451,20.4
694,501,13.0
695,501,16.9
696,501,3.8
697,501,12.0
698,501,12.9
699,501,10.7
700,158,52.6
701,501,3.0
702,172,50.1
703,65,83.8
704,370,25.8
705,501,6.8
706,15,98.9
707,337,28.8
708,39,93.6
709,320,30.5
710,501,3.3
711,471,19.6
712,501,3.4
713,289,33.9
714,501,3.0
715,501,3.5
716,375,25.6
717,501,7.3
718,417,22.6
719,501,6.0
720,406,23.6
721,501,2.6
722,501,2.2
723,55,89.3
724,501,15.0
725,463,20.0
726,501,14.3
727,501,15.4
728,302,32.1
729,32,95.1
730,400,23.9
731,16,98.6
732,501,7.2
733,501,3.9
734,141,56.6
735,111,65.9
736,501,5.9
737,501,16.7
738,501,3.7
739,501,8.6
740,501,11.4
741,501,16.1
742,501,16.3
743,501,4.9
744,501,1.5
745,501,15.7
746,501,16.7
747,447,20.5
748,501,7.6
749,501,11.9
750,26,96.8
751,501,6.4
752,501,8.9
753,501,3.6
754,501,10.5
755,501,10.6
756,248,38.0
757,501,2.5
758,358,26.8
759,501,3.6
760,181,48.9
761,27,96.5
762,501,6.3
763,119,62.9
764,501,17.7
765,276,35.6
766,214,44.5
767,329,29.4
768,501,6.0
769,501,8.0
770,405,23.6
771,501,1.8
772,501,6.5
773,501,7.9
774,59,86.5
775,68,80.8
776,501,11.8
777,168,50.4
778,407,23.5
779,501,6.0
780,146,55.5
781,501,9.8
782,501,9.6
783,501,5.0
784,478,19.2
785,501,6.4
786,501,16.1
787,501,6.2
788,501,5.6
789,103,68.6
790,43,92.8
791,501,1.0
792,501,16.3
793,501,5.9
794,186,48.3
795,501,9.2
796,270,35.9
797,501,8.4
798,501,7.0
799,422,22.4
800,352,27.2
801,66,83.2
802,261,36.6
803,501,13.1
804,318,30.7
805,501,8.9
806,501,9.4
807,501,7.0
808,47,92.0
809,501,9.8
810,501,11.8
811,501,11.2
812,501,10.2
813,479,19.2
814,501,4.6
815,501,9.3
816,501,4.1
817,501,7.1
818,501,11.2
819,501,7.5
820,260,36.7
821,77,77.0
822,301,32.4
823,501,16.8
824,487,18.6
825,501,10.0
826,356,27.0
827,501,4.5
828,501,1.6
829,501,3.8
830,243,38.6
831,501,13.9
832,274,35.7
833,71,79.8
834,163,50.9
835,164,50.9
836,335,28.9
837,501,8.9
838,501,6.5
839,501,3.4
840,75,78.1
841,182,48.9
842,501,5.3
843,60,85.8
844,201,47.0
845,397,24.2
846,492,18.4
847,501,15.5
848,501,16.0
849,196,47.3
850,160,52.0
851,388,24.6
852,345,28.1
853,501,15.7
854,501,9.5
855,501,4.4
856,367,26.1
857,501,12.4
858,116,63.8
859,501,6.2
860,501,11.3
861,501,7.0
862,414,23.1
863,501,7.3
864,501,3.8
865,501,17.0
866,222,42.7
867,501,3.1
868,188,48.1
869,283,34.3
870,501,2.2
871,377,25.5
872,501,10.7
873,204,46.8
874,45,92.5
875,501,2.6
876,501,5.3
877,501,6.8
878,128,60.7
879,30,95.4
880,501,6.8
881,501,13.2
882,312,31.6
883,501,1.7
884,501,2.0
885,501,2.3
886,501,3.3
887,501,7.4
888,501,4.6
889,501,15.7
890,501,2.4
891,501,8.1
892,501,7.3
893,501,10.0
894,501,6.0
895,501,10.8
896,501,4.8
897,501,3.2
898,501,2.6
899,57,88.7
900,104,67.7
901,501,8.2
902,287,34.1
903,120,62.4
904,501,7.1
905,501,12.6
906,189,47.8
907,489,18.6
908,278,35.3
909,18,98.3
910,501,7.5
911,501,2.8
912,501,12.9
913,501,3.2
914,501,15.1
915,501,1.8
916,501,4.4
917,501,10.6
918,501,9.9
919,501,7.5
920,501,15.2
921,501,6.6
922,92,71.9
923,495,18.1
924,151,54.9
925,501,8.7
926,501,2.2
927,501,14.8
928,501,17.4
929,501,2.2
930,157,52.7
931,223,42.3
932,501,16.4
933,244,38.6
934,82,75.7
935,178,49.4
936,501,3.8
937,501,10.4
938,107,67.6
939,449,20.5
940,501,9.4
941,501,4.0
942,501,1.7
943,218,43.3
944,501,17.7
945,501,15.8
946,501,12.1
947,501,16.0
948,334,29.0
949,501,2.8
950,292,33.2
951,501,10.4
952,501,7.9
953,56,89.2
954,501,9.4
955,501,9.2
956,501,2.3
957,62,85.2
958,501,4.5
959,429,22.1
960,501,7.8
961,307,31.9
962,501,4.6
963,192,47.6
964,501,5.1
965,501,3.4
966,256,37.1
967,501,8.1
968,149,55.1
969,277,35.5
970,99,69.0
971,501,14.7
972,501,6.3
973,38,93.9
974,501,17.7
975,501,6.6
976,353,27.2
977,501,8.0
978,501,4.3
979,501,12.1
980,501,17.8
981,501,2.5
982,501,7.6
983,4,100.0
984,501,3.7
985,327,29.6
986,501,6.2
987,501,1.4
988,501,5.6
989,165,50.7
990,34,94.9
991,474,19.4
992,501,7.5
993,267,36.2
994,501,14.5
995,501,4.1
996,185,48.3
997,501,2.5
998,501,1.3
999,501,8.9
1000,501,3.4
1001,501,3.1
1002,426,22.2
1003,501,3.8
1004,501,8.9
1005,501,13.8
1006,501,3.5
1007,393,24.3
1008,501,3.5
1009,435,21.2
1010,501,11.1
1011,501,14.2
1012,501,4.1
1013,501,8.4
1014,501,17.4
1015,396,24.2
1016,501,7.5
1017,501,12.1
1018,48,91.9
1019,501,6.9
1020,501,2.5
1021,501,1.7
1022,501,3.7
1023,501,9.6
1024,93,71.8
1025,501,10.2
1026,501,3.6
1027,291,33.5
1028,209,44.9
1029,240,38.9
1030,501,2.8
1031,501,2.4
1032,501,13.1
1033,501,6.9
1034,501,16.4
1035,501,1.3
1036,501,16.8
1037,501,2.5
1038,475,19.3
1039,501,8.9
1040,79,76.9
1041,381,25.2
1042,154,54.2
1043,501,11.1
1044,501,5.0
1045,245,38.4
1046,464,19.8
1047,501,11.5
1048,501,14.5
1049,122,62.0
1050,501,2.9
1051,501,13.2
1052,501,14.9
1053,206,46.2
1054,501,5.5
1055,117,63.3
1056,501,7.6
1057,198,47.2
1058,109,66.4
1059,113,65.0
1060,501,3.2
1061,501,11.8
1062,183,48.6
1063,61,85.4
1064,501,3.4
1065,477,19.2
1066,501,2.0
1067,67,82.4
1068,228,40.7
1069,501,3.2
1070,501,16.9
1071,233,40.2
1072,501,15.3
1073,473,19.5
1074,501,8.9
1075,501,1.1
1076,501,2.3
1077,501,3.4
1078,501,5.0
1079,112,65.0
1080,366,26.1
1081,501,9.9
1082,385,24.9
1083,501,16.9
1084,232,40.2
1085,501,4.6
1086,501,7.8
1087,501,2.1
1088,501,10.9
1089,22,97.7
1090,501,12.7
1091,501,6.2
1092,501,12.4
1093,321,30.4
1094,501,10.2
1095,501,2.1
1096,398,24.2
1097,309,31.8
1098,238,39.2
1099,40,93.5
1100,138,57.4
