university_id,overall rank,overall score
499,1114,
500,274,37.1
501,703,
502,89,62.1
503,453,26.1
504,1258,
505,520,
506,240,39.2
507,350,31.0
508,924,
509,1220,
510,133,53.9
511,446,26.3
512,292,35.7
513,180,45.7
514,634,
515,751,
516,879,
517,115,56.1
518,210,42.5
519,107,57.8
520,308,34.3
521,864,
522,848,
523,1039,
524,1029,
525,65,69.0
526,137,53.2
527,215,42.2
528,531,
529,346,31.2
530,882,
531,1222,
532,399,28.6
533,1348,
534,121,54.9
535,283,36.3
536,444,26.3
537,457,25.7
538,666,
539,718,
540,872,
541,896,
542,947,
543,1113,
544,267,37.3
545,633,
546,208,42.6
547,22,86.7
548,1159,
549,19,88.4
550,1213,
551,1265,
552,1090,
553,318,33.8
554,85,63.6
555,692,
556,1294,
557,91,61.1
558,294,35.6
559,769,
560,1011,
561,166,47.8
562,994,
563,1268,
564,1093,
565,928,
566,937,
567,75,66.8
568,178,45.8
569,850,
570,113,56.3
571,360,30.5
572,533,
573,889,
574,106,57.8
575,584,
576,320,33.7
577,327,33.0
578,506,
579,344,31.4
580,263,37.8
581,992,
582,986,
583,1078,
584,534,
585,53,74.5
586,920,
587,476,25.0
588,104,58.0
589,449,26.2
590,686,
591,1385,
592,758,
593,930,
594,169,47.2
595,4,98.4
596,17,89.2
597,397,28.7
598,143,51.6
599,244,38.9
600,885,
601,1124,
602,284,36.1
603,815,
604,154,50.0
605,432,27.0
606,414,27.7
607,1137,
608,1199,
609,1020,
610,345,31.3
611,203,43.0
612,492,24.5
613,486,24.7
614,1333,
615,239,39.4
616,842,
617,27,82.7
618,721,
619,255,38.3
620,353,30.9
621,435,26.8
622,415,27.6
623,483,24.8
624,69,68.1
625,833,
626,878,
627,10,93.2
628,78,65.0
629,949,
630,131,54.1
631,1086,
632,565,
633,905,
634,62,70.0
635,460,25.6
636,461,25.5
637,1316,
638,209,42.6
639,313,34.1
640,908,
641,285,36.1
642,237,39.4
643,612,
644,557,
645,761,
646,156,49.5
647,132,54.1
648,165,47.9
649,196,44.2
650,354,30.8
651,443,26.3
652,1050,
653,199,43.9
654,606,
655,403,28.3
656,939,
657,9,93.6
658,455,26.0
659,223,41.5
660,1366,
661,478,24.9
662,370,29.9
663,800,
664,859,
665,597,
666,1130,
667,613,
668,892,
669,328,32.9
670,43,79.3
671,808,
672,1241,
673,1297,
674,660,
675,974,
676,1092,
677,707,
678,895,
679,611,
680,866,
681,141,51.9
682,997,
683,140,52.0
684,109,57.0
685,740,
686,596,
687,789,
688,1031,
689,458,25.7
690,230,40.3
691,615,
692,361,30.4
693,567,
694,338,31.8
695,932,
696,1186,
697,1131,
698,700,
699,299,35.4
700,687,
701,1355,
702,40,79.8
703,122,54.8
704,556,
705,1230,
706,36,81.4
707,273,37.2
708,31,81.9
709,685,
710,957,
711,870,
712,1312,
713,295,35.5
714,847,
715,1007,
716,367,30.2
717,1091,
718,394,29.0
719,1315,
720,756,
721,575,
722,1393,
723,64,69.1
724,1204,
725,127,54.5
726,626,
727,348,31.1
728,944,
729,105,58.0
730,982,
731,8,95.0
732,966,
733,1094,
734,194,44.3
735,256,38.1
736,368,30.1
737,668,
738,801,
739,743,
740,1155,
741,251,38.5
742,183,45.6
743,475,25.0
744,577,
745,155,49.5
746,559,
747,336,31.9
748,395,29.0
749,742,
750,49,76.4
751,262,37.8
752,983,
753,549,
754,451,26.2
755,865,
756,1019,
757,1075,
758,931,
759,649,
760,110,56.9
761,206,42.8
762,641,
763,21,87.0
764,730,
765,268,37.3
766,498,24.3
767,705,
768,1251,
769,1302,
770,1037,
771,1156,
772,502,
773,358,30.6
774,172,46.7
775,57,71.6
776,1023,
777,211,42.5
778,480,24.9
779,1179,
780,190,44.6
781,304,34.9
782,587,
783,1207,
784,408,27.9
785,893,
786,727,
787,1372,
788,772,
789,720,
790,170,47.1
791,1169,
792,495,24.4
793,952,
794,87,62.7
795,1332,
796,363,30.2
797,907,
798,1209,
799,852,
800,925,
801,37,81.2
802,82,64.1
803,340,31.6
804,266,37.5
805,1224,
806,459,25.7
807,624,
808,168,47.5
809,417,27.5
810,804,
811,917,
812,400,28.4
813,261,37.9
814,697,
815,1125,
816,858,
817,771,
818,265,37.6
819,442,26.4
820,911,
821,88,62.3
822,471,25.2
823,204,43.0
824,189,45.2
825,212,42.4
826,352,30.9
827,1142,
828,709,
829,497,24.3
830,598,
831,754,
832,301,35.2
833,50,74.8
834,95,60.1
835,764,
836,405,28.1
837,770,
838,976,
839,748,
840,79,64.9
841,195,44.2
842,311,34.3
843,42,79.3
844,188,45.3
845,357,30.7
846,236,39.5
847,359,30.5
848,632,
849,325,33.1
850,788,
851,655,
852,305,34.7
853,1042,
854,1339,
855,1378,
856,1117,
857,1067,
858,224,41.4
859,1365,
860,310,34.3
861,884,
862,677,
863,440,26.5
864,450,26.2
865,530,
866,257,38.1
867,648,
868,83,63.7
869,191,44.6
870,1195,
871,468,25.3
872,351,31.0
873,182,45.6
874,13,90.6
875,1177,
876,699,
877,1120,
878,125,54.5
879,47,77.0
880,665,
881,412,27.7
882,522,
883,1352,
884,950,
885,1178,
886,1193,
887,527,
888,981,
889,1374,
890,1270,
891,794,
892,790,
893,855,
894,780,
895,723,
896,854,
897,1103,
898,1422,
899,147,51.1
900,334,32.0
901,390,29.1
902,566,
903,248,38.7
904,837,
905,280,36.5
906,616,
907,332,32.2
908,392,29.0
909,35,81.5
910,569,
911,663,
912,933,
913,818,
914,805,
915,1389,
916,1406,
917,427,27.2
918,482,24.8
919,821,
920,846,
921,1247,
922,32,81.8
923,1165,
924,286,36.1
925,732,
926,1300,
927,733,
928,464,25.5
929,586,
930,505,
931,58,71.1
932,824,
933,509,
934,59,70.4
935,919,
936,904,
937,382,29.5
938,614,
939,738,
940,695,
941,406,28.0
942,1172,
943,323,33.3
944,627,
945,795,
946,510,
947,1108,
948,362,30.3
949,570,
950,378,29.7
951,697,
952,945,
953,92,60.9
954,759,
955,1147,
956,568,
957,72,67.4
958,603,
959,1250,
960,1034,
961,259,38.0
962,1143,
963,347,31.1
964,725,
965,543,
966,515,
967,207,42.7
968,231,40.2
969,120,55.7
970,246,38.8
971,404,28.2
972,481,24.8
973,74,66.9
974,153,50.1
975,421,27.4
976,553,
977,676,
978,1033,
979,1083,
980,433,26.9
981,1313,
982,322,33.4
983,1,100.0
984,477,24.9
985,282,36.3
986,1329,
987,437,26.6
988,1173,
989,302,35.1
990,33,81.6
991,1027,
992,1229,
993,126,54.5
994,883,
995,1149,
996,270,37.2
997,494,24.4
998,875,
999,573,
1000,1327,
1001,797,
1002,674,
1003,1196,
1004,416,27.5
1005,439,26.5
1006,590,
1007,409,27.9
1008,407,28.0
1009,329,32.9
1010,539,
1011,645,
1012,545,
1013,701,
1014,1071,
1015,830,
1016,516,
1017,488,24.6
1018,197,44.1
1019,652,
1020,784,
1021,768,
1022,970,
1023,1133,
1024,16,89.2
1025,642,
1026,610,
1027,161,48.6
1028,118,55.8
1029,431,27.1
1030,978,
1031,1390,
1032,834,
1033,1153,
1034,296,35.4
1035,661,
1036,519,
1037,673,
1038,698,
1039,1135,
1040,150,50.8
1041,809,
1042,63,69.6
1043,562,
1044,998,
1045,365,30.2
1046,816,
1047,679,
1048,101,58.7
1049,130,54.2
1050,487,24.7
1051,741,
1052,279,36.6
1053,912,
1054,750,
1055,287,36.1
1056,671,
1057,24,85.1
1058,254,38.3
1059,135,53.5
1060,375,29.8
1061,1398,
1062,80,64.7
1063,68,68.2
1064,706,
1065,504,
1066,712,
1067,383,29.5
1068,252,38.4
1069,343,31.4
1070,384,29.3
1071,219,41.8
1072,708,
1073,582,
1074,753,
1075,775,
1076,579,
1077,897,
1078,593,
1079,164,47.9
1080,100,58.8
1081,763,
1082,160,48.8
1083,385,29.3
1084,306,34.6
1085,1066,
1086,1148,
1087,1191,
1088,690,
1089,28,82.3
1090,366,30.2
1091,640,
1092,825,
1093,245,38.9
1094,890,
1095,608,
1096,762,
1097,380,29.6
1098,84,63.7
1099,34,81.5
1100,226,41.2
1101,704,
1102,544,
1103,249,38.7
1104,731,
1105,1384,
1106,456,25.9
1107,578,
1108,418,27.5
1109,560,
1110,171,46.8
1111,410,27.8
1112,1151,
1113,1203,
1114,1132,
1115,1192,
1116,940,
1117,513,
1118,144,51.6
1119,293,35.6
1120,607,
1121,1116,
1122,760,
1123,94,60.7
1124,909,
1125,243,38.9
1126,1304,
1127,413,27.7
1128,1003,
1129,112,56.3
1130,373,29.9
1131,179,45.7
1132,114,56.2
1133,221,41.6
1134,728,
1135,419,27.5
1136,3,98.5
1137,517,
1138,186,45.4
1139,452,26.2
1140,500,24.2
1141,490,24.5
1142,514,
1143,157,49.4
1144,746,
1145,835,
1146,1107,
1147,1032,
