university_id,international faculty rank,international faculty score
1,523.0,25.3
2,183.0,88.1
3,389.0,43.3
4,601.0,6.6
5,505.0,27.3
6,278.0,66.9
7,428.0,36.8
8,98.0,98.9
9,445.0,34.7
10,601.0,2.0
11,601.0,5.5
12,601.0,10.8
13,563.0,21.5
14,407.0,39.3
15,601.0,4.1
16,601.0,7.5
17,601.0,13.1
18,601.0,4.8
19,601.0,7.8
20,601.0,1.1
21,199.0,85.3
22,4.0,100.0
23,601.0,6.1
24,601.0,3.5
25,601.0,4.8
26,601.0,8.5
27,154.0,93.3
28,259.0,69.9
29,,
30,176.0,89.5
31,601.0,10.8
32,282.0,66.0
33,366.0,47.8
34,227.0,77.0
35,601.0,4.0
36,601.0,15.2
37,332.0,55.0
38,172.0,90.4
39,601.0,5.3
40,601.0,17.7
41,601.0,4.4
42,601.0,6.9
43,466.0,30.8
44,601.0,15.7
45,,
46,601.0,7.0
47,601.0,2.2
48,601.0,8.2
49,460.0,31.4
50,204.0,84.7
51,601.0,6.1
52,16.0,100.0
53,388.0,43.6
54,601.0,4.6
55,601.0,5.5
56,,
57,601.0,9.8
58,212.0,82.4
59,292.0,63.7
60,601.0,7.8
61,420.0,37.8
62,601.0,1.1
63,386.0,43.8
64,376.0,46.1
65,313.0,58.2
66,601.0,3.3
67,544.0,23.0
68,43.0,100.0
69,601.0,13.3
70,217.0,80.7
71,601.0,3.5
72,218.0,80.6
73,601.0,1.8
74,601.0,4.2
75,601.0,5.4
76,153.0,93.3
77,86.0,99.3
78,485.0,29.2
79,601.0,7.5
80,601.0,2.1
81,601.0,7.7
82,,
83,275.0,67.3
84,338.0,53.9
85,431.0,36.3
86,187.0,87.6
87,261.0,69.8
88,295.0,63.6
89,601.0,2.3
90,400.0,40.9
91,601.0,1.3
92,349.0,50.5
93,320.0,57.4
94,601.0,5.8
95,96.0,98.9
96,601.0,10.8
97,601.0,3.1
98,36.0,100.0
99,601.0,8.5
100,601.0,1.5
101,601.0,1.1
102,601.0,3.4
103,359.0,48.4
104,49.0,100.0
105,601.0,10.4
106,601.0,15.0
107,601.0,4.8
108,601.0,1.7
109,601.0,3.3
110,601.0,14.7
111,443.0,34.7
112,367.0,47.6
113,601.0,7.7
114,601.0,5.5
115,263.0,68.9
116,,
117,509.0,26.8
118,601.0,3.4
119,601.0,9.1
120,601.0,15.3
121,601.0,6.7
122,601.0,1.3
123,156.0,93.1
124,372.0,46.4
125,399.0,42.1
126,149.0,93.9
127,434.0,36.1
128,223.0,78.2
