university_id,academic reputation rank,academic reputation score
1,75,76.7
2,191,43.3
3,233,36.6
4,501,12.4
5,297,28.8
6,367,22.7
7,501,10.8
8,26,98.0
9,501,4.8
10,374,22.2
11,501,6.5
12,501,9.3
13,347,24.5
14,390,21.3
15,501,4.1
16,501,7.7
17,501,6.2
18,377,21.9
19,315,26.9
20,501,16.0
21,122,58.7
22,501,8.8
23,501,8.2
24,501,6.6
25,501,13.1
26,501,2.2
27,215,39.6
28,501,12.0
29,501,4.1
30,129,57.4
31,501,7.9
32,265,31.8
33,471,18.3
34,501,4.5
35,501,7.9
36,501,10.1
37,501,6.2
38,501,10.5
39,408,20.5
40,149,51.3
41,501,5.1
42,501,5.7
43,501,15.7
44,501,12.9
45,501,9.6
46,327,26.0
47,450,19.1
48,501,5.9
49,394,21.2
50,105,64.8
51,353,23.9
52,130,57.3
53,70,79.6
54,501,12.8
55,501,6.1
56,501,14.6
57,501,10.3
58,210,40.1
59,293,29.2
60,384,21.7
61,496,17.0
62,501,7.6
63,501,16.2
64,140,55.1
65,501,9.7
66,501,5.1
67,501,14.6
68,451,19.1
69,501,8.0
70,501,3.5
71,501,6.5
72,237,36.1
73,501,12.3
74,264,31.9
75,501,4.1
76,255,33.2
77,266,31.7
78,501,14.7
79,501,5.1
80,501,11.9
81,501,5.0
82,501,6.7
83,313,27.0
84,501,8.1
85,501,8.4
86,501,9.0
87,288,29.9
88,400,20.8
89,259,32.6
90,61,82.7
91,501,3.5
92,193,42.8
93,501,6.1
94,501,8.0
95,89,69.4
96,501,7.6
97,501,11.2
98,52,86.6
99,501,6.1
100,250,34.2
101,501,4.0
102,488,17.6
103,158,49.3
104,482,17.9
105,7,100.0
106,252,33.9
107,501,5.8
108,501,8.0
109,501,4.5
110,501,14.2
111,501,5.5
112,501,8.5
113,501,5.9
114,501,3.0
115,501,14.9
116,269,31.2
117,412,20.4
118,501,7.0
119,501,6.9
120,344,24.9
121,501,5.7
122,501,6.0
123,328,25.9
124,271,31.0
125,501,2.5
126,290,29.4
127,142,54.6
128,501,11.7
129,73,78.5
130,501,14.4
131,405,20.6
132,188,43.8
133,217,39.5
134,441,19.4
135,501,10.2
136,501,11.4
137,148,51.6
138,161,49.0
139,169,47.4
140,501,9.5
141,501,10.1
142,38,92.3
143,350,24.2
144,501,7.0
145,406,20.5
146,501,11.7
147,501,14.3
148,501,2.8
149,501,4.5
150,175,46.2
151,501,14.6
152,110,62.3
153,501,4.7
154,447,19.2
155,466,18.4
156,501,12.6
157,181,45.3
158,501,9.3
159,501,8.7
160,501,11.8
161,78,74.4
162,501,1.0
163,123,58.1
164,359,23.4
165,501,13.1
166,501,11.2
167,501,16.3
168,501,4.5
169,501,8.4
170,501,11.3
171,501,3.5
172,501,6.2
173,501,9.3
174,501,3.3
175,314,26.9
176,433,19.7
177,99,66.1
178,501,10.7
179,501,16.2
180,501,10.0
181,317,26.8
182,370,22.6
183,236,36.3
184,501,15.3
185,501,6.3
186,501,7.6
187,218,38.9
188,501,6.0
189,501,3.0
190,501,6.3
191,501,8.3
192,501,13.8
193,501,9.8
194,501,5.0
195,351,24.2
196,91,69.0
197,107,63.6
198,501,3.2
199,501,11.3
200,501,13.2
201,201,41.1
202,24,98.3
203,501,9.0
204,501,5.8
205,226,37.4
206,501,4.7
207,501,14.4
208,279,30.8
209,294,29.1
210,308,27.3
211,501,14.2
212,501,16.6
213,501,10.0
214,440,19.5
215,501,10.3
216,501,16.6
217,501,7.4
218,501,11.1
219,135,55.9
220,501,9.6
221,501,5.0
222,501,6.0
223,132,56.8
224,426,20.0
225,202,41.0
226,467,18.4
227,30,96.2
228,76,75.5
229,190,43.6
230,501,6.0
231,108,62.9
232,480,18.0
233,51,87.3
234,256,33.1
235,501,9.2
236,152,50.8
237,501,9.4
238,150,51.3
239,393,21.2
240,96,67.8
241,304,28.0
242,403,20.7
243,421,20.0
244,501,11.6
245,501,16.2
246,501,5.8
247,501,14.9
248,455,18.8
249,23,98.3
250,501,9.6
251,501,11.1
252,501,7.0
253,501,16.8
254,32,95.9
255,459,18.7
256,501,7.9
257,19,98.6
258,501,6.5
259,1,100.0
260,323,26.3
261,501,8.2
262,501,4.8
263,501,2.9
264,396,21.1
265,499,16.9
266,501,11.8
267,501,6.3
268,356,23.8
269,501,3.7
270,501,4.0
271,277,30.8
272,501,12.0
273,501,8.2
274,501,10.4
275,229,37.0
276,501,8.3
277,501,8.6
278,501,2.2
279,501,13.0
280,501,5.4
281,501,8.4
282,501,5.0
283,501,14.2
284,307,27.4
285,15,99.3
286,501,11.2
287,472,18.2
288,501,10.7
289,246,34.4
290,501,5.3
291,172,47.1
292,501,10.2
293,501,5.5
294,501,12.5
295,2,100.0
296,501,14.5
297,501,16.5
298,501,12.9
299,493,17.1
300,270,31.2
301,501,11.4
302,464,18.5
303,501,7.0
304,501,16.6
305,501,7.3
306,501,3.5
307,501,9.7
308,501,7.9
309,431,19.8
310,501,14.6
311,501,6.8
312,501,4.1
313,137,55.6
314,501,7.9
315,501,9.2
316,501,5.5
317,228,37.4
318,501,10.6
319,501,6.2
320,80,74.1
321,501,10.4
322,278,30.8
323,189,43.7
324,501,7.8
325,84,71.9
326,409,20.5
327,501,4.0
328,501,11.7
329,334,25.3
330,501,2.2
331,280,30.6
332,501,7.2
333,501,7.3
334,501,15.2
335,363,23.0
336,501,9.4
337,9,99.9
338,501,5.6
339,35,93.6
340,501,9.5
341,58,83.8
342,501,4.4
343,501,12.3
344,501,5.8
345,501,5.3
346,320,26.6
347,196,42.1
348,501,13.5
349,501,15.7
350,501,9.3
351,501,16.1
352,501,12.7
353,501,15.4
354,501,5.6
355,8,100.0
356,322,26.4
357,501,4.4
358,109,62.7
359,87,71.6
360,501,13.6
361,501,10.1
362,501,8.3
363,214,39.7
364,338,25.1
365,287,30.1
366,501,7.8
367,501,4.0
368,501,11.3
369,483,17.8
370,501,9.4
371,83,72.1
372,501,8.8
373,501,4.4
374,501,5.4
375,501,8.5
376,371,22.5
377,386,21.6
378,501,3.7
379,501,6.9
380,401,20.8
381,501,8.4
382,501,14.4
383,39,92.3
384,469,18.3
385,295,29.0
386,489,17.5
387,501,7.3
388,501,6.9
389,501,13.3
390,333,25.5
391,501,4.5
392,501,5.0
393,342,24.9
394,501,6.1
395,501,8.4
396,501,9.0
397,501,12.1
398,501,16.0
399,501,11.3
400,501,5.0
401,192,43.3
402,46,89.0
403,501,4.7
404,501,6.0
405,501,7.6
