university_id,international students rank,international students score
416,,
417,458.0,26.4
418,91.0,94.0
419,,
420,,
421,,
422,463.0,26.2
423,,
424,,
425,20.0,100.0
426,550.0,19.1
427,579.0,17.7
428,,
429,399.0,33.0
430,590.0,17.0
431,,
432,,
433,180.0,74.2
434,601.0,6.8
435,,
436,601.0,10.2
437,309.0,47.2
438,280.0,51.3
439,242.0,59.0
440,,
441,601.0,1.6
442,560.0,18.7
443,601.0,10.8
444,214.0,64.8
445,,
446,,
447,,
448,324.0,44.9
449,163.0,79.4
450,,
451,,
452,489.0,24.1
453,,
454,303.0,48.1
455,482.0,24.9
456,102.0,91.7
457,129.0,86.5
458,,
459,601.0,14.2
460,601.0,3.1
461,382.0,35.8
462,412.0,32.1
463,,
464,291.0,49.5
465,574.0,18.0
466,156.0,81.0
467,,
468,,
469,85.0,94.9
470,142.0,84.3
471,371.0,37.5
472,6.0,100.0
473,,
474,222.0,63.2
475,593.0,16.9
476,57.0,98.1
477,601.0,2.2
478,601.0,4.8
479,,
480,464.0,26.1
481,601.0,6.8
482,601.0,7.0
483,,
484,,
485,561.0,18.7
486,,
487,601.0,1.5
488,570.0,18.1
489,268.0,53.8
490,,
491,,
492,64.0,97.4
493,,
494,,
495,,
496,,
497,,
498,,
499,344.0,41.7
500,,
501,533.0,20.4
502,225.0,61.8
503,,
504,,
505,92.0,93.8
506,,
507,469.0,25.7
508,405.0,32.3
509,,
510,,
511,42.0,99.2
512,601.0,8.5
513,32.0,99.6
514,496.0,23.6
515,,
516,,
517,,
518,,
519,372.0,37.4
520,538.0,20.1
521,125.0,87.1
522,,
523,223.0,62.1
524,98.0,92.9
525,601.0,3.7
526,481.0,25.0
527,601.0,4.0
528,,
529,,
530,601.0,5.7
531,,
532,272.0,53.3
533,211.0,65.4
534,,
535,,
536,267.0,53.8
537,408.0,32.3
538,,
539,600.0,16.1
540,13.0,100.0
541,,
542,,
543,,
544,270.0,53.4
545,138.0,85.4
546,423.0,30.2
547,295.0,49.0
548,252.0,57.1
549,35.0,99.5
550,,
551,,
552,425.0,29.9
553,126.0,86.9
554,601.0,2.7
555,194.0,69.9
556,38.0,99.4
557,234.0,60.2
558,,
559,601.0,1.3
560,356.0,39.9
561,78.0,95.5
562,,
563,58.0,98.0
564,,
565,96.0,93.3
566,,
567,238.0,59.4
568,178.0,74.5
569,123.0,87.7
570,509.0,22.6
571,601.0,1.5
572,,
573,588.0,17.0
574,431.0,29.3
575,429.0,29.6
576,583.0,17.5
577,193.0,70.0
578,,
579,140.0,84.9
580,69.0,96.8
581,113.0,88.9
582,,
583,,
584,298.0,48.7
585,,
586,,
587,,
588,105.0,90.9
589,327.0,44.5
590,601.0,14.0
591,,
592,495.0,23.6
593,208.0,65.6
594,456.0,26.5
595,601.0,5.5
596,23.0,100.0
597,,
598,520.0,21.2
599,,
600,258.0,56.2
601,,
602,,
603,542.0,19.8
604,36.0,99.5
605,601.0,15.6
606,,
607,250.0,57.6
608,,
609,221.0,63.5
610,381.0,36.0
611,601.0,3.5
612,457.0,26.5
613,601.0,3.1
614,,
615,,
616,,
617,,
618,,
619,601.0,10.4
620,350.0,40.8
621,449.0,27.5
622,601.0,5.4
623,,
624,,
625,508.0,22.8
626,,
627,127.0,86.5
628,285.0,50.7
629,,
630,601.0,1.4
631,107.0,90.3
632,475.0,25.4
633,,
634,71.0,96.4
635,569.0,18.1
636,,
637,601.0,1.7
638,284.0,50.7
639,,
640,147.0,82.9
641,511.0,22.5
642,393.0,34.3
643,400.0,32.7
644,,
645,389.0,35.1
646,575.0,18.0
647,,
648,93.0,93.7
649,541.0,19.8
650,121.0,87.9
651,526.0,21.0
652,,
653,601.0,11.9
654,273.0,52.5
655,505.0,23.1
656,,
657,,
658,266.0,53.9
659,,
660,,
661,12.0,100.0
662,,
663,,
664,554.0,18.9
665,417.0,31.1
666,601.0,4.6
667,493.0,23.8
668,,
669,62.0,97.5
670,,
671,,
672,286.0,50.7
673,414.0,31.6
674,,
675,,
676,365.0,38.0
677,,
678,,
679,,
680,480.0,25.0
681,385.0,35.6
682,404.0,32.3
683,60.0,97.9
684,,
685,,
686,422.0,30.4
687,,
688,,
689,207.0,65.7
690,133.0,86.1
691,199.0,68.7
692,,
693,521.0,21.2
694,601.0,6.0
695,320.0,45.3
696,,
697,402.0,32.6
698,,
699,,
700,,
701,577.0,18.0
702,,
703,447.0,27.6
704,,
705,94.0,93.5
706,490.0,24.1
707,601.0,4.4
708,,
709,228.0,60.8
710,,
711,,
712,328.0,44.4
713,30.0,99.6
714,553.0,18.9
715,311.0,47.0
716,169.0,78.4
717,,
718,202.0,68.4
719,,
720,,
721,601.0,9.3
722,,
723,601.0,7.3
724,601.0,3.0
725,,
726,195.0,69.9
727,203.0,68.4
728,149.0,82.7
729,66.0,97.1
730,,
731,,
732,139.0,85.3
733,,
734,,
735,,
736,307.0,47.3
737,,
738,11.0,100.0
739,,
740,339.0,42.4
741,,
742,,
743,313.0,46.6
744,,
745,,
746,,
747,,
748,,
749,,
750,,
751,287.0,50.4
752,,
753,448.0,27.6
754,568.0,18.2
755,,
756,161.0,79.9
757,353.0,40.4
758,,
759,215.0,64.6
760,531.0,20.5
761,,
762,217.0,63.9
763,15.0,100.0
764,547.0,19.4
765,,
766,601.0,8.4
767,384.0,35.6
768,,
769,499.0,23.5
770,,
771,28.0,99.8
772,536.0,20.1
773,,
774,275.0,52.1
775,,
776,,
777,,
778,,
779,160.0,80.0
780,51.0,98.9
781,67.0,97.1
782,601.0,15.3
783,,
784,81.0,95.4
785,196.0,69.7
786,519.0,21.3
787,,
788,397.0,33.8
789,326.0,44.6
790,601.0,3.2
791,,
792,,
793,226.0,61.6
794,,
795,301.0,48.1
796,,
797,,
798,,
799,601.0,3.9
800,,
801,572.0,18.1
802,108.0,90.2
803,,
804,249.0,58.0
805,492.0,23.8
806,601.0,3.8
807,,
808,377.0,36.5
809,43.0,99.2
810,276.0,51.6
811,,
812,25.0,100.0
813,137.0,85.6
814,388.0,35.3
815,246.0,58.5
816,,
817,154.0,81.3
818,136.0,86.0
819,259.0,56.0
820,302.0,48.1
821,8.0,100.0
822,483.0,24.9
823,312.0,46.9
824,,
825,491.0,24.0
826,442.0,28.1
827,,
828,578.0,17.9
829,231.0,60.4
830,601.0,11.6
831,103.0,91.5
832,334.0,43.1
833,159.0,80.2
834,,
835,,
836,,
837,34.0,99.6
838,,
839,,
840,437.0,28.8
841,,
842,,
843,418.0,31.0
844,,
845,216.0,64.3
846,,
847,,
848,501.0,23.4
849,,
850,189.0,70.9
851,,
852,513.0,22.4
853,446.0,27.6
854,,
855,529.0,20.5
856,,
857,,
858,165.0,79.3
859,,
860,,
861,,
862,174.0,74.9
863,341.0,41.9
864,551.0,19.1
865,601.0,8.7
866,379.0,36.1
867,,
868,,
869,525.0,21.1
870,,
871,,
872,,
873,70.0,96.5
874,601.0,1.1
875,,
876,537.0,20.1
877,500.0,23.5
878,601.0,11.5
879,,
880,,
881,367.0,37.9
882,601.0,10.6
883,265.0,54.3
884,277.0,51.5
885,170.0,77.0
886,459.0,26.3
887,,
888,430.0,29.4
889,,
890,,
891,596.0,16.4
892,,
893,601.0,10.5
894,,
895,,
896,,
897,601.0,4.1
898,,
899,171.0,76.8
900,,
901,,
902,378.0,36.2
903,,
904,116.0,88.5
905,310.0,47.1
906,293.0,49.1
907,,
908,7.0,100.0
909,19.0,100.0
910,601.0,11.5
911,,
912,296.0,48.9
913,,
914,,
915,494.0,23.6
916,168.0,78.5
917,172.0,75.9
918,240.0,59.1
919,256.0,56.9
920,357.0,39.8
921,84.0,95.0
922,,
923,396.0,33.8
924,,
925,512.0,22.5
926,27.0,99.9
927,,
928,,
929,271.0,53.4
930,255.0,57.0
931,504.0,23.2
932,601.0,1.7
933,478.0,25.3
934,,
935,351.0,40.8
936,198.0,69.0
937,601.0,3.6
938,514.0,22.2
939,601.0,1.7
940,467.0,25.9
941,,
942,,
943,,
944,546.0,19.4
945,,
946,601.0,5.9
947,,
948,591.0,17.0
949,543.0,19.6
950,349.0,40.8
951,,
952,290.0,49.6
953,555.0,18.8
954,573.0,18.0
955,601.0,9.9
956,130.0,86.4
957,,
958,,
959,,
960,,
961,,
962,68.0,96.8
963,601.0,6.8
964,318.0,45.6
965,532.0,20.5
966,,
967,345.0,41.5
968,,
969,601.0,7.1
970,601.0,10.2
971,601.0,2.7
972,601.0,1.6
973,,
974,5.0,100.0
975,601.0,7.8
976,601.0,7.9
977,471.0,25.5
978,434.0,29.1
979,204.0,67.6
980,,
981,,
982,,
983,,
984,3.0,100.0
985,16.0,100.0
986,406.0,32.3
987,,
988,,
989,601.0,10.1
990,450.0,27.5
991,,
992,601.0,5.9
993,601.0,1.5
994,,
995,145.0,83.4
996,132.0,86.1
997,,
998,540.0,19.9
999,601.0,4.9
1000,592.0,17.0
1001,601.0,8.8
1002,,
1003,,
1004,,
1005,76.0,95.6
1006,601.0,5.6
1007,452.0,27.3
1008,,
1009,364.0,38.2
1010,,
1011,,
1012,,
1013,340.0,42.3
1014,,
1015,2.0,100.0
1016,230.0,60.5
1017,336.0,42.7
1018,585.0,17.1
1019,,
1020,,
1021,,
1022,,
1023,,
1024,158.0,80.5
1025,,
1026,,
1027,,
1028,510.0,22.6
1029,601.0,6.8
1030,453.0,27.3
1031,,
1032,88.0,94.5
1033,80.0,95.4
1034,251.0,57.4
1035,,
1036,146.0,83.0
1037,601.0,7.4
1038,294.0,49.0
1039,601.0,11.5
1040,213.0,65.3
1041,,
1042,,
1043,,
1044,436.0,28.9
1045,,
1046,366.0,37.9
1047,59.0,97.9
1048,503.0,23.3
1049,,
1050,523.0,21.1
1051,87.0,94.5
1052,601.0,5.9
1053,,
1054,300.0,48.1
1055,,
1056,416.0,31.4
1057,473.0,25.5
1058,,
1059,,
1060,601.0,12.9
1061,260.0,55.7
1062,,
1063,360.0,39.3
1064,601.0,6.3
1065,424.0,30.0
1066,262.0,55.6
1067,601.0,10.9
1068,,
1069,601.0,9.0
1070,348.0,41.1
1071,44.0,99.1
1072,479.0,25.2
1073,359.0,39.5
1074,,
1075,325.0,44.9
1076,601.0,3.6
1077,498.0,23.5
1078,,
1079,124.0,87.5
1080,,
1081,,
1082,,
1083,516.0,21.6
1084,,
1085,601.0,6.1
1086,227.0,61.2
1087,50.0,99.0
1088,421.0,30.4
1089,601.0,2.0
1090,,
1091,224.0,62.0
1092,380.0,36.1
1093,,
1094,65.0,97.1
1095,,
1096,419.0,30.8
1097,317.0,46.1
1098,104.0,91.2
1099,390.0,35.0
1100,100.0,92.0
1101,,
1102,407.0,32.3
1103,,
1104,115.0,88.7
1105,184.0,72.9
1106,,
1107,571.0,18.1
1108,454.0,26.9
1109,245.0,58.6
1110,601.0,7.6
1111,556.0,18.8
1112,,
1113,,
1114,428.0,29.7
1115,,
1116,,
1117,601.0,5.2
1118,153.0,81.3
1119,444.0,28.0
1120,549.0,19.2
1121,54.0,98.5
1122,373.0,36.9
1123,31.0,99.6
1124,,
1125,,
1126,29.0,99.6
1127,,
1128,337.0,42.7
1129,263.0,54.5
1130,,
1131,,
1132,,
1133,601.0,12.0
1134,601.0,11.1
1135,,
1136,,
1137,,
1138,601.0,11.7
1139,338.0,42.5
1140,392.0,34.5
1141,,
1142,86.0,94.5
1143,335.0,42.9
1144,144.0,83.5
1145,,
1146,,
1147,460.0,26.3
