university_id,international Research Network rank,international Research Network score
320,601.0,24.0
321,601.0,11.8
322,592.0,58.0
323,,
324,601.0,25.9
325,346.0,78.0
326,7.0,99.4
327,601.0,46.6
328,449.0,71.0
329,601.0,34.5
330,601.0,35.4
331,601.0,15.4
332,448.0,71.0
333,518.0,64.4
334,96.0,93.7
335,318.0,80.4
336,594.0,57.9
337,601.0,13.7
338,220.0,86.5
339,406.0,74.5
340,601.0,4.4
341,601.0,32.7
342,117.0,92.4
343,601.0,55.8
344,52.0,96.3
345,291.0,82.0
346,312.0,80.7
347,601.0,38.5
348,457.0,70.6
349,601.0,42.1
350,421.0,73.3
351,307.0,80.9
352,240.0,85.0
353,530.0,63.1
354,601.0,31.0
355,537.0,62.6
356,601.0,28.7
357,601.0,48.8
358,601.0,43.4
359,559.0,60.9
360,601.0,18.7
361,5.0,99.6
362,229.0,85.8
363,323.0,79.8
364,337.0,78.7
365,601.0,20.5
366,366.0,76.7
367,254.0,84.2
368,368.0,76.5
369,371.0,76.2
370,466.0,69.3
371,183.0,89.0
372,601.0,54.9
373,156.0,90.2
374,601.0,12.3
375,562.0,60.7
376,601.0,15.3
377,405.0,74.6
378,601.0,21.1
379,601.0,50.8
380,601.0,57.0
381,135.0,91.3
382,9.0,99.1
383,55.0,96.3
384,601.0,52.1
385,601.0,37.9
386,427.0,72.8
387,601.0,3.2
388,399.0,74.9
389,601.0,37.6
390,523.0,63.8
391,242.0,84.9
392,601.0,39.8
393,344.0,78.2
394,125.0,91.8
395,99.0,93.4
396,507.0,65.1
397,601.0,52.4
398,587.0,58.5
399,573.0,59.7
400,234.0,85.5
401,601.0,18.3
402,213.0,86.9
403,591.0,58.0
404,525.0,63.5
405,601.0,38.7
406,601.0,7.5
407,601.0,53.1
408,601.0,14.9
409,425.0,73.0
410,601.0,24.3
411,601.0,13.7
412,14.0,98.9
413,491.0,67.0
414,246.0,84.6
415,601.0,44.4
416,601.0,51.1
417,279.0,82.5
418,519.0,64.3
419,300.0,81.2
420,432.0,72.7
421,601.0,23.4
422,601.0,31.9
423,509.0,65.1
424,601.0,2.4
425,601.0,8.4
426,12.0,99.1
427,601.0,57.2
428,194.0,88.3
429,586.0,58.5
430,601.0,35.2
431,601.0,8.7
432,500.0,66.5
433,309.0,80.8
434,601.0,39.1
435,178.0,89.3
436,601.0,31.2
437,601.0,52.3
438,264.0,83.5
439,362.0,77.0
440,601.0,24.0
441,593.0,58.0
442,601.0,29.6
443,61.0,95.8
444,341.0,78.5
445,93.0,93.8
446,189.0,88.5
447,601.0,36.4
448,436.0,72.3
449,77.0,94.8
450,148.0,90.6
451,601.0,20.7
452,539.0,62.6
453,601.0,17.4
454,324.0,79.8
455,601.0,13.7
456,367.0,76.6
457,54.0,96.3
458,601.0,31.7
459,103.0,93.4
460,82.0,94.7
461,64.0,95.5
462,598.0,57.8
463,347.0,78.0
464,70.0,95.2
465,601.0,18.3
466,296.0,81.7
467,489.0,67.6
468,601.0,38.6
469,176.0,89.5
470,180.0,89.2
471,601.0,30.0
472,601.0,30.2
473,601.0,18.2
474,203.0,87.6
475,493.0,66.8
476,217.0,86.7
477,601.0,28.8
478,546.0,62.1
479,601.0,18.0
480,174.0,89.5
481,601.0,42.6
482,601.0,26.3
483,601.0,29.4
484,601.0,30.0
485,601.0,16.2
486,601.0,2.1
487,578.0,59.2
488,41.0,96.9
489,267.0,83.2
490,601.0,38.5
491,601.0,53.5
492,110.0,92.8
493,601.0,13.4
494,601.0,53.6
495,601.0,27.6
496,601.0,4.7
497,601.0,36.6
498,352.0,77.6
499,601.0,36.8
500,601.0,14.9
501,502.0,66.1
502,243.0,84.9
503,601.0,26.5
504,548.0,61.8
505,21.0,98.1
506,601.0,50.6
507,601.0,30.8
508,601.0,5.3
509,601.0,18.9
510,601.0,42.7
511,97.0,93.6
512,428.0,72.8
513,601.0,43.8
514,18.0,98.1
515,395.0,74.9
516,601.0,25.9
517,601.0,38.6
518,601.0,45.7
519,168.0,89.7
520,599.0,57.7
521,158.0,90.1
522,601.0,54.6
523,143.0,90.8
524,389.0,75.1
525,257.0,84.1
526,83.0,94.7
527,601.0,35.7
528,601.0,12.0
529,601.0,42.3
530,67.0,95.2
531,601.0,21.0
532,532.0,63.1
533,597.0,57.9
534,601.0,36.1
535,601.0,51.3
536,226.0,85.9
537,510.0,65.0
538,601.0,6.9
539,508.0,65.1
540,34.0,97.3
541,601.0,38.0
542,601.0,38.9
543,566.0,60.1
544,417.0,73.6
545,232.0,85.7
546,412.0,73.9
547,196.0,88.1
548,236.0,85.2
549,601.0,20.8
550,501.0,66.3
551,601.0,40.9
552,601.0,24.2
553,601.0,51.4
554,601.0,35.6
555,187.0,88.9
556,188.0,88.7
557,486.0,67.6
558,492.0,66.9
559,583.0,58.6
560,173.0,89.6
561,601.0,27.5
562,601.0,37.1
563,601.0,50.5
564,601.0,39.2
565,601.0,10.9
566,601.0,20.4
567,465.0,69.5
568,433.0,72.5
569,27.0,97.7
570,342.0,78.4
571,601.0,42.2
572,601.0,42.0
573,455.0,70.6
574,601.0,41.8
575,601.0,8.0
576,601.0,9.5
577,601.0,40.9
578,601.0,11.5
579,601.0,45.4
580,302.0,81.1
581,601.0,43.5
582,601.0,44.8
583,601.0,15.2
584,601.0,36.3
585,601.0,13.0
586,239.0,85.1
587,601.0,33.4
588,529.0,63.4
589,126.0,91.8
590,385.0,75.2
591,601.0,39.5
592,116.0,92.4
593,601.0,44.6
594,10.0,99.1
595,394.0,75.0
596,601.0,53.9
597,601.0,11.4
598,151.0,90.4
599,601.0,13.3
600,238.0,85.1
601,601.0,22.0
602,109.0,93.1
603,402.0,74.8
604,304.0,81.0
605,185.0,89.0
606,601.0,48.7
607,497.0,66.6
608,601.0,31.2
609,413.0,73.9
610,349.0,77.9
611,382.0,75.4
612,468.0,69.2
613,601.0,21.9
614,567.0,60.0
615,601.0,25.3
616,558.0,60.9
617,601.0,46.6
618,601.0,15.7
619,374.0,76.0
620,369.0,76.5
621,153.0,90.3
