university_id,employer reputation rank,employer reputation score
740,1,100.0
665,2,100.0
556,3,100.0
702,4,100.0
645,5,100.0
201,6,100.0
640,7,100.0
415,8,99.9
571,9,99.8
134,10,99.6
190,11,99.2
374,12,99.2
311,13,98.9
291,14,98.6
147,16,98.4
514,17,98.2
711,18,98.2
626,19,98.0
358,19,98.1
706,20,97.8
564,21,97.6
144,22,97.6
508,23,97.6
253,24,97.3
83,25,97.3
570,27,96.5
342,28,95.9
674,29,95.4
485,30,95.3
595,31,95.2
94,32,94.4
198,32,94.4
590,34,94.2
663,35,94.2
695,36,94.1
469,37,93.9
38,38,93.8
247,39,93.5
424,40,93.4
562,41,93.3
157,42,93.2
466,43,93.0
468,44,92.6
322,45,92.3
81,46,91.7
528,47,91.5
586,48,91.1
142,49,90.8
187,50,90.4
612,51,90.4
518,52,89.9
533,53,89.1
492,54,88.6
302,55,87.9
733,56,87.7
475,57,87.4
93,58,87.2
690,59,86.7
623,60,86.2
211,61,86.1
717,62,85.0
344,63,84.3
462,64,83.6
572,65,83.1
671,66,81.8
567,67,81.0
501,68,80.8
115,69,80.6
496,70,80.2
427,71,79.7
285,72,79.6
646,73,79.5
426,74,79.4
599,75,79.3
394,76,79.2
418,77,78.9
622,78,78.5
447,79,78.2
734,80,77.5
558,81,76.5
525,82,75.0
216,83,74.9
267,84,74.7
385,85,74.6
284,86,74.3
668,87,74.2
19,88,74.0
461,89,73.8
250,90,73.4
68,91,73.2
345,92,73.1
174,93,71.8
560,94,71.3
103,95,70.8
88,96,70.4
460,97,69.8
361,98,68.8
606,99,68.6
617,100,67.7
82,101,67.4
298,102,66.1
414,103,65.7
682,104,65.7
513,105,65.7
397,106,65.0
515,108,64.7
489,109,64.2
377,110,64.1
539,110,64.1
312,112,63.9
724,113,63.8
89,114,63.5
530,115,63.5
308,116,63.1
299,117,63.0
355,118,62.9
452,119,61.9
234,120,61.1
386,121,60.9
55,122,60.9
245,123,60.7
359,124,60.7
569,125,60.2
314,126,60.1
214,127,59.4
656,128,59.3
295,129,59.1
666,130,58.9
594,131,58.4
402,132,58.2
320,133,58.1
124,134,57.9
581,135,57.7
718,136,57.5
315,137,57.5
120,138,57.5
691,139,57.3
90,140,57.2
87,141,56.7
610,142,56.7
16,143,56.4
548,144,56.4
226,145,56.3
743,146,56.1
703,147,56.0
228,148,55.6
139,149,54.2
730,150,53.9
193,151,53.8
233,152,53.4
238,153,53.2
24,153,53.2
641,155,53.1
318,156,53.0
110,156,53.0
182,158,52.8
229,159,52.8
305,159,52.8
244,161,52.5
264,162,52.5
573,164,52.1
436,164,52.2
235,165,51.8
412,166,51.8
146,167,51.6
127,167,51.6
99,169,51.1
602,170,51.0
670,171,50.6
473,172,50.6
189,173,50.5
476,174,50.4
380,175,50.4
78,176,49.3
114,177,48.9
279,178,48.7
648,179,48.3
76,180,48.3
7,181,48.2
223,182,48.0
265,182,48.0
520,184,47.9
442,185,47.9
729,185,47.9
544,187,47.8
49,188,47.6
486,189,47.5
215,191,47.4
363,191,47.2
659,192,47.4
522,192,47.4
132,194,47.2
197,195,47.1
277,196,47.1
22,197,46.8
240,198,46.8
117,199,46.6
439,200,46.5
339,201,46.3
498,202,46.3
333,203,46.0
653,204,45.9
252,205,45.8
338,206,45.8
684,207,45.8
523,207,45.8
165,209,45.7
91,210,44.8
689,211,44.8
652,212,44.6
714,213,44.5
737,214,44.4
239,215,44.3
74,216,44.2
236,217,44.2
20,218,44.0
356,219,43.9
456,220,43.8
490,221,43.1
260,222,42.9
388,223,42.9
126,224,42.3
437,225,42.3
698,226,42.1
713,227,41.7
368,228,41.7
598,229,41.4
408,230,41.1
353,231,41.0
221,232,40.9
399,233,40.7
50,234,40.5
454,235,40.2
97,235,40.2
357,237,40.2
210,238,39.8
362,239,39.7
681,240,39.4
624,241,39.2
62,242,39.0
413,243,38.9
325,244,38.8
576,245,38.8
500,246,38.7
636,247,38.4
561,247,38.4
650,249,38.2
28,250,38.1
158,251,38.0
231,252,38.0
343,253,37.5
162,254,37.5
438,255,37.3
538,256,37.2
638,257,36.9
270,258,36.8
509,259,36.7
708,260,36.6
457,261,36.6
43,262,36.5
202,263,36.5
738,264,36.4
199,265,36.4
86,266,36.3
723,267,35.9
505,268,35.6
680,269,35.5
313,270,35.1
434,271,35.0
588,272,34.9
630,273,34.9
479,274,34.5
334,275,34.5
140,276,34.4
710,277,34.3
692,278,34.1
497,279,33.9
529,280,33.7
685,281,33.5
683,282,33.4
258,283,33.2
12,283,33.2
45,285,33.0
290,286,33.0
61,286,33.0
629,286,33.0
15,289,32.8
506,291,32.7
422,292,32.6
102,292,32.6
317,294,32.3
71,294,32.3
84,296,32.3
400,296,32.3
482,298,32.2
491,299,32.1
112,300,32.0
516,301,31.7
605,302,31.6
323,303,31.5
232,304,31.3
13,305,31.2
712,306,31.1
54,306,31.1
113,308,30.9
471,309,30.8
327,310,30.5
288,311,30.3
163,311,30.3
125,313,30.3
224,314,30.2
441,314,30.2
736,316,30.1
519,316,30.1
643,318,30.1
319,319,30.0
287,320,30.0
704,321,29.9
591,322,29.9
75,323,29.7
541,324,29.7
255,325,29.6
205,326,29.5
375,327,29.4
246,327,29.4
300,329,29.3
587,329,29.3
431,329,29.3
521,332,29.1
175,333,29.0
543,334,28.9
420,334,28.9
340,336,28.9
225,337,28.9
26,338,28.8
527,338,28.8
725,338,28.8
416,341,28.8
41,342,28.8
537,343,28.7
122,344,28.6
286,345,28.6
57,346,28.5
568,347,28.4
213,347,28.4
557,349,28.1
73,349,28.1
138,349,28.1
160,352,28.0
177,353,27.9
593,354,27.7
642,355,27.7
159,355,27.7
32,357,27.7
547,357,27.7
10,359,27.5
80,360,27.5
324,360,27.5
728,360,27.5
14,363,27.4
531,364,27.2
628,365,27.2
715,366,27.0
35,367,26.9
242,368,26.8
135,369,26.8
301,370,26.6
176,370,26.6
480,372,26.3
403,373,26.2
8,374,26.1
36,375,26.0
23,376,25.9
428,377,25.8
249,377,25.8
644,379,25.6
48,380,25.5
449,381,25.5
478,382,25.5
446,383,25.4
716,384,25.3
257,385,25.3
203,386,25.2
455,387,25.2
166,388,25.1
675,389,25.1
731,390,25.0
481,391,24.9
354,391,24.9
387,393,24.9
395,394,24.5
635,395,24.5
549,396,24.4
261,396,24.4
398,396,24.4
67,396,24.4
263,400,24.2
726,401,24.0
688,402,23.8
378,402,23.8
448,404,23.8
633,406,23.8
70,407,23.4
615,408,23.1
116,408,23.1
649,410,22.9
143,411,22.9
435,412,22.8
39,413,22.7
526,413,22.7
66,415,22.6
208,416,22.5
495,416,22.5
433,418,22.4
29,419,22.4
332,420,22.2
732,421,22.1
