university_id,international faculty rank,international faculty score
327,601.0,2.3
328,498.0,11.2
329,601.0,1.9
330,80.0,99.7
331,601.0,4.3
332,230.0,70.4
333,257.0,58.7
334,76.0,99.8
335,345.0,34.7
336,601.0,5.6
337,601.0,1.7
338,601.0,2.3
339,207.0,77.2
340,601.0,1.4
341,601.0,2.3
342,,
343,473.0,13.7
344,245.0,63.4
345,516.0,10.0
346,601.0,2.0
347,601.0,1.8
348,150.0,93.3
349,304.0,44.7
350,504.0,10.5
351,329.0,39.5
352,352.0,32.9
353,601.0,4.2
354,601.0,1.0
355,601.0,2.0
356,499.0,11.1
357,,
358,153.0,92.9
359,422.0,18.1
360,,
361,463.0,14.5
362,34.0,100.0
363,528.0,9.3
364,289.0,49.4
365,601.0,2.9
366,229.0,70.5
367,220.0,72.7
368,601.0,4.4
369,601.0,1.4
370,475.0,13.6
371,363.0,30.0
372,601.0,2.4
373,258.0,58.4
374,541.0,8.3
375,601.0,1.0
376,601.0,1.3
377,517.0,9.9
378,11.0,100.0
379,601.0,2.0
380,601.0,3.4
381,295.0,46.1
382,546.0,8.1
383,73.0,99.8
384,271.0,55.4
385,601.0,5.0
386,600.0,5.7
387,442.0,16.1
388,601.0,5.3
389,601.0,2.2
390,152.0,92.9
391,601.0,2.4
392,217.0,73.5
393,109.0,98.7
394,265.0,56.9
395,206.0,77.4
396,601.0,3.4
397,601.0,1.1
398,601.0,1.5
399,235.0,68.0
400,234.0,68.1
401,601.0,1.1
402,302.0,44.9
403,601.0,1.3
404,476.0,13.5
405,601.0,1.4
406,601.0,2.2
407,601.0,3.7
408,601.0,1.5
409,89.0,99.4
410,360.0,30.6
411,601.0,1.1
412,276.0,52.7
413,540.0,8.4
414,40.0,100.0
415,307.0,44.4
416,601.0,3.3
417,205.0,77.8
418,59.0,100.0
419,601.0,1.6
420,601.0,1.2
421,,
422,315.0,42.6
423,601.0,4.9
424,601.0,2.2
425,119.0,97.8
426,251.0,61.7
427,601.0,4.2
428,601.0,2.3
429,351.0,33.2
430,219.0,73.1
431,601.0,4.8
432,601.0,4.6
433,114.0,98.5
434,601.0,5.7
435,601.0,1.5
436,524.0,9.4
437,601.0,2.3
438,236.0,67.8
439,35.0,100.0
440,601.0,1.4
441,601.0,1.5
442,487.0,12.0
443,243.0,63.8
444,226.0,71.3
445,601.0,2.8
446,601.0,4.8
447,601.0,1.6
448,54.0,100.0
449,143.0,94.2
450,601.0,5.2
451,601.0,3.8
452,253.0,61.4
453,601.0,1.0
454,86.0,99.5
455,410.0,20.7
456,112.0,98.6
457,154.0,92.6
458,296.0,46.1
459,127.0,96.3
460,601.0,2.4
461,285.0,50.7
462,545.0,8.1
463,601.0,4.3
464,339.0,36.6
465,601.0,1.6
466,56.0,100.0
467,601.0,1.1
468,,
469,111.0,98.6
470,395.0,23.4
471,601.0,5.6
472,3.0,100.0
473,601.0,3.9
474,96.0,99.2
475,601.0,3.6
476,75.0,99.8
477,406.0,21.3
478,601.0,2.7
479,601.0,3.7
480,601.0,3.3
481,433.0,17.2
482,601.0,1.5
483,601.0,2.1
484,601.0,1.8
485,601.0,1.4
486,601.0,1.7
487,601.0,1.3
488,601.0,2.1
489,239.0,65.2
490,564.0,7.2
491,601.0,1.1
492,36.0,100.0
493,601.0,1.2
494,601.0,1.5
495,601.0,2.2
496,601.0,1.2
497,601.0,1.2
498,,
499,427.0,17.6
500,601.0,3.6
501,601.0,4.4
502,201.0,79.0
503,601.0,1.6
504,601.0,1.2
505,180.0,86.8
506,601.0,1.2
507,392.0,24.0
508,509.0,10.3
509,601.0,1.4
510,23.0,100.0
511,102.0,99.0
512,382.0,26.5
513,447.0,15.7
514,553.0,7.9
515,601.0,1.2
516,601.0,1.3
517,601.0,2.0
518,601.0,2.7
519,294.0,46.6
520,489.0,11.8
521,28.0,100.0
522,548.0,8.1
523,169.0,90.2
524,264.0,57.0
525,601.0,2.6
526,300.0,45.5
527,601.0,1.9
528,601.0,2.4
529,601.0,1.2
530,267.0,56.5
531,601.0,1.9
532,601.0,4.3
533,122.0,97.0
534,601.0,1.2
535,,
536,349.0,33.6
537,444.0,16.0
538,601.0,3.7
539,216.0,73.6
540,60.0,100.0
541,601.0,1.4
542,,
543,485.0,12.8
544,203.0,78.2
545,198.0,80.6
546,387.0,25.0
547,158.0,92.1
548,199.0,79.0
549,95.0,99.2
550,601.0,1.2
551,601.0,2.1
552,129.0,96.0
553,330.0,39.4
554,601.0,1.0
555,160.0,91.8
556,347.0,34.6
557,82.0,99.6
558,601.0,4.0
559,601.0,2.4
560,171.0,89.8
561,383.0,26.0
562,601.0,1.4
563,108.0,98.7
564,601.0,2.6
565,601.0,1.9
566,601.0,1.1
567,105.0,98.8
