university_id,citations per faculty rank,citations per faculty score
348,132,71.1
349,601,8.2
350,557,20.0
351,601,13.3
352,549,20.5
353,601,15.2
354,601,3.2
355,601,6.5
356,483,26.3
357,224,56.7
358,601,12.7
359,601,7.1
360,601,1.1
361,113,75.4
362,268,51.3
363,226,56.1
364,364,38.0
365,601,2.5
366,52,90.4
367,94,81.2
368,601,5.1
369,601,6.2
370,601,2.3
371,74,87.1
372,601,15.1
373,180,63.4
374,601,2.3
375,601,3.2
376,601,1.6
377,584,17.2
378,601,9.6
379,601,14.0
380,601,9.7
381,601,6.6
382,288,49.3
383,10,99.9
384,601,10.3
385,466,27.7
386,385,36.0
387,601,1.1
388,601,14.3
389,578,17.7
390,120,74.9
391,332,42.0
392,601,1.3
393,181,63.3
394,473,27.2
395,260,52.3
396,47,92.9
397,328,42.4
398,207,59.8
399,566,19.4
400,146,69.4
401,601,2.8
402,114,75.4
403,601,3.5
404,601,5.2
405,601,12.2
406,601,1.8
407,601,4.9
408,601,10.1
409,7,100.0
410,576,18.0
411,601,1.3
412,233,55.6
413,11,99.9
414,441,30.0
415,565,19.4
416,601,3.4
417,266,51.6
418,169,64.8
419,538,21.5
420,381,36.3
421,601,7.3
422,601,3.4
423,601,14.2
424,601,1.1
425,601,1.3
426,398,34.3
427,601,11.9
428,386,36.0
429,601,14.6
430,101,79.3
431,601,1.5
432,601,6.7
433,149,69.0
434,133,71.0
435,601,10.3
436,393,35.1
437,564,19.5
438,340,41.0
439,286,49.5
440,601,9.2
441,235,55.5
442,601,3.7
443,475,27.1
444,5,100.0
445,403,33.5
446,601,14.8
447,601,4.5
448,79,85.9
449,214,58.5
450,73,87.2
451,488,26.0
452,572,18.1
453,601,1.4
454,421,31.4
455,601,2.6
456,162,65.9
457,287,49.3
458,591,16.9
459,513,23.6
460,329,42.3
461,270,51.2
462,601,3.6
463,601,16.3
464,298,47.0
465,601,2.7
466,137,70.3
467,191,61.5
468,601,9.0
469,77,86.3
470,110,77.5
471,601,3.2
472,601,15.2
473,601,2.4
474,331,42.1
475,334,41.3
476,174,64.0
477,601,1.5
478,177,63.8
479,601,2.2
480,103,79.0
481,559,19.7
482,320,44.1
483,601,12.1
484,443,29.7
485,601,5.2
486,601,1.0
487,23,98.3
488,188,61.7
489,496,25.0
490,520,23.1
491,510,23.7
492,87,83.7
493,601,1.2
494,99,79.3
495,601,3.6
496,601,1.3
497,601,5.4
498,95,81.2
499,601,9.2
500,601,3.2
501,425,31.0
502,195,61.0
503,601,3.6
504,601,10.3
505,411,32.2
506,601,4.9
507,601,11.6
508,601,1.7
509,601,1.9
510,601,1.7
511,192,61.4
512,116,75.1
513,442,29.8
514,484,26.2
515,601,2.3
516,601,1.7
517,115,75.3
518,601,2.7
519,477,26.7
520,369,37.6
521,28,97.2
522,347,40.1
523,482,26.4
524,258,52.6
525,324,43.4
526,91,82.2
527,396,34.5
528,601,1.4
529,601,1.8
530,283,49.6
531,601,2.9
532,431,30.6
533,447,29.4
534,601,4.2
535,296,47.2
536,401,34.1
537,601,6.4
538,601,1.2
539,601,2.5
540,68,87.9
541,601,1.9
542,601,2.1
543,601,3.5
544,42,94.5
545,253,53.0
546,36,95.6
547,589,16.9
548,301,46.8
549,438,30.2
550,601,4.1
551,601,11.5
552,601,1.9
553,601,7.7
554,62,88.8
555,278,50.2
556,12,99.9
557,337,41.1
558,415,32.0
559,601,3.8
560,154,66.8
561,366,37.8
562,601,9.4
563,141,69.8
564,601,11.5
565,601,3.8
566,163,65.8
567,346,40.2
568,112,75.9
569,57,89.9
570,72,87.2
571,140,70.0
572,467,27.6
573,601,1.9
574,601,7.4
575,601,6.7
576,601,6.4
577,601,2.9
578,601,12.5
579,601,3.8
580,311,45.5
581,451,29.1
582,575,18.0
583,601,1.4
584,390,35.3
585,601,1.2
586,201,60.4
587,601,1.9
588,601,7.9
589,285,49.6
590,323,43.4
591,601,3.5
592,574,18.0
593,601,3.2
594,469,27.5
595,76,86.6
596,601,15.6
597,601,5.7
598,292,48.2
599,601,2.7
600,601,8.7
601,601,1.2
602,601,9.4
603,271,51.1
604,601,14.1
605,220,57.8
606,71,87.5
607,388,35.7
608,601,6.1
609,601,5.1
610,275,50.7
611,215,58.4
612,382,36.2
613,601,4.2
614,600,16.4
615,601,8.5
616,601,3.0
617,601,3.2
618,601,2.0
619,161,65.9
620,601,9.2
621,335,41.3
622,601,1.7
623,391,35.2
624,601,10.9
625,601,10.3
626,601,2.3
627,100,79.3
628,601,7.4
629,601,1.8
630,41,94.8
631,583,17.2
632,601,10.6
633,601,1.2
634,542,21.3
635,601,8.5
636,172,64.2
637,197,61.0
638,601,6.1
639,601,3.7
640,601,1.5
641,127,73.1
642,461,28.0
643,56,90.1
644,601,3.9
645,601,1.6
646,252,53.0
647,601,1.1
648,211,58.9
649,202,60.3
650,294,47.4
651,601,7.2
652,248,53.7
653,264,51.8
654,601,2.0
655,256,52.7
656,541,21.4
657,601,6.9
658,601,2.0
659,601,3.0
660,601,1.8
661,14,99.8
662,601,8.5
663,308,45.9
664,83,85.3
665,407,33.1
666,126,73.3
667,601,1.0
668,601,2.3
669,198,60.9
670,457,28.7
671,601,12.5
672,601,1.7
673,601,7.7
674,561,19.6
675,601,5.9
676,601,8.4
677,367,37.7
678,490,25.5
679,446,29.4
680,499,24.8
681,259,52.4
682,601,12.3
683,601,11.2
684,601,7.0
685,601,5.1
686,601,10.4
687,601,4.3
688,601,9.5
689,601,2.9
690,479,26.5
691,88,83.6
692,601,1.5
693,601,1.9
694,240,54.8
695,397,34.4
696,601,7.0
697,51,90.5
698,514,23.5
699,601,1.4
700,601,1.9
701,601,2.0
702,601,5.1
703,601,11.9
704,601,1.0
705,82,85.4
706,363,38.1
707,66,88.0
708,601,15.9
709,424,31.1
710,601,2.1
711,577,17.8
712,601,3.9
713,241,54.8
714,517,23.3
715,601,9.6
716,289,49.2
717,601,1.3
718,239,55.1
719,601,3.4
720,290,48.5
721,16,99.8
722,601,5.2
723,428,30.8
724,17,99.7
725,519,23.2
726,3,100.0
727,162,65.9
728,601,10.0
729,601,1.1
730,454,29.1
731,601,1.2
732,316,44.5
733,601,1.8
734,445,29.4
735,400,34.3
736,297,47.2
737,601,6.9
738,601,6.3
739,601,1.2
740,601,15.1
741,601,6.4
742,551,20.4
743,219,57.8
744,387,35.8
745,601,1.4
746,458,28.7
747,601,1.8
748,601,3.7
749,601,5.4
750,142,69.7
751,414,32.0
752,601,1.3
753,216,58.4
754,601,9.9
755,601,4.5
756,257,52.7
757,601,10.3
758,279,50.1
759,593,16.9
760,601,1.8
761,524,22.9
762,352,39.2
763,601,5.8
764,601,14.6
765,601,1.6
766,193,61.3
767,358,38.5
768,601,11.9
769,350,39.3
770,601,2.9
771,144,69.7
772,601,6.5
773,601,5.2
774,489,25.5
775,601,4.3
776,601,1.3
777,601,2.6
778,374,37.0
779,601,6.2
780,568,19.1
781,601,9.3
782,592,16.9
783,601,2.7
784,460,28.1
785,319,44.2
786,601,11.4
787,601,14.0
788,601,8.9
789,97,80.6
790,486,26.1
791,601,6.7
792,601,8.6
793,18,99.5
794,601,1.6
795,601,5.6
796,601,2.2
797,601,3.3
798,601,1.2
799,601,14.0
800,601,1.3
801,242,54.5
802,189,61.7
803,601,8.0
804,601,2.3
805,601,3.9
806,601,12.1
807,512,23.7
808,601,1.0
809,601,4.1
810,167,65.1
811,601,7.6
812,601,10.8
813,69,87.8
814,306,46.2
815,601,4.1
816,601,16.0
817,601,3.6
818,90,82.3
819,601,2.0
820,125,73.5
821,295,47.4
822,151,68.7
823,601,11.4
824,601,9.0
825,601,1.2
826,601,8.5
827,601,2.7
828,601,3.8
829,43,93.8
830,119,75.0
831,88,83.2
832,601,2.0
833,178,63.8
834,560,19.6
835,601,7.0
836,601,4.5
837,284,49.6
838,601,8.9
839,601,1.1
840,173,64.1
841,485,26.1
842,601,5.8
843,569,19.0
844,518,23.3
845,106,78.4
846,601,1.3
847,601,1.2
848,426,30.9
849,601,1.1
850,601,1.6
851,601,5.1
852,491,25.3
853,601,10.2
854,601,3.3
855,468,27.6
856,601,1.3
857,601,9.0
858,601,15.4
859,601,14.7
860,601,1.9
861,601,4.0
862,601,5.5
863,601,1.6
864,152,68.6
865,45,93.3
866,601,3.4
867,305,46.1
868,601,8.3
869,408,32.7
870,601,1.3
871,601,5.2
872,601,8.3
873,348,40.0
874,67,88.0
875,601,1.8
876,553,20.3
877,601,6.7
878,555,20.2
879,601,1.3
880,601,5.4
881,601,1.4
882,75,86.9
883,601,12.5
884,601,1.3
885,318,44.3
886,523,22.9
887,601,11.8
888,35,95.6
889,579,17.7
890,601,1.6
891,601,8.2
892,231,55.8
893,228,55.9
894,601,6.0
895,92,81.7
896,601,1.2
897,221,57.7
898,601,2.0
899,601,5.9
900,601,12.2
901,601,1.8
902,281,50.0
903,601,8.1
904,601,4.1
905,481,26.4
906,601,7.2
907,601,2.7
908,70,87.8
909,129,71.8
910,601,1.3
911,487,26.1
912,601,1.5
913,601,1.8
914,498,24.8
915,153,67.1
916,601,2.0
917,601,11.3
918,459,28.6
919,601,3.1
920,601,2.1
921,601,1.6
922,601,1.1
923,601,4.0
924,601,6.5
925,376,36.9
926,60,89.4
927,478,26.5
928,601,5.5
929,601,11.8
930,176,63.8
931,86,83.9
932,601,2.7
933,567,19.3
934,601,7.3
935,419,31.7
936,601,3.8
937,53,90.4
938,601,6.2
939,601,8.2
940,399,34.3
941,601,1.5
942,550,20.4
943,379,36.4
944,368,37.7
945,601,4.8
946,357,38.5
947,595,16.8
948,601,2.6
949,234,55.6
950,601,9.7
951,190,61.6
952,208,59.3
953,601,9.6
954,601,15.8
955,377,36.7
956,183,62.9
957,601,12.9
958,601,1.1
959,601,2.0
960,601,4.1
961,315,44.7
962,502,24.7
963,148,69.1
964,601,4.2
965,601,13.5
966,594,16.8
967,164,65.5
968,601,2.5
969,344,40.4
970,380,36.4
971,25,98.1
972,1,100.0
973,601,5.9
974,601,2.7
975,601,16.0
976,98,80.2
977,65,88.1
978,601,3.4
979,37,95.5
980,522,23.0
981,601,9.2
982,601,11.0
983,601,2.5
984,601,1.5
985,124,73.9
986,105,78.7
987,601,5.9
988,601,2.9
989,307,46.0
990,601,9.1
991,601,2.5
992,601,12.0
993,203,60.2
994,601,11.0
995,80,85.7
996,601,4.8
997,601,11.3
998,601,2.2
999,321,44.1
1000,601,8.0
1001,313,45.0
1002,601,3.7
1003,601,15.1
1004,601,9.1
1005,349,39.5
1006,601,5.6
1007,540,21.4
1008,601,5.3
1009,601,8.2
1010,601,5.0
1011,416,31.9
1012,601,10.6
1013,529,22.4
1014,601,4.0
1015,507,24.0
1016,122,74.0
1017,373,37.2
1018,601,14.7
1019,601,3.0
1020,585,17.1
1021,480,26.5
1022,262,52.2
1023,601,1.2
1024,456,28.8
1025,432,30.6
1026,601,2.7
1027,406,33.2
1028,601,2.2
1029,548,20.6
1030,601,4.0
1031,544,21.2
1032,601,8.3
1033,232,55.6
1034,107,78.2
1035,448,29.4
1036,413,32.1
1037,601,15.3
1038,601,15.9
1039,601,6.0
1040,123,74.0
1041,601,3.4
1042,601,8.1
1043,130,71.4
1044,601,5.0
1045,601,7.9
1046,353,39.2
1047,15,99.8
1048,503,24.5
1049,601,11.4
1050,525,22.9
1051,238,55.1
1052,230,55.8
1053,601,2.7
1054,168,65.1
1055,601,2.8
1056,361,38.2
1057,601,3.5
1058,601,1.3
1059,601,9.6
1060,455,28.9
1061,470,27.4
1062,166,65.3
1063,314,44.9
1064,383,36.2
1065,601,9.1
1066,601,4.8
1067,601,12.7
1068,601,2.9
1069,601,16.3
1070,495,25.1
1071,55,90.1
1072,336,41.1
1073,8,100.0
1074,601,1.7
1075,601,5.8
1076,601,3.0
1077,20,99.3
1078,601,1.8
1079,601,11.3
1080,601,3.9
1081,601,16.1
1082,147,69.2
1083,493,25.2
1084,601,5.7
1085,601,1.3
1086,310,45.6
1087,145,69.5
1088,601,1.4
1089,601,1.2
1090,601,1.8
1091,175,63.9
1092,29,96.9
1093,601,2.7
1094,356,38.7
1095,556,20.2
1096,277,50.3
1097,444,29.5
1098,465,27.7
1099,601,2.0
1100,46,93.1
1101,439,30.2
1102,269,51.2
1103,601,2.3
1104,139,70.1
1105,547,20.8
1106,601,6.3
1107,601,6.2
1108,182,63.3
1109,78,86.2
1110,601,7.4
1111,229,55.8
1112,601,7.2
1113,601,3.3
1114,601,7.5
1115,601,2.2
1116,601,15.2
1117,552,20.4
1118,325,43.4
1119,601,12.6
1120,392,35.2
1121,601,10.0
1122,121,74.4
1123,38,95.4
1124,601,14.5
1125,537,21.6
1126,601,6.2
1127,389,35.6
1128,26,97.6
1129,206,59.9
1130,601,1.9
1131,601,1.2
1132,601,1.8
1133,526,22.7
1134,39,95.1
1135,409,32.6
1136,601,1.6
1137,601,5.4
1138,601,7.1
1139,227,55.9
1140,601,11.4
1141,582,17.4
1142,261,52.2
1143,601,9.0
1144,272,51.0
1145,545,21.2
1146,601,1.2
1147,601,1.3
