university_id,employment outcomes rank,employment outcomes score
790,458.0,18.3
791,701.0,7.9
792,701.0,8.8
793,133.0,49.9
794,386.0,21.6
795,618.0,13.8
796,505.0,16.8
797,701.0,8.5
798,701.0,4.7
799,56.0,76.3
800,701.0,10.4
801,185.0,38.9
802,474.0,17.6
803,701.0,4.2
804,701.0,6.4
805,701.0,9.2
806,478.0,17.4
807,701.0,8.3
808,701.0,8.7
809,55.0,76.3
810,701.0,9.0
811,701.0,8.5
812,515.0,16.3
813,170.0,42.1
814,224.0,34.3
815,663.0,13.0
816,701.0,3.8
817,528.0,15.8
818,492.0,17.1
819,701.0,8.2
820,303.0,26.9
821,701.0,7.9
822,398.0,20.8
823,294.0,27.6
824,701.0,9.0
825,297.0,27.4
826,550.0,15.3
827,63.0,72.5
828,610.0,14.0
829,84.0,66.0
830,8.0,100.0
831,53.0,78.6
832,701.0,7.4
833,138.0,49.2
834,701.0,9.9
835,701.0,4.2
836,701.0,9.3
837,284.0,28.3
838,123.0,52.1
839,625.0,13.7
840,701.0,12.2
841,701.0,9.3
842,701.0,12.1
843,701.0,11.5
844,648.0,13.2
845,471.0,17.7
846,701.0,8.6
847,137.0,49.4
848,316.0,26.0
849,701.0,7.1
850,701.0,9.9
851,701.0,7.2
852,614.0,13.9
853,252.0,30.5
854,701.0,8.1
855,701.0,7.2
856,701.0,8.7
857,322.0,25.6
858,529.0,15.8
859,701.0,7.8
860,116.0,54.4
861,701.0,7.7
862,701.0,9.7
863,701.0,5.7
864,259.0,30.1
865,412.0,20.3
866,701.0,9.8
867,701.0,7.8
868,701.0,8.3
869,485.0,17.3
870,565.0,14.8
871,549.0,15.3
872,139.0,48.9
873,589.0,14.3
874,388.0,21.5
875,701.0,9.7
876,701.0,10.4
877,701.0,9.1
878,681.0,12.7
879,701.0,9.6
880,701.0,8.4
881,701.0,7.6
882,701.0,10.4
883,701.0,11.2
884,144.0,47.6
885,442.0,18.9
886,556.0,15.1
887,701.0,8.0
888,701.0,10.4
889,622.0,13.7
890,701.0,5.1
891,701.0,7.6
892,666.0,12.9
893,101.0,59.8
894,701.0,11.1
895,554.0,15.2
896,697.0,12.5
897,387.0,21.5
898,701.0,6.0
899,48.0,82.2
900,701.0,7.9
901,461.0,18.2
902,140.0,48.5
903,651.0,13.2
904,500.0,16.9
905,444.0,18.8
906,616.0,13.8
907,701.0,3.9
908,16.0,98.6
909,302.0,27.0
910,701.0,12.2
911,701.0,10.4
912,701.0,6.8
913,701.0,7.3
914,701.0,6.6
915,414.0,20.2
916,701.0,11.7
917,701.0,9.8
918,701.0,11.8
919,238.0,32.2
920,460.0,18.2
921,701.0,12.2
922,445.0,18.8
923,701.0,5.5
924,110.0,56.7
925,701.0,9.9
926,163.0,44.4
927,701.0,11.1
928,395.0,20.9
929,701.0,8.9
930,483.0,17.3
931,533.0,15.7
932,209.0,35.7
933,701.0,10.2
934,701.0,7.5
935,451.0,18.5
936,701.0,11.2
937,701.0,6.2
938,701.0,11.5
939,701.0,4.7
940,701.0,12.1
941,701.0,7.7
942,643.0,13.3
943,701.0,8.4
944,701.0,7.8
945,434.0,19.3
946,291.0,27.8
947,363.0,23.1
948,664.0,13.0
949,701.0,8.3
950,96.0,60.9
951,630.0,13.6
952,201.0,36.9
953,701.0,10.4
954,701.0,6.7
955,54.0,77.7
956,237.0,32.3
957,701.0,10.8
958,701.0,5.0
959,701.0,11.0
960,701.0,11.5
961,701.0,10.7
